Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Taxonomic Notes,Endemic to Europe,Endemic to EU27,European regional Red List Category,European regional Red List Criteria,EU27 regional Red List Category,EU27 regional Red List Criteria,Rationale of the Red List Category,Population Trend,Range,Population,Habitat,Threats,Conservation Actions,Red List Assessors
ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Triturus,pygmaeus,,,Yes,Yes,NT,,NT,,"Listed as Near Threatened because this species is in significant decline, but probably at a rate of less than 30% over ten years over its entire range, because of widespread habitat loss through much of its range, thus making the species close to qualifying for Vulnerable.",Decreasing,"This species is endemic to the Iberian Peninsula where it is distributed in central and southern Portugal and the southern half of Spain, from sea level to 1,450m asl.",It is common in areas where suitable siliceous substrate habitat exists. There has been a significant decline in the populations of southern and eastern Spain (those found on a calcareous substrate).,"This species inhabits broadleaf ( Quercus oak) woodland in meso-Mediterranean and thermo-Mediterranean climates. Aquatic habitats used for breeding and larval development include temporary or permanent ponds, lagoons, abandoned quarries and wells, drinking troughs, irrigation ponds, ditches and other areas of stagnant or slow-moving water. It is found in traditional farmland areas and other slightly modified habitats.","The most significant threat to this species overall is habitat loss, especially the loss of temporary ponds. In the west of Spain and southern Portugal populations are affected by predation by non-native crayfish and predatory fish. Increasing urbanization surrounding Madrid has also led to the elimination of many populations. In southern and eastern Spain, over-exploitation of groundwater resources, agrochemical pollution, loss of traditional breeding sites and the introduction of predatory non-native fish and crayfish ( Procambarus clarkii ) has led to a serious population decline. In Portugal this species is also affected by the drainage of temporary ponds, associated with the intensification of agriculture.","It is present in Parque Nacional de Cabañeros and Parque Nacional de Doñana, Spain, and is presumed to occur in some Portuguese protected areas. Re-introductions and/or translocations of this species have been made in the area of Madrid, Spain. This species is listed on Annex III of the Bern Convention, and is protected by national and sub-national legislation in Spain. It is considered Vulnerable on the Spanish Red List.","Jan Willem Arntzen, Pedro Beja, Jaime Bosch, Miguel Tejedo, Miguel Lizana, Robert Jehle, Iñigo Martínez-Solano, Alfredo Salvador, Mario García-París, Ernesto Recuero Gil, Rafael Marquez, Paulo Sa-Sousa, Carmen Diaz Paniagua"
ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Speleomantes,imperialis,,"Lanza et al . (2001) described Speleomantes imperialis sarrabusensis , but it was elevated to full species status by Carranza et al . (2007).",Yes,Yes,NT,,NT,,"Listed as Near Threatened since although its Extent of Occurrence is probably less than 5,000 km2 and its habitat might be declining, thus making the species close to qualifying for Endangered, it probably occurs in more than ten locations, and its range is probably not severely fragmented.",Stable,"This species is endemic to the provinces of Nuoro, Oristano and Cagliari in central and eastern Sardinia, Italy. The populations in the Sette Fratelli Mountains east of Cagliari are now considered to be a separate species, Speleomantes sarrabusensis . It is found at altitudes between 7 and 1,170m asl.",It is common within its limited range (Gasc et al. (eds.) 1997).,"This species is found in humid rocky outcrops, caves, crevices, and forested areas in the vicinity of streams. It reproduces through the direct development of a few terrestrial eggs.",There are no major threats identified other than general localized habitat loss and illegal collection.,"It has been recorded from Parco Nazionale Gennargentu e Golfo di Orosei and Parco Naturale Regionale del Monte Sette Fratelli, and it is likely to occur in Parco Naturale Regionala della Giara di Gesturi. This species is listed on Appendix II of the Bern Convention and is also listed on Annex IV of the EU Habitats Directive.","Franco Andreone, Roberta Lecis, Paul Edgar, Claudia Corti, Roberto Sindaco, Antonio Romano"
ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Euproctus,platycephalus,,,Yes,Yes,EN,"B2ab(iii,iv)",EN,"B2ab(iii,iv)","Listed as Endangered, because its Area of Occupancy is less than 500 km2, its distribution is severely fragmented, and there is a continuing decline in the extent and quality of its habitat, and in the number of subpopulations.",Decreasing,"This species is endemic to Sardinia, Italy, where it is found only in the eastern part of the island between the Limbara Mountains in the north and the Sette Fratelli Mountains in the south. There are a few very old records from western Sardina (i.e. Linas Mount) (Lecis and Norris 2003), but these are very doubtful (it is believed the location was misreported). Further information is needed on the range of the species in the south-west of the island. It is found at elevations of between 50 and 1,800m asl, although it is most often found at elevations of 400-800m asl.","This is generally a rare species that can be locally common in suitable habitat (e.g. over 400 specimens may be found in a single pool). The largest population of the species is in the Gola di Gorroppu. In one well-studied population the sex ratio is largely male. The number of subpopulations is declining. Between 1999 and 2001 it was found in 14 sites, whereas around 1991 it was present in 30 sites (and even in 1991 it was absent from nine other sites where it had been previously observed). The northern population near Mount Limbara is close to extinction.","It is a montane species of permanent and temporary stagnant and running waters, which prefers calm areas of small or large rivers. Its terrestrial habitats are generally restricted to riverine scrub or woodland, and the species may also be found in cave systems. Its breeding sites are permanent pools, water holes, small lakes and streams. The eggs are deposited between stones or are buried in sand; the larvae develop in the streams (Griffiths 1996; Rimpp 1998). The species is quite adaptable and can be found in artificial pools.","The major threats to the species are pollution of waterbodies, habitat fragmentation, predation by introduced trout, and prolonged drought (often caused by excessive water abstraction). During the 1950s, many populations were lost through the application of DDT to waterbodies. Recently, the Gola di Gorroppu population has become threatened through damage to its habitat caused by tourist activities. At least one population is known to be affected by chytridiomycosis and is declining.","This species is listed on Appendix II of the Bern Convention and on Annex IV of the EU Habitats Directive; it is also protected by regional legislation (Regional Law n. 23/1998 (art. 5, c. 3)). The Gola di Gorroppuu has been designated as a Site of Community Importance under the Habitats Directive. In addition, a number of populations live in established and planned protected areas, including Parco Regionale Sette Fratelli, Parco Nazionale Gennargentu-Golfo di Orosei, and Parco Regionale Monte Limbara. Programmes to remove trout from the species' habitat would assist in the recovery of populations.","Antonio Romano, Roberto Sindaco, Franco Andreone, Roberta Lecis, Paul Edgar, Benedikt Schmidt, Claudia Corti"
ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,epeiroticus,,This species does not produce hybridogenetic hybrids (Guerrini et al. 1997).,Yes,,VU,B1ab(iii),VU,B1ab(iii),"Listed as Vulnerable because its Extent of Occurrence is less than 20,000 km2, its distribution is severely fragmented, and there is continuing decline in the extent and quality of its wetland habitat.",Decreasing,"This species is restricted to western Greece (including the island of Kerkyra), and southern Albania. It seems likely that populations of this species are fragmented because there are extensive areas of unsuitable habitat within its range. It occurs from sea level to around 500m asl.","This species has been described as quite abundant throughout much of its range (Gasc et al. 1997), although some populations are believed to be in decline.","This species is mostly aquatic and is commonly associated with still waters, slow-moving rivers, canals, and marshes, often with rich vegetation at their edges. Breeding and larval development takes place in these waterbodies. It is not known if the species can adapt to changes in habitat.","The main threats to this species are general loss of wetland habitat (through drainage for urbanization, tourism and agricultural intensification), water pollution, and large-scale commercial collection for food (it is harvested in enormous numbers in Albania).","It is not known if the species occurs in any protected areas, though it might occur in Amvrakikos Gulf. There is a need to ensure that the offtake of this species from the wild for human consumption is managed sustainably. This species is listed on Appendix III of the Berne Convention.","Thomas Uzzell, Petros Lymberakis, Idriz Haxhiu"
ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Lissotriton,montandoni,,,Yes,,LC,,LC,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats, presumed large population, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",Decreasing,"This species is endemic to the east Carpathian and easternmost Sudetes Mountains. Introduced into the Bayrischen Wald, Bavaria, Germany. It has an altitudinal range from 120 to a maximum of 2,000m asl.","It is generally common and locally abundant in the Carpathian Mountains. However, it is declining throughout its range.","It can be found in wet and shaded coniferous, mixed and deciduous forests (consisting of beech, alder, pine, oak etc.), their edges and meadow glades; also sub alpine areas. Reproduction and larval development in almost all temporary and permanent water sources in the Carpathians including lakes, ponds, swamps, springs, puddles, ditches, overgrown stream pools and even wheel ruts in country roads. It may be present in modified habitats, even polluted waters (Arnold 2002).","Some populations have declined due to habitat destruction (logging and infrastructure development), introduction of predatory fish species and pollution of habitats by domestic sewage. Collection of newts for education, science and the pet trade has negatively impacted some populations. It is affected by hybridization with L. vulgaris , as the range of L. vulgaris is generally spreading in the region with ongoing deforestation.",It is listed on Appendix II of the Bern Convention. Protected by national legislation in Poland. Listed in the Red Data Books of the USSR and Ukraine. It is present in a number of protected areas.,"Jan Willem Arntzen, Sergius Kuzmin, Natalia Ananjeva, Nikolai Orlov, Boris Tuniyev, Agnieszka Ogrodowczyk, Maria Ogielska, Wiesiek Babik, Dan Cogalniceanu"
ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,grafi,, Pelophylax grafi is a kleptospecies (hybridogenetic hemilineage) associated with P. perezi and P. ridibundus (Crochet et al. 1995).,Yes,Yes,NT,,NT,,Listed as Near Threatened due to an observed decline as a result of competition from the introduced species P. ridibundus . The rate of decline is probably close to 30% over the last 10 years making it close to qualifying for Vulnerable.,Decreasing,"This species is present in southern France and north-eastern Spain (Catalonia, Aragon, Navarra and the Basque Country) (Crochet et al. 1995; Dubois and Ohler 1994). It is also present in the southern Rhone Valley (Pagano, Joly and Hotz 1997). It is difficult to determine the distribution limits of this species because of hybridization.","The species' population has been greatly affected by the introduction of P. ridibundus , and in many areas where it was previously found only the invasive species remains."," Rana grafi occurs in mixed colonies with R. perezi , and lives in similar habitat, being found in a wide variety of temporary and permanent waterbodies (such as pools, streams, ditches, and irrigation canals), where it breeds. Terrestrial habitats include forests, scrubland, agricultural areas and coastal marshes.","The major threat to this species is displacement by the invasive species P. ridibundus . It is possibly also threatened by the drainage of suitable wetlands for agricultural, urban and tourism development. Agrochemical pollution of breeding waterbodies is also presumed to be a threat.","This species occurs in a number of protected areas, and is listed on Appendix III of the Bern Convention. Monitoring of the population is necessary to determine the degree of decline as a result of invasive species.","Miguel Tejedo, Iñigo Martínez-Solano, Alfredo Salvador, Mario García-París, Ernesto Recuero Gil, Pierre-André Crochet"
ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PELODYTIDAE,Pelodytes,ibericus,,This species was previously included within Pelodytes punctatus . Further systematic studies are required to more clearly determine the distribution of P. ibericus .,Yes,Yes,LC,,LC,,"Listed as Least Concern in view of its relatively wide distribution, tolerance of a degree of habitat modification, presumed large population, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",Stable,"This species is endemic to southeastern Portugal and southern Spain. Further investigations into the range of this recently described species are needed in Portugal . It is present from sea level to approximately 1,450m asl in Granada province, Spain.","It is locally abundant in suitable habitat in Spain, and it is increasing in Donana. It is considered to be scarce in Portugal.","It can be found in dry or slightly damp open habitats including open woods, shrubland, salt marshes and cultivated areas. It can survive in intensively farmed areas. It breeds after rain in shallow sunny ponds (up to 1.5m deep), lagoons, stream backwaters, drains, roadside ditches and possibly in salt marshes. It is present in some modified habitats (such as non-intensively farmed fields).",Loss of suitable freshwater breeding habitats (including stream channelization) is a threat as is habitat fragmentation. Predation of larvae and adults by exotic fish and Louisiana Crayfish ( Procambarus clarkii ) introductions is also a threat.,"It is listed on Appendix III of the Convention on the Conservation of European Wildlife and Natural Habitats (Berne Convention). It is listed in the Regional Catalogue of Andalucía, Spain. It is not yet protected by national legislation. It is present in Doñana and Sierra Nevada National Parks, Spain.","Jaime Bosch, Miguel Tejedo, Miguel Lizana, Pedro Beja, Iñigo Martínez-Solano, Alfredo Salvador, Mario García-París, Ernesto Recuero Gil, Rafael Marquez, Carmen Diaz Paniagua, Valentin Perez-Mellado"
ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Pseudepidalea,balearica,,Formerly included in Bufo viridis . In the Fauna d’Italia (Lanza et al . 2007) this species is listed under the name Bufo lineatus .,Yes,Yes,LC,,LC,,"Listed as Least Concern in view of its wide distribution, presumed large population, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",Decreasing,"This species ranges through much of Italy, including the island of Sardinia and the easternmost parts of Sicily; it also is present on the island of Corsica (France), and the Balearic Islands of Spain (where it was probably introduced in prehistoric times). Found from sea level to 1,330 m asl in central Italy (Romano et al . 2003; Spilinga 2007).",Common with stable populations in suitable habitats in Italy. Within the Balearic Islands it is common except for on Ibiza. It is declining slowly on Majorca and more rapidly on Ibiza as a result of loss of breeding habitat.,"It is generally a lowland species. It occupies coastal areas (typically but not exclusively sand dunes), cultivated areas, and suburban and urban areas where it is found in gravel and sand pits, ponds and ditches; also in water tanks in the Balearic Islands.","In the Balearic Islands, loss and degradation of breeding habitat has resulted from excessive water abstraction, urbanization, decline of traditional agricultural practices and pollution with agrochemicals. Fragmentation as a result of road construction is also a problem.","This species occurs in protected areas. There have been some reintroductions in Ibiza, and some habitat restoration (restoration of water tanks) has been carried out. It is listed on Appendix II of the Bern Convention and Annex IV of the Habitats Directive (as Bufo viridis ).","Roberto Sindaco, Antonio Romano, Iñigo Martinez-Solano"
ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Bufo,mauritanicus,,,,,NA,,NA,,"Europe: NA – this species does not naturally occur in Europe (introduced in southern Spain)EU 27: NA – within the EU, this species only occurs naturally in the Spanish North African enclaves of Ceuta and MelillaListed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats, presumed large population, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",Stable,"This species has a fragmented range (there is a small Area of Occupancy within the wide Extent of Occurrence) in Morocco, northern Algeria, Tunisia and the North African Spanish territories of Melilla and Ceuta. Apparently isolated populations in northern Niger and northern Mali refer to Bufo xeros (U. Joger pers. comm.); an introduced population is present on mainland Spain close to the Parque Natural los Alcornocales. It is not confirmed from the Western Sahara, although it might occur in the extreme north (Geniez et al. 2000). The species range from around sea level up to 2,650m asl in the Atlas Mountains.",This is a generally abundant species.,"The species occurs in a wide-variety of habitats including rocky and stony areas, meadows, cork oak groves, Mediterranean scrub, and agricultural land and sometimes in urban areas. It breeds in fresh or brackish still or slow-flowing waterbodies. The females deposit approximately 5,000-10,000 eggs. During the day the adults of this species hide under rocks or in tunnels.","There are generally no major threats to this widespread and adaptable species. Loss of suitable habitat and pollution resulting from development, and mortality through road kill are localized threats to some populations.",This species occurs in several protected areas. The species is not protected by national legislation in Morocco.,"David Donaire-Barroso, Alfredo Salvador, Iñigo Martínez-Solano, Mario García-París, Ernesto Recuero Gil, Tahar Slimani , El Hassan El Mouden, Tahar Slimani, Philippe Geniez, Ulrich Joger"
ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Pelophylax,ridibundus,, Pelophylax ridibundus is the central member of the P. ridibundus complex. Investigations of mitochondrial DNA suggest that populations from the southern Caucasus and Central Asia might represent a separate species. The taxonomy of Anatolian water frogs (including P. ridibundus ) is still unclear; some authors suggest that the presence of P. ridibundus in Turkey cannot be established on the basis of morphometric data.,,,LC,,LC,,"Listed as Least Concern in view of its wide distribution, tolerance of a broad range of habitats, presumed large population, and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.Turkey: NT due to the overcollecting has been a 20-25% decline over the past 10 years.",Increasing,"This is a widespread species in western, central and eastern Europe and ranges as far eastwards as eastern Kazakhstan. There are introduced populations in the southeast United Kingdom (where the range is spreading), Switzerland, Belgium (Wallonia), Spain (Villasbuenas de Gata, Cáceres and unspecified localities in Galicia, Cataluña and Comunidad Valenciana), Siberia and Kamchatka, Russia and northwestern Xinjiang (Yining, Tacheng, Wenquan, Huocheng and Xinyuan), China. It is present throughout Turkey (although this might represent a separate taxon), possibly Syrian Arab Republic, much of Iran, northeastern Iraq and most of northern Afghanistan (absent from Pakistan). Isolated populations are present in Bahrain (it is not known as to whether or not this is an introduction) and within Saudi Arabia (relict populations in the southern Hadramaut, and an introduction at Al Kharj). Further investigations are needed into the range of the species within Iraq and Saudi Arabia. Numerous introductions have expanded the range in Siberia and Kamchatka. In Central Asia, it is often difficult to distinguish between the periphery of natural range and the areas occupied after dispersal and introductions. Numerous populations in Kazakhstan have originated through deliberate introductions from local laboratories and universities. The species was introduced into Siberia and Kamchatka through the accidental introduction of tadpoles with fish into reservoirs with warm discharge waters from electric power stations. It occurs from sea level to altitudes of around 2,500m asl.",This is generally a common to abundant species where it occurs.,"It is a highly opportunistic amphibian, living in mixed and deciduous forests, forest steppe, and steppe and other grasslands, semi-desert and desert zones. Arid areas are largely colonized through river valleys and channels. The frog prefers open, well-warmed areas with abundant herbaceous vegetation. It is a semi-aquatic species, inhabiting (and breeding in) a wide variety of flowing and stagnant water habitats, from shallow puddles and ponds to large lakes, reservoirs, rivers and brooks. It may also be found in slightly saline water; on the northern shore of the Apsheron Peninsula (Caspian Sea), reproduction has been observed in marine water at a distance of 0.5-1m from the shore. It is present in many modified habitats.","There are no major threats to this adaptable species. Loss of breeding habitats may lead to localized declines, but it is very resistant to environmental pollution and animals may be found in highly polluted waters (such as chemical or metallurgic pollution) where other amphibian species cannot survive. Severe, or prolonged, droughts may lead to localized population declines of this frog in arid areas. The harvesting of this species for educational and medical research, or food, appears to have little effect on some populations, although the frog-leg trade and high levels of pollution are leading to significant declines in populations in eastern Asia, in the former Yugoslavia (Dzukic, 1996; Ljubisavljevic et al. 2003) and possibly also in Romania. In Turkey, the harvesting of frog populations allocated to Pelophylax ridibunda for food appears to be a threat, thus the frog-leg trade and very significant levels of pollution due to some industrial areas might be leading to significant declines in populations in Turkey.","It is listed on Annex V of the EU Natural Habitats Directive and on Appendix III of the Berne Convention, and is protected by national legislation in a number of countries. It is listed in a number of national and regional Red Data Books and Lists, and is present in many protected areas. There is a need to control or eliminate this species where it has been introduced outside its natural range, as it is a threat to native species. In parts of its range, mitigation measures to reduce road kill have been established.","Sergius Kuzmin, David Tarkhnishvili, Vladimir Ishchenko, Tatjana Dujsebayeva, Boris Tuniyev, Theodore Papenfuss, Trevor Beebee, Ismail Ugurtas, Max Sparreboom, Nasrullah Rastegar-Pouyani, Ahmad Disi, Steven Anderson, Mathieu Denoël, Franco Andreone"
ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PELOBATIDAE,Pelobates,cultripes,,,Yes,Yes,NT,,NT,,"Listed as Near Threatened because this species is probably in significant decline (but probably at a rate of less than 30% over ten years) because of widespread habitat loss through much of its range and the impacts of invasive predators, thus making the species close to qualifying for Vulnerable.",Decreasing,"This species is present in most of the Iberian Peninsula (except the northern area of the Peninsula and parts of central and northern Portugal), and southern France. There are also isolated populations in western France. It occurs from sea level (France and Spain) up to 1,770m asl (Spain). Its Area Of Occupancy is much smaller than its Extent Of Occurrence, as it is restricted to a specific type of habitat.","This species is generally common in suitable habitat. However, population declines have been observed in most of its range.","The burrowing habits of this species generally restrict its distribution to areas with sandy or soft soils. It occurs in dunes, oak forest, scrub, cultivated land, and open areas, sometimes close to human habitation. In France it is largely restricted to coastal regions. It breeds in temporary pools and livestock ponds with thick vegetation that occasionally may be brackish. This species has a long larval development period, which makes it vulnerable to introduced predators and desiccation of ponds.","In Iberia threats include the isolation of populations by agricultural intensification, destruction of wetland habitats (by urban development) and their pollution (with agrochemicals), and introduction of predatory Louisiana crayfish ( Procambarus clarkii ) and fish (such as Gambusia holbrooki ) to breeding areas. Mortality on roads, and tourism development, are causing localized declines in some populations. In France, tourism and wetland drainage are the principal threats to this species. Overall, the severity of the threats to this species appears to be increasing.","It occurs in a number of protected areas, including several NATURA 2000 sites, and is listed on Appendix II of the Bern Convention and on Annex IV of the EU Habitats Directive. It is protected by national legislation in Spain, and is listed in a number of national and subnational Red Data Books.","Pedro Beja, Jaime Bosch, Miguel Tejedo, Miguel Lizana, Iñigo Martínez-Solano, Alfredo Salvador, Mario García-París, Ernesto Recuero Gil, Valentin Perez-Mellado, Carmen Diaz Paniagua, Marc Cheylan, Rafael Marquez, Philippe Geniez"
