Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Taxonomic Authority,Taxonomic Notes,Endemic to Europe,Endemic to EU27,European regional Red List Category,European regional Red List Criteria,EU27 regional Red List Category,EU27 regional Red List Criteria,Rationale of the Red List Category,Population Trend,Range,Population,Habitat,Threats,Conservation Actions,Use and Trade,Red List Assessors,Red List Reviewers,Red List Contributors
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Afranthidium,carduele,,,,0,0,DD,,DD,,"European regional assessment: Data Deficient (DD) EU 27 regional assessment: Data Deficient (DD)  Listed as Data Deficient as there is little information available on the population size and trends. Research should be conducted in order to determine the status of this species. More importantly, the taxonomy of some of its subspecies or related species (A. malacopygum, for example) could vary after the use of molecular techniques.",Unknown,"Afranthidium carduele spreads over the eastern Mediterranean, Near East and the Caucasus. It appears in the Balkan Peninsula (Bulgaria, Macedonia and continental Greece), some Aegean Islands (Ithac, Lesbos), Turkey (Anatolia), Azerbaijan, Israel, Syria, Iran, Afghanistan, Tajikistan and Kyrgyzstan (Tkalců 1975a, Warncke 1980, Ornosa et al. 2008, Ascher and Pickering 2013).",There is no information available on the population trend of this species. The latest records are not recent.,"Afranthidium carduele is known to inhabit Mediterranean-type shrubland, semi-desert, arable land and pasture land. It has a flying period from May to July. It is oligolectic on Compositeae, in that it forages upon a specific plant family, but according to Grace (2010) it has a strong preference for the Cynareae tribe.","Afranthidium carduele is threatened by general habitat loss due to deforestation and degradation because of human activities such as residential and commercial development for housing and tourism, and herbicide and pesticide use.","The species is not subject to any targeted conservation action. It is unknown whether it occurs in any protected areas. Further research should be conducted to determine the wider distribution in Europe, the population size and trends, and the specific threats to the species.",This species is not traded or exploited commercially.,"Ornosa, C. & Ortiz Sánchez, F.J.","Kemp, J.R. & Michez, D.","Romero, D."
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Afranthidium,malacopygum,,,,0,0,DD,,DD,,"European regional assessment: Data Deficient (DD) EU 27 regional assessment: Data Deficient (DD)Listed as Data Deficient in view of the absence of  information on its population size and trends. Research should be conducted to determine the status of the species. Additonally, the taxonomy of this species and its related species (A. carduele, for example) could vary after the use of molecular analysis.",Unknown,"The species is distributed in the west Mediterranean basin in Spain, Morocco and Algeria (Warncke 1980, Ornosa et al. 2008).","The size and trend of this species' population is not fully known. The population is divided into three subpopulations, only one of which occurs in Europe.","The biology and ecology of this species is poorly known, but it is presumed that both must be similar to those of A. carduele. The species is known to inhabit Mediterranean-type shrubland, semi-desert, arable land and pasture land. It flies from May to July and is oligolectic, in that it prefers to forage upon a narrow range of flowering plant species, specifically on Asteraceae.","Afranthidium malacopygum is threatened by general habitat loss due to deforestation and degradation because of human activities such as residential and commercial development for housing and tourism, and herbicide and pesticide use.","The species is not subject to any targeted conservation action. It is unknown whether it occurs in any protected areas. Further research should be conducted to determine the distribution, population size and trends, and the specific threats to the species.",The species is not traded or exploited commercially.,"Ortiz Sánchez, F.J. & Ornosa, C.","Kemp, J.R. & Michez, D.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Afranthidium,schulthessii,,,,0,0,NT,,NT,,"European regional assessment: Near Threatened (NT) EU 27 regional assessment: Near Threatened (NT) The species is listed as Near Threatened as the area of occupancy (AOO) is approximately 700 km2 and the species is severely fragmented. It is also only known from five localities in Spain. Thus, the species is close to qualifying as threatened under Criterion B2. Research is required to determine the population trends and any specific threats to the species.",Unknown,"This species is only found in Spain and Morocco (Warncke 1980, Ornosa et al. 2008). It has been recorded at a height of 1,800 m asl in the south of Spain, but its limit is surely higher (F.J. Ortiz-Sánchez pers. obs. 1985). The approximate area of occupancy (AOO) is 700 km2.","Afranthidium schulthessii is rare and its population is severely fragmented, in that there is little genetic exchange between subpopulations. It is known in Spain from five localities and only a few individuals: one or a couple of old specimens (Dusmet 1908), another two from 1990 (Ortiz-Sánchez 1990) and 1995 (Ornosa and Martínez 1995) and two recent unpublished ones (2009 and 2010; F.J. Ortiz-Sánchez pers. comm. 2014).  There is no information available on the current Moroccan population. It was known from the south (Tafraout) and Atlantic coast of Morocco (near Agadir /High Atlas) (Warncke 1980).","Afranthidium schulthessii is found on temperate and Mediterranean shrubland and semi-deserts. It has a flight period from April to July and it has been recorded on Asteraceae (Ortiz-Sánchez 1990, Ornosa and Martínez 1995).","There is no information about specific threats. Generally, it is threatened by habitat degradation, due to deforestation and human activities, such as the use of agrochemicals. Climate change also plays a role through droughts, habitat alterations and temperature extremes.","The species is not subject to any targeted conservation action, but in view of its rare distribution it most likely should. Further research is required to establish the current status of the species throughout its range, to identify the specific threats, the population size, trends and distribution. It occurs in protected areas such as the National and Natural Park of Sierra Nevada, in the south of Spain.",This species is not traded or exploited commercially.,"Ornosa, C. & Ortiz Sánchez, F.J.","Kemp, J.R. & Michez, D.","Romero, D."
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Aglaoapis,tridentata,,,,0,0,LC,,LC,,"European regional assessment: Least Concern (LC) EU 27 regional assessment: Least Concern (LC)  Listed as Least Concern as the species is widespread and it occupies a wide range of habitats despite it being a rare species. However, research should be conducted to determine the wider distribution, population size and trends of the species.",Unknown,"Aglaoapis tridentata is a Palearctic species that occurs in Europe, from Spain to Russia and in Asia from the Caucasus, Kyrgyzstan and China (Ornosa et al. 2008, Madsen and Calabuig 2010, Ascher and Pickering 2013).The area of occupancy (AOO) is estimated to be 2,100 km2.",It is a rare species. There is no further information available for the population size and trend of this species.,"Aglaoapis tridentata is found in boreal and temperate forest, boreal and temperate shrubland, subarctic and temperate grassland, semi-desert, arable land and pasture land. It is a kleptoparasitic species, in that it parasitises the nests of other species, and in this instance the nests of different Megachilid bees such as Megachile parietina, Megachile leachella, Hoplitis adunca and Megachile roeweri (Westrich 1989, Amiet et al. 2004, Grace 2010). The species flies in May and July.","Agloapis tridentata is generally threatened by habitat loss due to deforestation and degradation because of human activities such as residential and commercial development for housing and tourism, and from herbicide and pesticide use. The direct conversion of land to agricultural use and the use of agrochemicals have severe impacts on many bees including this species.","This species is listed in the National Red Lists or Red Data Books of Finland (Endangered; Rassi 2010), Germany (Endangered; Westrich et al. 2008, 2011), Sweden (Vulnerable; Gärdenfors 2010) and Czech Republic as Dioxys tridentata (Endangered; Farkac et al. 2005).  The species is not subject to any targeted conservation action. It occurs in protected areas. Further research should be conducted to determine the wider distribution, population size and trends of the species.",This species is not traded or exploited commercially.,"Ornosa, C. & Ortiz Sánchez, F.J.","Kemp, J.R. & Michez, D.","Romero, D."
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Amegilla,albigena,,,,0,0,LC,,LC,,"European regional assessment: Least Concern (LC)EU 27 regional assessment: Least Concern (LC)Listed as Least Concern since this is the most abundant and widespread of the European Amegilla species, and there are no major current threats to the species at a continental scale nor are there any indications of declines within its range.",Stable,"This species is widely distributed throughout Europe, south of 45 degrees latitude. It can also be found in North Africa and Central Asia (Rasmont 2014).","There is no information available for the population size and trend of this species. However, this is the most abundant and widespread of the Amegilla species and populations are thought to be stable.","In Attiki (Greece) the species is a numerous component of the fauna in phryganic Mediterranean shrublands (Petanidou 1994), and in Italy it is found in both semi-natural and agricultural ecosystems (Quaranta et al. 2004). It forages mainly on Boraginaceae, Lamiaceae and Fabaceae species (Iuga 1958, P. Rasmont pers. obs. 2014) and has a long flight period, with activity reported from early spring to autumn. Amegilla albigena is host to the cleptoparasitic bee species Thyreus ramosus.","The specific threats to this species are unknown. However, given      the nature of the Mediterranean dwarf shrub communities  it is known  to     inhabit, inappropriate grazing regimes and an increased   incidence  of    fires may have a negative impact on the species. In  agricultural areas the species could be susceptible to the direct  application of pesticides, and indirectly, through the use of herbicides  which affect the forage plants.","The species is not listed in any National Red Lists or Red Data Books. There are no conservation actions in place for this species, and it is unknown whether its distribution overlaps with any protected areas within its range. Further research should be conducted to determine the population size, trends and threats to the species.",The species is not traded or exploited commercially.,"Rasmont, P. & Dehon, M.","García, M., Roberts, S. & Kemp, J.R.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Amegilla,andresi,,,,0,0,DD,,DD,,"European regional assessment: Data Deficient (DD) EU 27 regional assessment: Data Deficient (DD)  Listed as Data Deficient as there is no information available on the population size, trends, habitat, ecology and threats. Research should be conducted in order to determine the status of this species.",Unknown,"This rare species seems to be restricted to Spain, Portugal and North Africa (Rasmont 2014).","There is no information available for the population size and trend of this species, although it seems to be rare.",There is no information available on the habitats and ecology of this species although it can be assumed to occur on Mediterranean-type shrubland.,The threats to this species are unknown.,"The species is not listed in any National Red Lists or Red Data Books. There are no conservation actions in place for this species, and it is unknown whether its distribution overlaps with any protected areas within its range. Further research should be conducted to determine the population size and trends, habitat and ecology, and threats to the species.",The species is not traded or exploited commercially.,"Rasmont, P. & Dehon, M.","García, M., Roberts, S. & Kemp, J.R.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Amegilla,canifrons,,,,-1,-1,LC,,LC,,"Listed as Least Concern as the species is widely spread and abundant in the Canary Islands. However, research should be conducted on the population size, trends and threats to the species.",Unknown,"This species is endemic to the Canary Islands (Spain) (Hohmann et al. 1993, Rasmont 2014).","There is no information available for the population size and trend of this species. However, it seems to be widely spread in the Canary Islands and populations are presumed to be quite common.","Amegilla canifrons has been recorded in altitudes from the sea level up to 1,400 m asl all year-round. The species has been recorded visiting flowers from the following families: Amaryllidaceae, Apiaceae, Apocynaceae, Asteraceae, Bignoniaceae, Boraginaceae, Brassicaceae, Caesalpiniaceae, Convolvulaceae, Cucurbitaceae, Euphorbiaceae, Fabaceae, Lamiaceae, Liliaceae, Nyctaginaceae, Plumbaginaceae, Rosaceae, Scrophulariaceae, Solanaceae and Verbenaceae (Hohmann et al. 1993).There are no further details on the habitat of this species.",The threats to this species are unknown.,"The species is not listed in any National Red Lists or Red Data Books. There are no conservation actions in place for this species, but its distribution overlaps with protected areas within its range. Further research should be conducted to determine the population size and trends, habitat and threats to the species.",The species is not traded or exploited commercially.,"Rasmont, P., Dehon, M. & Ortiz Sánchez, F.J.","García, M., Roberts, S. & Kemp, J.R.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Amegilla,fasciata,,,,0,0,DD,,DD,,"European regional assessment: Data Deficient (DD) EU 27 regional assessment: Data Deficient (DD)  Listed as Data Deficient as there is no information available on the population size, trends, habitat, ecology and threats. Research should be conducted in order to determine the status of this species.",Unknown,"This species is found from the Iberian Peninsula and the Canary Islands to southern France (where it is extremely rare), Italy and North Africa (Rasmont 2014).",There is no information available for the population size and trend of this species.,"There is no information available on the habitat and ecology of this species, although it can be assumed to occur on Mediterranean-type shrubland.",The threats to this species are unknown.,"The species is not listed in any National Red Lists or Red Data Books. There are no conservation actions in place for this species, and it is unknown whether its distribution overlaps with any protected areas within its range. Further research should be conducted to determine the population size and trends, habitat and ecology, and threats to the species.",The species is not traded or exploited commercially.,"Rasmont, P. & Dehon, M.","Nieto, A., García, M. & Roberts, S.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Amegilla,garrula,,,,0,0,LC,,LC,,"European regional assessment: Least Concern (LC) EU 27 regional assessment: Least Concern (LC)  Listed as Least Concern as the species is widespread and it is presumed to have a large overall population. However, research should be conducted into the population size, trends and ecology of the species.",Unknown,"This species is mostly restricted to the Mediterranean areas of Europe. Outside of Europe, it is found in the Near Orient and the Caucasian region, although it is not present in the Near East nor North Africa (Rasmont 2014).","There is no information available for the population size and trend of this species. However, it is widespread and it is presumed to have a large population overall.","In Attiki (Greece) the species is found in  phryganic Mediterranean shrublands (Petanidou 1994), and in Italy it is  present in both semi-natural and agricultural ecosystems (Quaranta et al. 2004).  Its precise forage requirements are unknown but it has been observed visiting Ballota acetabulosa (Lamiaceae) (Petanidou 1994). It flies from the end of the summer to autumn. Amegilla garrula is host to the cleptoparasitic bee species Thyreus truncatus (Iuga 1958).","The specific threats to this species remain unknown. However, given       the nature of the Mediterranean dwarf shrub communities  it is known   to     inhabit, inappropriate grazing regimes and an increased    incidence  of    fires may have a negative impact on the species. In   agricultural areas the species could be susceptible to the direct   application of pesticides, and indirectly, through the use of herbicides   which affect the forage plants.","The species is listed in the National Red List or Red Data Book of Switzerland as Anthophora garrula (Endangered; Amiet 1994). There are no conservation actions in place for this species, and it is unknown whether its distribution overlaps with any protected areas within its range. Further research should be conducted to determine the population size and trends, ecology and threats to the species.",The species is not traded or exploited commercially.,"Rasmont, P. & Dehon, M.","García, M., Roberts, S. & Kemp, J.R.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Amegilla,magnilabris,,,,0,0,DD,,DD,,"European regional assessment: Data Deficient (DD) EU 27 regional assessment: Data Deficient (DD)  Listed as Data Deficient as there is no information available on the population size, trends, habitat, ecology and threats. Research should be conducted in order to determine the status of this species.",Unknown,"This species is present through much of Mediterranean Europe. Elsewhere, it is found in Algeria and it extends eastwards to Anatolian Turkey (Rasmont 2014).",There is no information available for the population size or trend of this species.,"This species mainly occurs in open grasslands and steppes where it  forages mainly on Boraginacae species (Friese 1897, Iuga 1958). In Greece it is found in phryganic Mediterranean shrublands (Petanidou 1994) and in Italy it occurs in semi-natural ecosystems (Quaranta et al. 2004). Information on the nesting behaviour and forage preferences of the species are unknown, but it has been found visiting flowers of Fumana thymifolia (Cistaceae) (Petanidou 1994). The species flies in the summer, being on the wing from June to September.","The specific threats to this species are unknown. However, given        the nature of the Mediterranean dwarf shrub communities  it is known    to     inhabit, inappropriate grazing regimes and an increased     incidence  of    fires may have a negative impact on the species.","The species is not listed in any National Red Lists or Red Data Books. There are no conservation actions in place for this species, and it is unknown whether its distribution overlaps with any protected areas within its range. Further research should be conducted to determine the population size and trends, habitat and ecology, and threats to the species.",The species is not traded or exploited commercially.,"Rasmont, P. & Dehon, M.","García, M., Roberts, S. & Kemp, J.R.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Amegilla,nigricornis,,,,0,0,DD,,NE,,"European regional assessment: Data Deficient (DD) EU 27 regional assessment: Not Evaluated (NE)  Listed as Data Deficient as there is no information available on the population size, trends, habitat, ecology and threats. Research should be conducted in order to determine the status of this species. It does not occur in the EU 27.",Unknown,"In Europe, this species is only present through the surroundings of Astrakhan, in the Volga delta, Russia. Elsewhere, this rare species is known from several localities in Central Asia and Algeria (Friese 1897, V. Radchenko pers. comm. 2014, Rasmont 2014).","There is no information available for the population size and trend of this species. However, Amegilla nigricornis is a rare species, and its population is primarily found in central Asia.","There is no information available on the ecology of the species. However, it seems to be present in arid steppes.",The threats to this species are unknown.,"The species is not listed in any National Red Lists or Red Data Books. There are no conservation actions in place for this species, and it is unknown whether its distribution overlaps with any protected areas within its restricted European range. Further research should be conducted to determine the population size and trends, habitat and ecology, and threats to the species.",This species is not traded or exploited commercially.,"Rasmont, P. & Dehon, M.","García, M., Roberts, S. & Kemp, J.R.",
ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Amegilla,ochroleuca,,,,0,0,DD,,DD,,"European regional assessment: Data Deficient (DD) EU 27 regional assessment: Data Deficient (DD)  Listed as Data Deficient as there is very little or no information available on the population size, trends, habitat, ecology and threats. Research should be conducted in order to determine the status of this species.",Unknown,This species is found scattered through the Mediterranean areas of Europe. Outside of Europe it is reported from Anatolian Turkey and North Africa (Rasmont 2014).,"There is no information available for the population size and trend of this species, although it is known to be rare.","There is no information available on the habitat or ecology of this species, although it can be assumed to occur on Mediterranean-type shrubland. However, it is known to forage on thistles (Asteraceae) and on Lavandula intermedia (Lamiaceae).",The threats to this species are unknown.,"The species is not listed in any National Red Lists or Red Data Books. There are no conservation actions in place for this species, and it is unknown whether its distribution overlaps with any protected areas within its range. Further research should be conducted to determine the population size and trends, habitat and ecology, and threats to the species.",The species is not traded or exploited commercially.,"Rasmont, P. & Dehon, M.","García, M., Roberts, S. & Kemp, J.R.",
