Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxonomic Authority,Taxonomic Notes,Endemic to Europe,Endemic to EU27,European regional Red List Category,European regional Red List Criteria,EU27 regional Red List Category,EU27 regional Red List Criteria,Rationale of the Red List Category,Population Trend,Range,Population,Habitat,Threats,Conservation Actions,Assessment Date,Red List Assessors
ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Ammoperdix,griseogularis,"(Brandt, 1843)",,No,No,LC,,NE,,"European regional assessment: Least Concern (LC)EU27 regional assessment: Not Applicable (NA)Although this species may have a restricted range, it is not believed to approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence 10% in ten years or three generations, or with a specified population structure). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (30% decline over ten years or three generations). For these reasons the species is evaluated as Least Concern in Europe. The bird is not known from the EU27 region.",Stable,,"The European population is estimated at 4,000-6,100 pairs, which equates to 8,000-12,100 mature individuals. The species does not occur in the EU27. For details of national estimates, see attached PDF.","The species is found on dry and stony foothills that are lightly vegetated or bare, occasionally on plateaux up to approximately 2,000 m. It is found in warmer, lower areas than Alectoris chukar where they are sympatric (McGowan and Kirwan 2014). It prefers flatter terrain often close to water (Madge and McGowan 2002). It is not found in narrow ravines, around crags or amongst thick tree cover (McGowan and Kirwan 2014). Typically six to nine eggs are laid from mid-April in south-east Turkey (Madge and McGowan 2002). It nests on exposed ground sheltered by grass or rocks. The nest is occasionally in a small hollow and sometimes lined with grass. Birds feed on shoots, leaves, seeds and berries and also take insects. The species is usually sedentary (McGowan and Kirwan 2014).","The species is widespread with little human disturbance (Fuller et al. 2000). Studies have found traces of toxic metals in the feathers of this species (Zolfaghari  et al. 2007, Norouzi et al. 2012). Also, possibly threatened by development of dams (Biricek and Karakas 2012).","Conservation Actions UnderwayLeast Concern (Fuller et al. 2000). Mace-Lande: Insufficient information. Hunting is banned in Turkey and recent surveys there revealed the species to be rather more numerous than previously thought. Only recently (2003) discovered in southern Armenia (McGowan and Kirwan 2014).Conservation Actions ProposedThe protection of important sites, including legislation to protect them from development should be developed. Research should be undertaken into the species's ecology and habitat needs, and assessments of potential threats made in order to develop appropriate responses.",,
ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetraogallus,caucasicus,"(Pallas, 1811)",,Yes,No,LC,,NE,,"European regional assessment: Least Concern (LC)EU27 regional assessment: Not Applicable (NA)This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence 10% in ten years or three generations, or with a specified population structure). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (30% decline over ten years or three generations). For these reasons the species is evaluated as Least Concern in Europe.The bird is not recorded from the EU27 region.",Stable,,"The European population is estimated at 3,300-13,500 pairs, which equates to 6,700-27,100 mature individuals. The species does not occur in the EU27. For details of national estimates, see attached PDF.","The species is endemic to the Caucasus where it is found in the Alpine and sub-Alpine zones of the High Caucasus and neighbouring mountain ranges. Birds use mountain slopes with rocky outcrops, alpine meadows, clumps of bushes and patches of melting snow (Tucker and Heath 1994) but avoid forest, scrub and large areas of snow cover (McGowan 1994). It is generally found at altitudes of 2,300 to 4,000 m (Tucker and Heath 1994) and occasionally from 1,800 m. The start of courtship can vary between years but usually takes place from early April. Laying occurs between late April and July with five to eight eggs laid. It nests in the open or under rock overhangs. Birds feed mainly on plant material including leaves, fruits, stems and tubers. Their diet changes over the year depending on availability of the different plant parts; feeding on dry material in autumn and winter and shoots and other materials when available (McGowan 1994). Birds perform seasonal altitudinal migrations moving to lower altitudes to overwinter (Tucker and Heath 1994) and higher altitudes post-breeding (McGowan 1994).",The only known threat is from habitat degradation caused by overgrazing by domestic stock (McGowan 1994).,"Conservation Actions UnderwayMace Lande: Safe. The species was included on USSR Red List in 1978. In Turkey, it occurs only in Artvin and hunting has been banned. It is also found in at least three protected areas, the Tebezdinsky Reserve in Russia, the Zakataly Reserve in Azerbaijan and the Lagodechy Reserve in Georgia. The species also occurs in Caucasus Endemic Bird Area (McGowan 1994).Conservation Actions ProposedImportant areas should be identified and protected from over grazing. Population monitoring and species research should be undertaken to inform future conservation research.",,
ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Tetraogallus,caspius,"(Gmelin, 1784)",,No,No,LC,,NE,,"European regional assessment: Least Concern (LC)EU27 regional assessment: Not Applicable (NA)This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence 10% in ten years or three generations, or with a specified population structure). The population trend is not known, but the population is not believed to be decreasing sufficiently rapidly to approach the thresholds under the population trend criterion (30% decline over ten years or three generations). For these reasons the species is evaluated as Least Concern in Europe.The bird is not recorded from the EU27 region.",Unknown,,"The European population is estimated at 4,500-10,800 pairs, which equates to 9,100-21,700 mature individuals. The species does not occur in the EU27. For details of national estimates, see attached PDF.","The species uses meadows in the sub-alpine and alpine zones between altitudes of 2,400 and 4,000 m (Tucker and Heath 1994) and occasionally down to 1,800 m. Birds are found on steep slopes lacking snow cover and gorges and crags with patches of snow and some herb and grass cover (McGowan 1994). Birds prefer south-facing slopes in summer and north-facing ones in winter. During winter they avoid areas with a covering of snow and use open ground with steppe-like vegetation instead (Tucker and Heath 1994). Courtship usually begins in April, with laying in late April and May. Typically five to nine eggs are laid (McGowan 1994). Nests are found on steep slopes in the open, beneath overhanging rocks, amongst stones or in tufts of grass (Tucker and Heath 1994). Birds feed exclusively on plant material, particularly legumes, feeding on bulbs, flowers, fruit and seeds (Baziev 1978). The species is mainly sedentary and in some areas does not even descend to lower altitudes during heavy snowfall. However some altitudinal movement has been observed in Turkey (McGowan 1994).","Its alpine habitat is threatened by overgrazing, which is easily reached by shepherds with guns, and with their sheep and dogs. In 1993 most of the species's range in Azerbaijan was suffering with intensive military activity, and it was feared that poaching and the spread of long range firearms could have drastic effects (McGowan and Boesman 2013).","Conservation Actions UnderwayLeast Concern (Fuller et al. 2000). Mace-Lande: Vulnerable. CITES I although it is proposed for downgrading to Appendix II (Anon 2012). Included on USSR Red List in 1978. Considered Vulnerable in Turkey (Kirwan et al. 2010), as well as Georgia, where the population, at the edge of the species's range is believed to be very small. The species is found in five Important Bird Areas in Armenia, five in Azerbaijan, four in Georgia and six in Turkey (Anon 2012).Conservation Actions ProposedHabitat protection is needed and an extensive survey should aim to locate healthy populations in Turkey. Species does not adapt well to captivity (McGowan et al. 1995).",,
ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Alectoris,graeca,"(Meisner, 1804)","Alectoris graeca(Sibley and Monroe 1990, 1993) was split into A. graeca and A. whitakeri by Corso (2010). The case for recognising Sicilian Rock PartridgeAlectoris (graeca) whitakeri as a separate species rests on:  more pronounced, warmer ear-coverts (2)",Yes,No,NT,A2abcd+3bcd+4abcd,VU,A2abcd+3bcd+4abcd,"European regional assessment: Near Threatened (NT)EU27 regional assessment: Vulnerable (VU)This European endemic partridge is undergoing moderately rapid population declines in Europe, where it is classified as Near Threatened. Within the EU27 the small population is declining more rapidly and it is therefore listed as Vulnerable.",Decreasing,"The species is endemic to Europe, occurring only in the Alps, the Apennines, Sicily and the Balkans. It is suspected to be declining moderately rapidly, particularly in the Balkans which hold a substantial proportion of the species's population and range, based on a balanced assessment of the available evidence (e.g., Griffin 2011, A. Bernard-Laurent in litt. 2012). Within the Balkans, it breeds in Albania, Bosnia and Herzegovina, Bulgaria, Croatia , Greece, Macedonia, Montenegro and Serbia. It is also present in Albania, Austria, Italy and Switzerland. A small population persists in Slovenia. Introduced populations are found in the UK and Russia (MacGowan and Kirwan 2014).","The European population is estimated at 41,800-73,400 pairs, which equates to 83,500-147,000 mature individuals. The population in the EU27 is estimated at 21,300-39,300 pairs, which equates to 42,600-78,700 mature individuals. For details of national estimates, see attached PDF.","This species utilises a variety of habitats and different altitudes, up to 3000 m in the Alps and almost down to sea level in Sicily and Greece. Generally they prefer open, mountain habitats with grassy patches, low scrub or scattered conifers (Griffin 2011). Winter flocks begin to break up from February and territories are established March to April with eggs laid from mid-May to June in the Alps and late-April to June in Greece. It is normally monogamous, forming long-term pair-bonds although some instances of successive bigamy and some exchange of partners have been reported. The nest site, believed to be chosen by the male, is a scrape excavated by the female. Clutches are normally eight to fourteen eggs. It is predominantly vegetarian, eating seeds, fruits and green material, but also some terrestrial invertebrates. Chicks, and females in spring, consume relatively high proportions of invertebrates, mainly adult and larval insects. Foraging continues day-round in winter, but is concentrated in the early morning and late afternoon in summer. This species is sedentary however, altitudinal movements are reported in mountain breeding areas, initially moving higher immediately post-breeding, then lower as winter advances. Birds may remain at breeding altitude of 1,900–2,700 m in winter, if snowfall is not too heavy (McGowan and Kirwan 2014).","Studies in different parts of the species's range (summarised in Griffin 2011) indicate that it is affected by a wide variety of threats, including habitat loss and degradation (Bernard-Laurent and de Franceschi 1994), abandonment of traditional agro-pastoral activities (Budinski et al. 2010, Rippa et al. 2011), reduced connectivity between metapopulations (Cattadori et al. 2003), disturbance, poaching, unsustainable hunting, extreme climatic events (Bernard-Laurent and Leonard 2000), hybridisation with released captive-bred Chukar (Alectoris chukar) and Red-legged Partridge (Alectoris rufa) (Barilani et al. 2007, Randi 2008), and the transfer of pathogens and parasites from these species (Manios et al. 2002, Rosà et al. 2011). Additional threats include the increase of tourism in mountain areas, predominantly in the French and Austrian Alps (A. Bernard-Laurent in litt. 2012).","Conservation Actions UnderwayEU Birds Directive Annex I and II. The species is classified as Threatened or Near Threatened in Red Data Books in Austria, Bulgaria, Croatia, France, Greece, Italy and Switzerland.Conservation Actions ProposedConduct surveys to determine population size and trends across the species's range. Improve knowledge on the effects of hunting on the species. Implement measures to reduce abandonment of traditional agro-pastoral activities. Safeguard the species's habitat. Improve legislation and enforcement to reduce unsustainable hunting and poaching. Investigate hybridisation with captive-bred A. chukar and A. rufa and pathogen and parasite transfer from these species.",,
ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Alectoris,chukar,"(Gray, 1830)",,No,No,NT,A2abcd+3bcd+4abcd,LC,,"European regional assessment: Near Threatened (NT)EU27 regional assessment: Least Concern (LC)This partridge has undergone moderately rapid population declines in its European breeding range that are estimated to be in the range 20-29% and it is therefore classified as Near Threatened (A2abcd+3bcd+4abcd) in Europe.Within the EU27 this species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence<20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population size is very large, and hence does not approach the thresholds for Vulnerable under the population size criterion (<10,000 mature individuals with a continuing decline estimated to be >10% in ten years or three generations, or with a specified population structure). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (>30% decline over ten years or three generations). For these reasons the species is evaluated as Least Concern within the EU27.",Decreasing,"This species's range extends from the east Balkans, the adjacent  Mediterranean islands (most Aegean islands, Crete, Cyprus) and Turkey and continues into central Asia. Outside of these areas, it has been introduced locally in many countries, including the U.K., France, mainland Greece and some Greek islands (Hagemeijer and Blair 1997).","The European population is estimated at 488,000-1,680,000 pairs, which equates to 975,000-3,370,000 mature individuals. The population in the EU27 is estimated at 71,500-143,000 pairs, which equates to 143,000-286,000 mature individuals. For details of national estimates, see attached PDF.","The species is found on barren arid and semi-arid hillsides with low vegetation cover and occasional stunted trees and bushes (Watson 1962, Papaevangelou 1980). At lower altitudes it is found on rocky slopes with shrubs and bushes adapted to dry conditions, in vineyards, olive groves and on agricultural land (Pantelis 1980, Papaevangelou 1980, Serez 1992). It has also been found on forested slopes up to 2,800 m in the Turkish mountains bordering the Black Sea (Serez 1992).Laying occurs mid-April to May in the Mediterranean with 7–12 eggs laid. The nest consists of a scrape sometimes lined with grass or leaves and is found under the shelter of bushes or overhanging grasses. It feeds on plants and insects, taking bulbous roots, grains and shoots of grasses and cereals (McGowan& Kirwan 2013) as well as leaves, buds, flowers and berries (Watson 1962, Cramp & Simmons 1980). Availability of water influences population density even though birds will move up to 10 km to access water (Watson 1962). They undergo seasonal altitudinal movements moving to lower altitudes during the winter (McGowan & Kirwan 2013).",Severe winters are known to affect the Turkish populations and pesticides may now be a cause for concern. It is also suffering from habitat degradation in some areas (McGowan and Kirwan 2013).,Conservation Actions UnderwayEU Birds Directive Annex II. Protected in Turkey since 1990 (McGowan and Kirwan 2013).Conservation Actions ProposedAssessment of the impacts of pesticides is needed to inform appropriate conservation measures. Identify key areas of habitat for this species and take steps to protect and expand them.,,
ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Alectoris,barbara,"(Reichenow, 1896)",,No,No,LC,,LC,,"European regional assessment: Least Concern (LC)EU27 regional assessment: Least Concern (LC)At both European and EU27 scales, although this species may have a small range, it is not believed to approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence 10% in ten years or three generations, or with a specified population structure). The population trend is not known, but the population is not believed to be decreasing sufficiently rapidly to approach the thresholds under the population trend criterion (30% decline over ten years or three generations).For these reasons the species is evaluated as Least Concern within both Europe and the EU27.",Unknown,,"The European population is estimated at 7,500-20,000 pairs, which equates to 15,000-40,100 mature individuals. The entire population is found in the EU27. For details of national estimates, see attached PDF.","The species is found in predominantly dry, open country with scrubby cover (Tucker and Heath 1994). It uses steep slopes, rocky areas and arid hillsides, stony terraces, unimproved agricultural land, open or degraded maquis and woodland, including open pine forest (Tucker and Heath 1994, McGowan and Kirwan 2013). The species lays between March and May although eggs have been reported in December on the Canary Islands (Clark 2006, McGowan and Kirwan 2013). It can lay six to twenty seven eggs (Znari 1998). It breeds earlier in the lowlands than in the mountains. In very dry years it may not breed at all in semi-arid habitats (McGowan and Kirwan 2013). The nest is a depression in the ground which is usually lined and sheltered by long grass, bushes or boulders (Madge and McGowan 2002, Mocci Demartis and Massoli-Novelli 1978). It has a varied diet but predominantly feeds on leaves, shoots, fruits and seeds of a wide range of grasses and herbs with insects such as ants forming an important supplement. The species is mainly sedentary (McGowan and Kirwan 2013).","The main threat in Europe is hunting. In Sardinia regulatory measures exist but are not enforced due to a sufficient number of wardens. In the Canary Islands the remaining population is restocked annually to enable sport hunting (McGowan and Kirwan 2013), however this increases the risk if introducing disease and genetic contamination. Other threats are intensive use of pesticides, outbreaks of fire and the abandonment of cultivated land (Tucker and Heath 1994).","Conservation Actions UnderwayEU Birds Directive Annex I, II and III. Mace Lande: Safe. The reinforcing of populations continues, such as in the Canaries where local populations are restocked annually to accommodate sport hunting. In Gibraltar, over 200 birds hatched locally from eggs supplied from northern Morocco were released progressively in 2014; Prior to this habitat improvement measures, involving scrub clearance, and cat control, preceded these releases (McGowan and Kirwan 2013).Conservation Actions ProposedIn order to alleviate pressure from hunting, legislation should be enforced where it exists and protected areas where shooting is banned should be created to provide safe areas and preserve suitable habitat. In the Canaries a moratorium on hunting should be introduced for one or two years to allow numbers to recover. Low-intensity farming should be promoted to protect and restore suitable habitats (Tucker and Heath 1994).",,
ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Alectoris,rufa,"(Linnaeus, 1758)",,Yes,Yes,LC,,LC,,"Global and European regional assessment: Least Concern (LC)EU27 regional assessment: Least Concern (LC)This bird is endemic to the European region, although introduced and reproducing elsewhere. At both European and EU27 scales this species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence 10% in ten years or three generations, or with a specified population structure). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (30% decline over ten years or three generations).For these reasons the species is evaluated as Least Concern within both Europe and the EU27.",Decreasing,,"The European population is estimated at 5,060,000-7,080,000 pairs, which equates to 10,100,000-14,200,000 mature individuals. The entire population is found in the EU27. For details of national estimates, see attached PDF.","The species is found in open habitats ranging from Mediterranean to humid temperate zones but not in boreal, oceanic or arid zones (Tucker and Heath 1994, McGowan and Kirwan 2013). It prefers lowland areas and avoids forest and wet areas if possible. It uses habitats with a wide variety of soils and land uses including dry hilly land with scattered bushes up to about 1,300 m (occasionally up to 2,000 m) in montane foothills, inhospitable dry terrain on lower mountain slopes and marginal cultivation, cropland, orchards or woodland (McGowan and Kirwan 2013). Over most of its range it is associated with arable farming, using low-intensity cropping with a mixture of cultivated, fallow and uncultivated ground (Tucker and Heath 1994). Laying dates vary between countries; April to early May in Portugal, late April to May in England and May to mid-June in France. The nest is a scrape in the ground lined with a few pieces of vegetation. Clutch sizes average 11.2–12.7 eggs. It feeds on seeds, leaves and roots with grasses and legumes particularly important in winter. It will also eat insects. The species is mostly sedentary but may descend to lower ground during the winter (McGowan and Kirwan 2013).","The disappearance of uncultivated land due to changes in agricultural practice has resulted in the loss of nesting cover and chick food. In pastoral areas, pastures have been agriculturally improved and areas of low, herb-rich scrub converted to grassland and further habitat loss has occurred through the loss of arable farming from open hill areas, if livestock are removed (leading to encroachment of tall scrub and forest) (Tucker and Heath 1994). Urbanization and agricultural expansion have also caused habitat fragmentation. In the Iberian Peninsula, hunting has led to steep declines; in Portugal over 60% of estimated potential population may be shot each year (McGowan and Kirwan 2013). Also illegal importations of A. graeca and A. chukar may also be causing problems through hybridization and competition (Tucker and Heath 1994, McGowan and Kirwan 2013).","Conservation Actions UnderwayEU Birds Directive Annex II and III. In 1993, the release of any Alectoris species other than A. rufa was discontinued in the U.K. (Tucker and Heath 1994).Conservation Actions ProposedThe promotion of low-level agriculture in the lowlands and the maintenance of of traditional farming practices in marginal hill areas should be put in place. Releases of other Alectoris species should be stopped in the rest of Europe. Sustainable hunting practices should be developed and adopted and promoted by hunting organisations and their members (Tucker and Heath 1994).",,
ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Francolinus,francolinus,"(Linnaeus, 1766)",,No,No,LC,,LC,,"European regional assessment: Least Concern (LC)EU27 regional assessment: Least Concern (LC)In Europe this species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence 10% in ten years or three generations, or with a specified population structure). The population trend appears to be fluctuating, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (30% decline over ten years or three generations). For these reasons the species is evaluated as Least Concern in Europe.Within the EU27, although this species may have a small range, it is not believed to approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence 10% in ten years or three generations, or with a specified population structure). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (30% decline over ten years or three generations). For these reasons the species is evaluated as Least Concern in the EU27.",Stable,,"The European population is estimated at 8,000-21,000 pairs, which equates to 16,000-42,000 mature individuals. The population in the EU27 is estimated at 3,000-7,000 pairs, which equates to 6,000-14,000 mature individuals. For details of national estimates, see attached PDF.","The species is found mainly in low-lying coastal areas but also in wide shallow valleys at altitudes of up to 400 m, up to 20 km inland in Cyprus and 60 km inland in southern Turkey. The species uses agricultural land as well as dense scrub mainly alongside rivers with reeds (Tucker and Heath 1994). In southern Turkey, it breeds from March to May (McGowan and Kirwan 2013). It lays seven to twelve eggs (Harrison and Castell 2002). The nest is a shallow hollow or depression, sometimes lined with a few scraps of plant material and concealed amongst vegetation. It feeds on seeds of grasses, weeds and cereal crops, shoots, leaves, tubers, berries and figs as well as insects. The species is sedentary (Madge and McGowan 2002).","This is species is threatened by hunting in Turkey and Cyprus (Johnsgaurd 1988, Tucker and Heath 1994).  It has also suffered from loss of habitat through intensification of agriculture (McGowan and Kirwan 2013). In Cyprus habitat destruction as a result of the removal of citrus and tobacco plantations and other suitable vegetation cover, primarily for tourist industry developments (tucker and Heath 1994).","Conservation Actions UnderwayEU Birds Directive Annex II. In Turkey, the species is fully protected and in Cyprus a ban on hunting was implemented 1984-1985 but this was lifted again after lobbying by the Hunting Association (Tucker and Heath 1994).Conservation Actions ProposedHunting of the species needs to be controlled and it should be added to Appendix II of the Bern Convention (Tucker and Heath 1994). Key areas of suitable habitat should be identified and protected from development and the restoration of low-intensity farming encouraged.",,
ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Perdix,perdix,"(Linnaeus, 1758)",,No,No,LC,,LC,,"European regional assessment: Least Concern (LC)EU27 regional assessment: Least Concern (LC)At both European and EU27 scales this species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence 10% in ten years or three generations, or with a specified population structure). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (30% decline over ten years or three generations).For these reasons the species is evaluated as Least Concern within both Europe and the EU27.",Decreasing,,"The European population is estimated at 1,380,000-2,670,000 pairs, which equates to 2,750,000-5,340,000 mature individuals. The population in the EU27 is estimated at 1,030,000-2,030,000 pairs, which equates to 2,060,000-4,060,000 mature individuals. For details of national estimates, see attached PDF.","The species is found in the temperate zone, steppe regions and open arable landscapes (McGowan & Kirwan 2013). Its preferred habitat is open, low-intensity mixed farmland with small fields and hedges on grassy banks (Potts 1986, Birkan & Jacob 1988). It is found in large tracts of grassland, or other ground cover that is only slightly taller than the bird itself with some dense shrubby patches at intervals such as hedgerows. Laying occurs from late April in the U.K., early May to June in central Europe and late May to June in Sweden with re-nesting until August or September (McGowan & Kirwan 2013). It typically lays 15–17 eggs in the first clutch but fewer eggs when re-nesting. The nest is a shallow depression lined with plant material at the base of a hedge or other thick vegetation (Madge and McGowan 2002). It feeds on seeds of grains and weeds, cereals and clover and grass leaves as well as insects. The species is mainly sedentary however it is partially migratory in eastern Europe and performs altitudinal migration in the Caucasus moving to the foothills in October and November (McGowan & Kirwan 2013).","Since the early part of the 20th century, the species may have declined in all 31 countries in which it is found. In the U.K., the reduction in numbers is believed to be as high as 80%; causes probably include factors such as loss of nesting cover, predation, herbicides (chick survival rates in U.K. declined from 49% to 32% once their use became widespread) and pesticides that reduce insect abundance in the spring. All of these factors are the consequences of intensification of agricultural practices (McGowan and Kirwan 2013).","Conservation Actions UnderwayMace Lande: Safe. EU Birds Directive Annex II and III, Perdix perdix italica and Perdix perdix hispaniensis Annex I. A national Species Management Plan for the Italian Grey Partridge (P. p. italica) was published in 1999 (Palumbo and Gallo-Orsi 1999). In the U.K., supplementary winter feeding is also being attempted to benefit this, and other declining granivorous birds, on farmland (McGowan and Kirwan 2013).Conservation Actions ProposedSpecific recommendations to address these problems include: provision of good-quality nesting cover; reduction of nest predation by controlling impact of foxes, stoats and feral cats and improving insect abundance in spring so that chicks have sufficient prey items (McGowan and Kirwan 2013).",,
ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Coturnix,coturnix,"(Linnaeus, 1758)",,No,No,LC,,LC,,"European regional assessment: Least Concern (LC)EU27 regional assessment: Least Concern (LC)In Europe this species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence 10% in ten years or three generations, or with a specified population structure). The population trend appears to be fluctuating, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (30% decline over ten years or three generations). For these reasons the species is evaluated as Least Concern in Europe.Within the EU27 this species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence 10% in ten years or three generations, or with a specified population structure). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (30% decline over ten years or three generations). For these reasons the species is evaluated as Least Concern in the EU27.",Stable,,"The European population is estimated at 3,320,000-6,720,000 calling or lekking males, which equates to 6,630,000-13,400,000 mature individuals. The population in the EU27 is estimated at 1,270,000-2,980,000 calling or lekking males, which equates to 2,540,000-5,950,000 mature individuals. For details of national estimates, see attached PDF.","The species is found in open habitats including agricultural land (Tucker and Heath 1994, McGowan et al. 2013) where it prefers fields of clover, winter wheat and other cereals as well as hay, rough grass and overgrown fallow (Tucker & Heath 1994). It avoids bare soils (McGowan et al. 2013), trees and scrub (Cramp and Simmons 1980, Aubrais et al. 1986), preferring areas with a dense herb layer less than 1 m tall. Egg-laying occurs from mid-May to August in northern Europe and late March to mid-June in southern Europe. Typically 8–13 eggs are laid. The nest consists of a scrape with grassy material added and is found in herbaceous vegetation or grasses. Birds feed mainly on the seeds of grasses, weeds and grain but will also eat ground-dwelling invertebrates. Birds are migratory, with most of the western Palearctic population wintering south of the Sahara mainly in the Sahel zone; however birds may winter as far north as the British Isles and Germany or around the Mediterranean (McGowan et al. 2013). Birds may also winter in north-west Africa and remain to breed in March-April before migrating into Europe where they breed once again (Guyomarc'h and Saint-Jalme 1986, Guyomarc'h 1992, Rodriguez-Teijeiro et al. 1992). Migration routes are thought to vary between individuals and years (McGowan et al. 2013).","Agricultural intensification has led to the loss of rough grass and uncultivated land and an increase in the use of herbicides and insecticides which have led to a reduction on the availability of weeds, seeds and insects (Tucker and Heath 1994). Hybridization with Japanese Quail (Coturnix japonica) is a serious danger in southern Europe (Tucker and Heath 1994, Chazara et al. 2010).  Other potential threats driving declines in Europe are hunting, long-term climactic fluctuations and drought in the sub-Saharan wintering grounds (Tucker and Heath 1994).",Conservation Actions UnderwayCMS Appendix II. EU Birds Directive Annex II.  Hunting legislation in Europe is in place but is poorly enforced (Tucker and Heath 1994). A European Species Management Plan was published in 2009 (Perennou 2009).Conservation Actions ProposedThe introduction of wide-scale habitat conservation measures is needed. The maintenance and promotion of low-intensity farming methods and the avoidance of ploughing or cutting in the nesting period would benefit this species. Existing hunting legislation should be enforced and hunters and trappers made aware of the dangers of excessive mortality.  In addition the further release of C. japonica should be prevented (Tucker and Heath 1994). Adequate population monitoring to assess hunting pressure and population trends should be implemented and research to investigate population dynamics undertaken (Perennou 2009).,,
