Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Taxonomic Notes,Endemic to Europe,Endemic to EU27,European regional Red List Category,European regional Red List Criteria,EU27 regional Red List Category,EU27 regional Red List Criteria,Rationale of the Red List Category,Population Trend,Range,Population,Habitat,Threats,Conservation Actions,Red List Assessors
ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Polyommatus,icarus,,,,,LC,,LC,,"This species is listed as Least Concern, as it has been evaluated against all the IUCN criteria and does not meet, nor is it close to meeting (e.g. populations have not been declining by more than 25% in the past 10 years), the thresholds for any category of threat.",Stable,"This species is widespread and common all over Europe. This species occurs locally on the Canary Islands. It is absent from Madeira and the Azores. 0-3,000 m. It is also found in Turkey, Middle East and temperate Asia. The global distribution area of the species is situated both within and outside Europe.","This is a common and widespread species in its European range. Decline in distribution or population size of 6-30% have been reported from Luxembourg, Republic of Ireland, Romania, Spain, Ukraine and United Kingdom (data provided by the national partners of Butterfly Conservation Europe).","The Common Blue is a very common butterfly. It looks rather like Chapman's Blue (P. thersites). It can be found on most types of grassy vegetation, ranging from quite dry, nutrient-poor grassland to moderately damp meadows. The female lays its eggs on a variety of leguminous plants, including Common Birdsfoot–trefoil (Lotus corniculatus). The caterpillars feed on the leaves. They are attended by ants of the genera Lasius, Formica, Myrmica, Tapinoma and Plagiolepis. When half-grown, the caterpillars may hibernate in the litter layer. In hot climates, aestivation also takes place, in the egg or larval stage. The caterpillars pupate in the litter layer. Depending on the geographical position and altitude of the breeding ground, the Common Blue has one to three (or occasionally even more) generations a year. Habitats: dry calcareous grasslands and steppes (12%), dry siliceous grasslands (11%), mesophile grasslands (9%), urban parks and large gardens (6%), fallow land, waste places (5%), humid grasslands and tall herb communities (5%).",This species is not believed to face major threats at the European level.,This species occurs in a number of protected areas across its range. No specific conservation actions are needed at the European level.,"van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., López Munguira, M., Maes, D., Sasic, M., Verstrael, T., Warren, M. & Settele, J."
ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Polyommatus,albicans,,,,,LC,,LC,,"This species is listed as Least Concern, as it has been evaluated against all the IUCN criteria and does not meet, nor is it close to meeting (e.g. populations have not been declining by more than 25% in the past 10 years), the thresholds for any category of threat.",Stable,"This species occurs in large parts of Spain. However, it is absent from the northwestern and western coasts and from areas bordering Portugal. 400-2,000 m. It is also found in North Africa. The largest part of the global distribution area of the species is situated in Europe, but the species also occurs in other continents.","This is a local species, restricted to (semi-) natural areas.","The Spanish Chalkhill Blue can be seen in dry, calcareous rocky places with grassy vegetation and in dry, open scrub. The only foodplant recorded in Spain is Hippocrepis commutata. The female lays its eggs on the leaves. The caterpillars are often found accompanied by Tapinoma ants. This butterfly species is single-brooded. Habitats: sclerophyllous scrub (50%), dry calcareous grasslands and steppes (50%).",This species is not believed to face major threats at the European level.,This species occurs in a number of protected areas across its range. No specific conservation actions are needed at the European level.,"van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., López Munguira, M., Maes, D., Sasic, M., Verstrael, T., Warren, M. & Settele, J."
ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Callophrys,chalybeitincta,,The species is often misidentified as being C. rubi.,,,NA,,NA,,"This species is considered Not Applicable, as Europe is at the margin of its global distribution range.",Unknown,"This species occurs in the south of Russia, northeast Caucasus and Transcaucasia and northeast Turkey (Tuzov 2,000, Gordunov 2001). Europe is at the margin of the global distribution area of the species.","This is a local species, restricted to (semi-) natural areas.","Callophrys chalybeitincta occurs in most of its range in the same habitat as the green hairstreak (Callophrys rubi), a widespread and common species at woodland edges and on scrubby fields in the lowland and at lower altitudes. The species is often misidentified as being C. rubi. Therefore details about its habitat, ecology and behaviour are unknown (Hesselbarth, Van Oirschot & Wagener 1995). In Suchumi (Kaschtak-Tchubuni) ovipositions have been observed on the flowerbuds of Rhododendron flavum, but there are no records for Turkey. In Russia, caterpillars have been found feeding on bramble (Rubus spp.). This species probably has one generation a year (Tuzov 2,000, Gordunov 2001), but it could also be bivoltine (Hesselbarth, Van Oirschot & Wagener 1995). It hibernates in the pupal stage. Detailed habitat descriptions are not available.",Not examined.,No specific conservation actions are needed at the European level.,"van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., López Munguira, M., Maes, D., Sasic, M., Verstrael, T., Warren, M. & Settele, J."
ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Callophrys,suaveola,,,,,NA,,NA,,"This species is considered Not Applicable, as Europe is at the margin of its global distribution range.",Unknown,"This species occurs in the south of the Ural, west and south Altai, northeast Turkey, Kazakhstan, southwest and central Asia (Tuzov 2,000, Gordunov 2001). Europe is at the margin of the global distribution area of the species.","This is a local species, restricted to (semi-) natural areas.","In Northeast Turkey, this species occurs on damp slopes at altitudes between 1,600 and more than 3,000 m. The vegetation at these sites consists of high herbs and shrubs, mainly Prangos species and other Umbelliferae. The soil is kept wet by melting snow (Hesselbarth, Van Oirschot & Wagener 1995). In Russia the habitat has been described as being steppe-clad slopes, also with shrubs and bushes at lower altitudes between 1,000 and 2,000 m (Tuzov 2,000, Gordunov 2001). In Russia, the foodplants of the caterpillars are different Ferula spp., but from the Turkish populations it is not known where the females lay their eggs. The species has one generation a year. Habitats: inland cliffs and exposed rocks (33%), dry calcareous grasslands and steppes (33%), dry siliceous grasslands (33%).",Not examined.,No specific conservation actions are needed at the European level.,"van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., López Munguira, M., Maes, D., Sasic, M., Verstrael, T., Warren, M. & Settele, J."
ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Callophrys,rubi,,,,,LC,,LC,,"This species is listed as Least Concern, as it has been evaluated against all the IUCN criteria and does not meet, nor is it close to meeting (e.g. populations have not been declining by more than 25% in the past 10 years), the thresholds for any category of threat.",Stable,"This species is widespread and common all over Europe. It is absent from the Atlantic islands, Hebrides, Orkney and Shetland Islands. 0-2,300 m. It is also found in Siberia to the Amur. The global distribution area of the species is situated both within and outside Europe.","This is a common and widespread species in its European range. Strong decline in distribution or population size of more than 30% have been reported from Ukraine. Decline in distribution or population size of 6-30% have been reported from Austria, Germany, Luxembourg, Republic of Ireland, Romania, the Netherlands, Turkey (European part), Ukraine and United Kingdom (data provided by the national partners of Butterfly Conservation Europe).","The Green Hairstreak can be found on nutrient-poor grassland, heathland and at the edges of bogs and marshes. The butterflies like resting in trees and shrubs, such as Alder Buckthorn (Frangula alnus), where they are well hidden by their green colour. However, a tap on a branch can bring tens of them out into the air. The Green Hairstreak is extremely polyphagous. The eggs are laid on a variety of plants, including Heather (Erica spp.), rockroses (Helianthemum spp.) and Alder Buckthorn (Frangula alnus), leguminous plants and species of Rosaceae. The caterpillars feed on the buds, flowers and young leaves. They pupate in the litter layer and the pupa hibernates. The Green Hairstreak has one generation a year. Habitats: heath and scrub (16%), broad-leaved deciduous forests (12%), mixed woodland (10%), coniferous woodland (7%), dry calcareous grasslands and steppes (6%), raised bogs (6%), tree lines, hedges, small woods, bocage, parkland dehesa (6%).",This species is not believed to face major threats at the European level.,"This species occurs in a number of protected areas across its range. No specific conservation actions are needed at the European level, but in countries where the species is declining, important habitats should be protected and managed. The effects should be monitored by Butterfly Monitoring Schemes.","van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., López Munguira, M., Maes, D., Sasic, M., Verstrael, T., Warren, M. & Settele, J."
ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Callophrys,avis,,,,,LC,,LC,,"This species is listed as Least Concern, as it has been evaluated against all the IUCN criteria and does not meet, nor is it close to meeting (e.g. populations have not been declining by more than 25% in the past 10 years), the thresholds for any category of threat.",Stable,"This species occurs throughout Portugal and scattered in Spain (including Catalonia, Basque Country, Extremadura and Andalusia) and in France on the Mediterranean coast from the Pyrenees to the Maritime Alps and in the Rhône Valley. It is also found in Northwest Africa. The largest part of the global distribution area of the species is situated in Europe, but the species also occurs in other continents.","This is a local species, restricted to (semi-) natural areas. Decline in distribution or population size of 6-30% have been reported from Portugal (data provided by the national partners of Butterfly Conservation Europe).","Chapman's Green Hairstreak is mostly found in woods and scrubs with Strawberry Tree (Arbutus unedo). The female chooses the young leaves of the older, larger trees on which to lay its eggs. Coriaria myrtifolia has also been named as foodplant. It pupates on the ground at the base of the foodplant. It has one generation a year. Habitats: sclerophyllous scrub (50%), broad-leaved evergreen woodland (25%), heath and scrub (25%).",This species is not believed to face major threats at the European level.,"This species occurs in a number of protected areas across its range. No specific conservation actions are needed at the European level, but in countries where the species is declining, important habitats should be protected and managed. The effects of conservation actions should be monitored by a Butterfly Monitoring Scheme.","van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., López Munguira, M., Maes, D., Sasic, M., Verstrael, T., Warren, M. & Settele, J."
ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Glaucopsyche,melanops,,,,,LC,,LC,,"This species is listed as Least Concern, as it has been evaluated against all the IUCN criteria and does not meet, nor is it close to meeting (e.g. populations have not been declining by more than 25% in the past 10 years), the thresholds for any category of threat.",Increasing,"This species occurs in the north of Portugal, almost all of Spain, the southeast of France from the Pyrenees, via the Cevennes and Provence to the Alps and Italy in the western Ligurian Alps. 0-1,200 m. It is also found in Northwest Africa. The largest part of the global distribution area of the species is situated in Europe, but the species also occurs in other continents.",This species is widespread in part of Europe. Decline in distribution or population size of 6-30% have been reported from Spain (data provided by the national partners of Butterfly Conservation Europe).,"The Black-eyed Blue occurs in open shrub, or open woodland, whit Genista or large bushes of broom (Cytisus spp.). Eggs are laid on the flowers of various leguminous plants, such as Dorycnium spp., birdsfoot-trefoils (Lotus spp.), Anthyllis spp., brooms (Cytisus spp.) and Genista spp.. The caterpillars feed on the flowers and are attended by ants belonging to one of the species of the genus Camponotus. The Black-eyed Blue hibernates in the pupal stage. It usually has one generation a year, although in Spain, sometimes two. Habitats: heath and scrub (40%), sclerophyllous scrub (40%), broad-leaved deciduous forests (20%).",This species is not believed to face major threats at the European level.,This species occurs in a number of protected areas across its range. No specific conservation actions are needed at the European level.,"van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., López Munguira, M., Maes, D., Sasic, M., Verstrael, T., Warren, M. & Settele, J."
ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Glaucopsyche,paphos,,,Yes,Yes,LC,,LC,,"This species is listed as Least Concern, since it has not been declining by more than 25% in the last ten years and its population size is probably larger than 10,000 adult individuals.",Stable,"Occurs only on Cyprus. Found at altitudes from 300-1,200 m. This is a European endemic species.","A local species, restricted to (semi-) natural areas.","At lower altitudes, this Blue is found in scrub, where Genista fasselata, its probable foodplant, is growing. Above 1,000 m, these butterflies occur in clearings in pine woods. It has one generation a year. Detailed habitat descriptions are not available.","Although this is a European endemic with a restricted range, this species is not believed to face major threats at the European level.","This species occurs in a number of protected areas across its range. No specific conservation actions are needed at a European level. But since it has a restricted global range, its distribution and trend should be monitored closely, for example by a Butterfly Monitoring Scheme.","van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., López Munguira, M., Maes, D., Sasic, M., Verstrael, T., Warren, M. & Settele, J."
ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Glaucopsyche,alexis,,,,,LC,,LC,,"This species is listed as Least Concern, as it has been evaluated against all the IUCN criteria and does not meet, nor is it close to meeting (e.g. populations have not been declining by more than 25% in the past 10 years), the thresholds for any category of threat.",Decreasing,"This species occurs throughout most of Europe except the western part of the Iberian Peninsula, England, Ireland, European lowlands and the north of Scandinavia. 0-1,500 m. It is also found in North Africa and central Asia to the Amur. The global distribution area of the species is situated both within and outside Europe.","This is a widespread species in its European range, but in some regions it is very local and restricted to (semi-) natural habitats. It is reported extinct in Estonia. Strong decline in distribution or population size of more than 30% have been reported from Bosnia and Herzegovina, Latvia, Poland and Ukraine. Decline in distribution or population size of 6-30% have been reported from Austria, Germany, Lithuania, Luxembourg, Romania, Slovakia, Switzerland and Turkey (European part) (data provided by the national partners of Butterfly Conservation Europe).","The Green-underside Blue is a pretty sight on both dry and damp flower-rich grassy vegetation, such as meadows and woodland clearings. The females lay their eggs between the flowers of all species of leguminous plants, including brooms (Cytisus spp.), vetches (Vicia spp.), Crown Vetch (Coronilla varia), Sainfoin (Onobrychis viciifolia), Genista spp. and melilots (Melilotus spp.). The caterpillars feed on the leaves and are frequently attended by the workers of various ants. The Green-underside Blue has one generation a year. Habitats: dry calcareous grasslands and steppes (18%), mesophile grasslands (16%), broad-leaved deciduous forests (15%), dry siliceous grasslands (11%), sclerophyllous scrub (5%).","Although this species shows a decline in a part of its European range, it is not believed to face major threats at the European scale.","This species occurs in a number of protected areas across its range. No specific conservation actions are needed at the European level, but in countries where the species is declining, important habitats should be protected and managed. The effects of conservation actions should be monitored by a Butterfly Monitoring Scheme.","van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., López Munguira, M., Maes, D., Sasic, M., Verstrael, T., Warren, M. & Settele, J."
ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Turanana,taygetica,,,,,EN,B2ab(iii),EN,B2ab(iii),"This species is restricted to a few sites in Greece (less than five locations). The habitat is being destroyed. The larval foodplant apparently has a very restricted distribution. Therefore, it is classified as Endangered in Europe and the EU27 countries.",Stable,"This species occurs in the south of Greece on Mt. Chelmos and in Taijetos Mts. 1,500-2,300 m. It is also found in Turkey. The global distribution area of the species is situated both within and outside Europe.","This is a local species, restricted to (semi-) natural areas.","The Odd-spot Blue occurs in dry, calcareous places covered with low-growing shrubs. The butterflies are frequently seen drinking the nectar from flowers, especially thyme. The male butterflies sometimes leave their usual habitat in their search for damp patches of ground. The females lay their eggs on the flowers of Acantholimon androsaceum (Plumbaginaceae). The Odd-spot Blue often shares its habitat with Fiery Copper (Lycaena thetis), its caterpillars using the same species of foodplant. The Odd-spot Blue has one generation a year and passes the winter in the pupal stage. Habitats: sclerophyllous scrub (100%).","This species has a restricted European distribution. It is threatened by changes in the agricultural practices (mainly abandonment), quarrying and tourist activities. It is also a popular butterfly for collectors, but there is no evidence to determine whether this is contributing to its decline. Due to its limited distribution, it might get threatened on the longer run by climate change. As the species is not treated in the Climatic Risk Atlas (Settele et al., 2008) there is no information on the possible change of the climate envelope.",More research is needed on the distribution and ecology of the species. Suitable habitats should be protected and appropriately managed. The effects of conservation actions should be monitored by a Butterfly Monitoring Scheme.,"van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., López Munguira, M., Maes, D., Sasic, M., Verstrael, T., Warren, M. & Settele, J."
