Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Taxonomic Notes,Endemic to Europe,Endemic to EU27,European regional Red List Category,European regional Red List Criteria,EU27 regional Red List Category,EU27 regional Red List Criteria,Rationale of the Red List Category,Population Trend,Range,Population,Habitat,Threats,Conservation Actions,Red List Assessors
ANIMALIA,ARTHROPODA,INSECTA,ODONATA,EUPHAEIDAE,Epallage,fatime,,Epallage fatime is the only European representative of the Oriental family Euphaeidae. This family holds 69 species most of which are limited to the tropical parts of Asia.,,,NT,,NT,,European regional assessment: Near Threatened (NT). EU 27 regional assessment: Near Threatened (NT). The species has very likely experienced a decline in the European part of its range due to its small AOO and continuing decline in the extent and quality of the habitat. The species is mainly threatened by canalisation and pollution of its habitat. There is however no indication that this decline has been very strong. At present and in the future the species will probably be impacted by desiccation of brooks due to climate change and it is not unlikely that this will result in a strong decline in the next decade. For this reason the species is assessed as Near Threatened.,Decreasing,"Epallage fatime has a largely southwest Asian distribution. The easternmost records are from Afghanistan and Pakistan. From there it occurs widespread in the hills and lower mountains of Iran and Turkey to the mainland of Southeast Europe. It is absent from the Arabian Peninsula and the more arid parts of Iran, Iraq and Syria. It reaches south along a small fringe of the eastern Mediterranean occurring in western Syria, Lebanon, Israel and the Palestinian Territories. The species is not uncommon in Armenia, Georgia and Azerbaijan and occurs in the Russian parts of the Caucasus but is absent further north. In Europe Epallage fatime is confined to Cyprus, some Greek islands and the southeast mainland of Europe. It is not rare in mainland Greece, European Turkey and the southeast of Bulgaria. Only one record is known from Macedonia but it is likely that some populations are present there. There is one published record from Hungary. This records is however very unlikely and is here considered invalid.",Epallage fatime has a limited range in Europe but seems to be relatively common in the areas where it occurs. It is often abundant when found and often several dozens of specimens are present in a stretch of one hundred meters.,"Epallage fatime occurs in areas with hills and lower mountains. It is exclusively found in running waters and seems to be limited to habitats with a stony substrate. Most often it is found in brooks and smaller rivers although it also occurs in small numbers in larger rivers. Larvae live under stones at places with high current. The legs are placed in an outstretched position and the abdomen and legs are flattened, both are probably adaptations to living in a strong current. In addition to this they are the only European species with sausage shaped lamellae and gills on the sides of their abdomen, both adaptations for the intake of oxygen. Based on this it has been suggested that they would be able to survive in stagnant water in times when current of the water stops due to desiccation. There is however no proof for this and the species seems to be lacking from habitats where there is no year-round current. Adults are found near the water resting on stones or, preferably, on higher vegetation near the water.",Agricultural practices along or nearby brooks resulting in pollution and canalisation of the habitat have probably had the most severe impact on this species in Europe. However many habitats where this species occurs lie in mountainous areas and are therefore relatively save from large scale agricultural practices. The main present and future threat seems to be climate change. Not only will this result in the desiccation of the habitat during spells of hot weather but this will also increase the use of the limited water resources for agricultural practices. Many new irrigation devices starting from tiny springs and headwater courses have been recently installed throughout Greece to compensate the present rainfall deficit.,This species has a limited European range and an evaluation should be made of the number of populations within reserves. Legalisation for the use of natural water resources for agricultural practices should be made.,"Kalkman, V.J."
ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,Somatochlora,borisi,,"Marinov & Seidenbusch (2007) place this taxon in a new monotypic genus, Corduliochlora. We refrain from using Corduliochlora as long as no overall phylogenetic study of the Corduliidae has been undertaken.",Yes,,VU,C1+2a(i),VU,C1+2a(i),"European regional assessment: Vulnerable (VU). EU 27 regional assessment: Vulnerable (VU). Currently there are no threats from traditional human activities in the area. However, future intensification of agriculture and of conifer plantations in connection to the extension of the European Union represent notable threats for the next 10 years. In addition, current climate warming with increased frequency, length and intensity of drought periods constitute a very strong threat for the species. The adult population size is probably less than 10,000 adults, and a decrease of 10% is expected during the next 10 years, due to more modern economic development, forest management and climate warming. Thus this species is listed as Vulnerable.",Decreasing,"Somatochlora borisi is a recently discovered species. Based on current knowledge of the species (Marinov 2001, Grebe et al. 2005, Boudot et al. 2004, Lopau 2005, Fleck et al. 2007) it is a strict endemic of the eastern Balkans occurring in the area that crosses the borders of Greece, Bulgaria and Turkey. All 17 known inhabited stream systems fall within a 13,750 km² area within both the Eastern Rhodopes and the northern and southern foot-slopes of the Istranca range, the latter being an eastern continuity of the Rhodopes range. This area has a hot and humid climate and has much forest cover, which is used both for wood production and traditional extensive rearing of goats and sheep. A number of valleys, when not planted with conifers, are well preserved and have a great entomological and botanical richness.","Seventeen stream systems are presently known to be inhabited by this species. Based on exuviae collections, counting and extrapolation during and after emergence of adults, the species seems relatively abundant in some places (100-500), and relatively reduced in others (less than 50). A rough extrapolation estimates less than 10,000 adults per year.","The main habitat are forest rivers at places with low current and below 300 m above sea level. Larvae are able to survive the drought summer period in disconnected residual pools in river beds. However, the species does not reproduce in standing water.","Most of the forest areas where this species occurs are currently extensively used for traditional rearing of goats and sheep, which result in a number of clearing areas. However, intensive conifer plantations have been grown in the past and such monospecific forest areas seem to be unfavourable for S. borisi. Monospecific plantations of Robinia pseudacacia are now developed on abandoned agricultural fields, which may reduce the availability of maturation and foraging areas. Additional conifer plantations, water pollution and stream drying in relation to global warming and abnormal summer drought may be a threat for this species in the future. As early as end July 2008, Greek localities visited showed only disconnected residual pools with no flowing water at all. With drought periods increasing in intensity, length and frequency, the species is at risk of extinction.","Necessary conservation actions are the control of water pollution, removal of conifer plantations and restoration of deciduous forests combined with the creation or maintenance of non-wooded sunny areas, particularly in the bottom of valleys. Conservation of clear riparian forests, traditionally induced by extensive rearing of goats and sheep, is required, as well as conservation of riverine trees. Two rivers inhabited by this species are included in the Greek national Dadia Protected Area buffer zone.","Boudot, J.-P."
ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,Somatochlora,sahlbergi,,,,,DD,,DD,,"European regional assessment: Data Deficient (DD). EU 27 regional assessment: Data Deficient (DD). There is not enough information available on population trend, size or its distribution and therefore the species is classified Data Deficient.",Unknown,"Somatochlora sahlbergi is a northern holarctic species, distributed from the extreme north of Norway, Sweden, and Finland to the Russian Far East, including Kamchatka, and to Alaska. More to the south, the species is known from five disjunct localities within a mountain area (800 - 2,000 m) ranging from the Altaï Mountains to the southwest of east Siberia. Most localities fall within the so-called ""treeline area"": tundra and mountain birch or dwarf pine forest above the Taiga.","In Europe, Somatochlora sahlbergi is one of the most elusive Odonata, as its range corresponds to the most cloudy and rainy area of Fennoscandia and northwest Russia. It has been scarcely observed, less than 25 records of single specimens or small populations are available. Larvae have been found in the Kevo area in several peaty pools showing more than 50 cm water depth and bordered with sedges according to Butler (1992). This kind of habitat is omnipresent in the subarctic birch belt and the tundra, so that the species is probably more widespread than believed, although not common.","In Europe, Somatochlora sahlbergi reproduces north of 67° N only. It favours both peaty pools with emergent vegetation of sedges, Myrica gale, and pools in Sphagnum peat bogs, within the tundra and the open stunted subarctic mountain birch forest belt (Betula pubescens tortuosa). It is often found in areas with permafrost. Little is otherwise known about its ecology.","A part of the European area of the species is under the influence of the atmospheric pollution issued from Russian industry at the north Kola Peninsula (acid deposition and heavy metals). As not much information is available about this species, it is not sure whether this poses a threat. It is also not clear how climate change would affect the species.",More research on population numbers and range and the biology and ecology as well as possible threats is needed. Appropriate conservation measures should be applied thereafter.,"Boudot, J.-P."
ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,Somatochlora,metallica,,"There is some debate over whether Somatochlora meridionalis is a valid species or only a subspecies of S. metallica. In this assessment, both taxa will be treated as full species. Some old records dealing with S. metallica in the Balkans may be indeed S. meridionalis.",,,LC,,LC,,European regional assessment: Least Concern (LC). EU 27 regional assessment: Least Concern (LC). S. metallica is widespread and often common in northern and eastern Europe. It is not threatened on European scale and is assessed as Least Concern.,Stable,"Somatochlora metallica ranges from northeast Spain and France to northern Fennoscandia and central Siberia. In the south of its range the species is restricted to mountain lakes in some countries of former Yugoslavia, west Bulgaria and Romania. Two old records from Bosnia and Herzegovina and Albania may refer to Somatochlora meridionalis and have to be checked.It is important to resolve problems with literature data from the Balkans, as all old records referring to S. metallica may be indeed S. meridionalis.",The species is common throughout most of northern Europe where the populations are often large. It is rare in southern Europe where it is mostly confined to mountains.,"It occurs in standing and flowing waters, avoiding fast currents.",There are no specific threats to this species on European scale. Habitat destruction and desiccation due to climate change may lead to a decrease in its southernmost localities.,None needed for this species.,"Boudot, J.-P."
ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,Somatochlora,alpestris,,,,,LC,,LC,,"European regional assessment: Least Concern (LC). EU 27 regional assessment: Least Concern (LC). Somatochlora alpestris is a habitat specialist, in the south of its range occurring in small populations. The species is widespread and common in parts of Fennoscandia and probably Russia with no indication of decline and therefore assessed as Least Concern. The isolated populations in Central Europe face some threats and should receive national attention.",Unknown,"Somatochlora alpestris is a typical boreoalpine species showing a fragmented area extending from eastern France to northern Fennoscandia, Siberia and northern Japan. Populations in Central Europe are confined to mountain ranges above 600 m a.s.l. only and are disconnected from the populations of Fennoscandia, northwest Russia and Siberia, which occurs down to sea level. The species is scattered throughout the Alps as well as in the Central European mountains ranging from the Vosges in France to the Harz in Germany and to the Carpathians in southwest Ukraine.","Adults of S. alpestris are easily overlooked and the total number which can be observed in a locality does not reflect the total number of exuviae which can be found during the emergence period. Based on exuviae, the population sizes are varying from one locality to another and are dependent on the micro-habitats that fit larvae requirement. The species is fairly common in the Alps and Fennoscandia, but occurs in small isolated populations in the rest of Central Europe.",S. alpestris favours small water bodies in Sphagnum bogs and transition mires. It also occurs in peat excavations. Adults show great sensitivity to summer weather conditions and are decimated by summer snowfalls exceeding 3 - 4 days. The species is tolerant to deep freezing and desiccation.,"In the northern part of its range, S. alpestris does not face any threats. In the southern part of its range, the species is threatened at lower altitudes. The pollution and destruction of peat bogs, peaty swamps and moorlands due to livestock excrements with eutrophication and trampling is a strong threat in the mountains of Central Europe. Tourism development may destroy some localities in the Alpine region. In addition, the natural succession of peaty habitats to dry lands may lead to the extinction of the species. Therefore, the abandonment of artisanal small scale peat extraction activities lead to peat bog closure in favour of ""dry"" heath, grasslands and forests. Climate change can reinforce this process.","No conservation measures are needed for the northern part of its range. In the south of its range, the protection of breeding habitats is needed and locally habitats should be preserved from access by livestock. The creation of water holes and small excavations in Sphagnum peat bogs is likely to create favourable micro habitats for this species and should be recommended whenever peat bogs become dry through natural succession or abnormal drought periods.","Boudot, J.-P."
ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,Somatochlora,flavomaculata,,,,,LC,,LC,,"European regional assessment: Least Concern (LC). EU 27 regional assessment: Least Concern (LC). No immediate threat is evident on the European scale and the species is therefore assessed as Least Concern. In the south, increased frequency, intensity and length of drought periods are expected in the future so the species might be more threatened in parts of its range.",Stable,Somatochlora flavomaculata extends from France and southern Fennoscandia to Siberia and Mongolia. In the south only scattered populations are recorded from Italy and the Balkans.,"S. flavomaculata is fairly common in Fennoscandia and northeast Europe and is scattered in the western and southern parts of its range. It occurs locally in large populations, however southern and western populations are frequently small. Since the 1980s an increase in abundance has been observed in the north and in the east.","The species generally prefers peaty water bodies with abundant vegetation. It occurs in fens, wet meadows, ponds, ditches, and edges of Sphagnum peat bogs. It is rarely found in slow-running waters.","There are no major threats to this species in northern and eastern part of its range where populations are increasing. In western and southern Europe the species is much more scarce and declined strongly in the 1960s to 1980s due to intensive land use (e.g. drainage). This decline seems to have stopped and recently an increase has been noted in part of this range. Increased drought periods related to climate change may lead to the drying up of additional marshes and to the extinction of several southern populations in the future. In Fennoscandia, climate change might favour this species development.","In most part of its range no conservation measures are needed at present. In some member states, the species is included in national Red Lists (Germany: EN; Austria: EN). Therefore, local conservation measures such as restoration of marshy areas are recommended.","Boudot, J.-P."
ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,Somatochlora,arctica,,,,,LC,,LC,,"European regional assessment: Least Concern (LC). EU 27 regional assessment: Least Concern (LC). Somatochlora artica is widespread over West, Central and Northern Europe and is found in a wide range of altitudes. In the south it is confined to mountain regions as isolated lowland localities so that its range is fragmented there. The species is common, widespread and not threatened in large parts of northern Europe. Therefore the species is assessed as Least Concern on EU27 and European scale. However in Central and South Europe the species is scarce to rare occuring in isolated and often small populations. Here habitat loss due to climate change could lead to a rapid decline and the species is therefore of regional conservation concern.",Unknown,"It ranges from southwest France, Ireland and Scotland to North Japan. Somatochlora arctica is common in Fennoscandia and the Alps but is scarce to rare in other parts of Central and Eastern Europe. It occurs in some isolated areas in southwest Bulgaria and the Pyrenees.",The species is often difficult to find as the habitats may look unsuitable for dragonflies. Populations of adults of S. arctica are mostly small to medium large.,"S. arctica favours Sphagnum peat bogs and transition mires where the larvae are found at places with a very small amount of open water. These situations can be found at depressions, water holes, margins of small pools, peat excavations, moorlands and tundra. In its southern range it has a preference for higher altitudes.","No threats are present in the Fennoscandian and northern Russian part of its range. However, the species is threatened in Central and southern Europe. The destruction of peat bogs due to access by livestock, industrial peat extraction, forests and peaty waterbody management are a threat in lowlands and low elevation mountains and probably led to the destruction of habitats in the past. More recently, desiccation of several habitats has been reported under the influence of climate change (Ott 2006). Natural succession of the vegetation can lead to the reduction of available habitats.","No measures are needed in the Fennoscandian and northern Russian part of its range. The protection of breeding habitats is needed throughout Central Europe and habitats should be preserved from access by livestock. The creation of water holes and small excavations in Sphagnum peat bogs is likely to create favourable micro-habitats for this species and should be recommended whenever peat bogs become dry. In several EU member states it is Red Listed (e.g., Germany: CR; Austria: VU; Poland: VU; Denmark: CR).","Boudot, J.-P."
ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,Somatochlora,meridionalis,,"There is some debate over whether Somatochlora meridionalis is a valid species or only a subspecies of S. metallica. In this assessment, both taxa will be treated as full species. Some old records dealing with S. metallica in the Balkans may refer to S. meridionalis.",,,LC,,LC,,"European regional assessment: Least Concern (LC). EU 27 regional assessment: Least Concern (LC). S. meridionalis has the center of its distribution in the Balkans, where it is locally fairly common. It is found in running water which is often deeply shaded with sunny places. Exact data on population size, trends and area of occupancy (AOO) are lacking but it is clear that its preferred habitat is impacted by climatic changes and human activities. In September 2003 and July 2008, several known localities were either dry or reduced to pools in river beds without any running water (J.P. Boudot, pers. obs.). However, as it has a relatively wide range in southeast Europe, it is presently assessed as Least Concern, with the caveat that the species is a likely candidate for Near Threatened with more data on range and threats. A reassessment should be carried out when more data is available.It is important to resolve problems with literature data from the Balkans, as all old records referring to S. metallica may refer to S. meridionalis.",Unknown,"Somatochlora meridionalis occurs in southeast Europe, Italy, Austria, Slovakia, Hungary, Czech Republic and some scatterred localities in Asian Turkey. Southeast France is the westernmost limit of its range and its type locality is in Italy. Its distribution in the Balkans is not yet clear due to confusion with S. metallica (Boudot et al. 2009, Wildermuth 2008).",The species can be locally common.,This species is mostly found in shaded running waters and occasionally reproduces in standing waters.,"Habitat destruction due to over-irrigation, rainfall deficit, forest fires, human settlement are the main threats to the species. Increased drought and drying up of brooks as a result of climate change is already a threat, as the species has its main range in the Mediterranean countries.",Control of water use for agriculture and urbanized areas and prevention from water pollution are necessary conservation measures.,"Boudot, J.-P."
ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,Somatochlora,graeseri,,,,,DD,,NE,,European regional assessment: Data Deficient (DD). EU 27 regional assessment (not present): Not Evaluated (NE). Somatochlora graeseri is reputed to occur in a large part of the Ural on both the Asiatic and European side. Its range is isolated from its main range in Eastern Asia by a large gap and migration between these two areas is not likely. Detailed information on its abundance and its habitat choice in the Ural is lacking and therefore the species is assessed as Data Deficient although the species is likely not to be threatened.,Unknown,"Somatochlora graeseri is a Siberian species extending from North Japan to the western border of central Siberia and shows a relict disjunct area over the whole Ural range (Yanybaeva 1999a, Kosterin 2005, Yanybaeva et al. 2006).",Somatochlora graeseri is said to be abundant in the Bashkirian Nature Reserve and has been recorded in the Balaya River headwaters as well (both in the Bashkortostan Republic). No precise information has been published about this species within the European part of the Ural Mountains.,"In the south Ural, Somatochlora graeseri inhabits oxbows in the forest zone but seems to be absent from lakes.",Somatochlora graeseri is probably not threatened in the Ural Mountains.,The species occurs in the Bashkirian Nature Reserve. No specific conservation measures are recommended at the moment. However more information on distribution and habitat is needed.,"Boudot, J.-P."
ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,Oxygastra,curtisii,,,,,NT,,NT,,"European regional assessment: Near Threatened (NT). EU 27 regional assessment: Near Threatened (NT). The species is nearly endemic to Europe where it is fairly common in large parts of the Iberian Peninsula and France. However it might show a continuing decline due to the pressure on its habitat, (large scale water quality degradation and stream structure transformations), global warming and subsequent frequent summer drought and desiccation of streams. The species is therefore assessed as Near Threatened (approaching criteria A3bc).",Stable,"Oxygastra curtsii is largely confined to southwestern Europe. The species is very rare in North Africa, occurring in Morocco in three localities only. Its European EOO exceeds 1 million km² and over 1,500 localities have been recorded and its total AOO exceeds most likely 2,000 km². Its main area of distribution is found in the Iberian Peninsula and France. In Italy it is known from only 20 streams and lakes and records from only three localities have been published since 1990 but this is most likely due to the lack of surveys. The species has declined in the northern margin of its range and has been lost from the UK and the Netherlands, although it probably has always been very rare in these countries. In Germany and Luxembourg it remains confined to only one river at the border between these two countries.","In Europe, this species is very rare in Germany, Belgium, Luxembourg, Switzerland and uncommon in Italy, northeastern and eastern France, rather common to common in the southwestern half and the Mediterranean fringe of France (Grand and Boudot 2006). The species is scattered with a rather low density over the whole Iberian Peninsula, but is much more present in the west than previously believed. It is Regionally Extinct in the United Kingdom (last recorded in 1957) and the Netherlands (1982).","The species reproduces in slow flowing streams and by exception in standing waters such as lakes, pools and ponds.","A general decrease is to be expected almost anywhere in the future (but much less in a large part of the southwestern half of France and western Iberia than elsewhere, due to both mountainous features and a lower agricultural pressure), owing to extensive water quality degradation and large scale stream transformations (alteration of structure and functioning, including canal construction), removal of trees bordering the streams (Salix, Alnus), global warming and subsequent frequent summer droughts and stream drying up.","This species is listed in Annexes II and IV of the EU Habitats Directive and in Appendix II of the Bern Convention. Control of water pollution, conservation of ""natural"" stream structure, riverine Alnus and Salix are required. For Germany a conservation action plan has been published (Ott et al. 2007).","Boudot, J.-P."
