Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxonomic Notes,Endemic to Europe,Endemic to EU27,European regional Red List Category,European regional Red List Criteria,EU27 regional Red List Category,EU27 regional Red List Criteria,Rationale of the Red List Category,Population Trend,Range,Population,Habitat,Threats,Conservation Actions,Use and Trade,Red List Assessors
ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Coregonus,fontanae,,Yes,Yes,LC,,LC,,"The species is very restricted to a single lake, Stechlin (4.2 km²). However the whole lake catchment is located within a well managed nature reserve. The species has no commercial value, and there are no known current, future or potential threats to the species.",Unknown,Northern Germany: Lake Stechlin (4.2 km²).,Abundant.,"Habitat: Lacustrine, inhabit deep water layers (20-60 m), migrate above 20 m at night. Lake Stechlin is a 4.25 km² oligotrophic lake (mean depth 23 m, maximum depth 69 m) formed during Weichselian glaciation (about 12,000 years BP). Biology: Spawns for the first time at two years, 65-110 mm SL for females. Spawns in April-September, usually May-June. Most individuals spawn only for a single season. Feeds mainly on Cladocera and Copepoda.",No major threats known.,"The whole lake catchment is a nature reserve, which is well managed.",,"Freyhof, J. & Kottelat, M."
ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Coregonus,atterensis,"In Mondsee, spawns one month earlier than in Attersee. Mondsee population was introduced to Attersee in the early 20th century. After introduction, early spawning individuals were recorded also from Attersee. Further studies are needed to demonstrate that the Mondsee population really belongs to the present species. Today, about half of the Coregonus harvested in Mondsee result from stocking.",Yes,Yes,VU,D2,VU,D2,"The species is found in only one location, Lake Attersee, Austria (and possibly also in Modsee) and has survived for many years alongside introduced coregonids (competition and hybridisation). The species has undergone a decline, but this was more than 15 years ago (three generations) therefore the decline in numbers and quality of habitat is neither recent or current and is now just an uncommon species in the lake. It is therefore not Critically Endangered (no continuing decline), but Vulnerable (D2) as it is found in one, possibly two, locations. The Mondsee (13 km²) population is probably an undescribed species.",Unknown,Austria: Lake Attersee. Presence in Lake Mondsee questionable.,Some decline has occurred after the 2nd World War (presice date is unknown).,"Habitat: Pelagic, usually at depths of 10-30 m. Spawns in open water close to surface, above depths of 20-40 m (Attersee) or at 2-3 m and close to shore (Mondsee). Attersee is an oligo-mesotrophic lake and Mondsee a mesotrophic lake. Biology: Lives up to six years (Mondsee). Spawns for the first time at four (Attersee) or three years (Mondsee). Spawns in early February-mid March (Attersee), late December-mid January (Mondsee). Eggs sink to bottom. Individual fishes usually spawn 2-3 seasons. Feeds on zooplankton and small amounts of benthic invertebrates.","Introduction of non-native coregonids, leading to hybridisation and competition.",No information.,,"Freyhof, J. & Kottelat, M."
ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Coregonus,nasus,,,,NA,,NA,,"Less than 5% of the species global range occurs within Europes, therefore it is listed as Not Applicable. European Union 27 = The species is not found within the European Union.",Unknown,"All drainages of Arctic Ocean from Volonga (46°E) and Pechora to Alaska (102°W). Rarely at sea, in water with salinity up to 9-15 ?.",Abundant.,"Habitat: Lowland rivers and lakes. Biology: Lives up to 15 years. Males reproduce for the first time at 4-8 years, females at 5-9. Adults start upstream migration in late July-August and reach spawning sites by October-November and spawn in stretches with swift current and sand-pebble bottom, often under ice. Spawning lasts 5-7 days and fish leave spawning site soon after, migrating downstream to overwinter in deeper places of lower stretches of rivers together with older juveniles. In spring, alevins drift from spawning sites downstream with flood-water and forage in floodplain lakes and oxbows where they remain until end of summer before moving to river or reaching maturity (if lakes are large enough and do not dry out). Alevins and juveniles feed on zooplankton, adults on benthos, mainly chironomid larvae and molluscs.",No major threats known.,No information.,,"Freyhof, J."
ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,COBITIDAE,Misgurnus,fossilis,,Yes,,LC,,LC,,"A widespread species that is undergoing a gradual and continuing decline resulting in the extirpation from many water bodies however this is not at a rate to qualify the species for a threatened or Near Threatened category. The major threats are due to the channelization of rivers which stops the formation of backwaters (e.g., oxbow lakes), and the pollution of backwaters.     European Union 27 = LC. Same rationale as above.",Decreasing,"Europe north of the Alps, from Meuse eastward to Neva drainages and Lake Ladoga; northern Black Sea basin from Danube eastward to Kuban; Caspian basin in Volga and Ural drainages. In Black Sea basin, absent south of Danube and Kuban. Not native to Great Britain, Scandinavia, Apennine and Iberian Peninsulas, Crimea, and Adriatic, Aegean and White Sea basins. Locally introduced in Rhône drainage (France) and perhaps elsewhere. Extirpated from Switzerland, recent records (in the 1990-2000s) are actually the alien species Paramisgurnus dabryanus.",Slowly declining.,"Habitat: Backwaters and side channels of lowland streams, rivers and lakes. Mostly restricted to densely vegetated habitats with slow or no current and soft, mud bottom. Spawns in dense vegetation, often in flooded meadows. Biology: Spawns for the first time at 2-3 years, at about 110 mm SL. Spawns in March-July. Males have a larger second pectoral ray and shallow vertical swellings of flanks above anal base, enlarged during spawning time. Male follows female into dense vegetation and forms a complete ring around her body, behind dorsal fin. Sticky eggs are released into vegetation. Larvae move to bottom and hide in mud. Larvae have large external gill filaments, reabsorbed after 10-12 days. Adults nocturnal, burrows into mud to hide during day and, especially in shallow habitats, during dry periods and strong frosts. Usually burrows 200-300 mm deep, occasionally down to 700 mm during dry periods. Able to survive in habitats with low oxygen concentrations by cutaneous and intestinal respiration. Frequently swallows air, oxygen being absorbed through the walls of the gut. Feeds on benthic invertebrates. Swims slowly above bottom and dig for invertebrates, which are localized by olfaction.","River regulation for water transport,  has reduced the number of back waters (oxbow lakes etc) where, in the last phases of succession the species is found. The species moves between the backwaters during times of flooding, which has also been regulated by the channelization and damming of the rivers. The succession of the back waters takes many years and the number of available and suitable sites for the species is slowly reducing as they dry out and no new ones are created. The species is known to have been extirpated from many locations.   &#160;Regionally, the species inhabits secondary waterbodies such as drainage canals.",No information available.,,"Freyhof, J."
ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Gobio,occitaniae,,Yes,Yes,LC,,LC,,A widespread species with no known major widespread threats.,Unknown,France: streams draining to Mediterranean between Rhône and Pyrénées.,Abundant.,"Habitat: Streams in hilly area with moderate current, over sand bottom. Biology: No data.",No major threats known.,No information.,,"Freyhof, J. & Kottelat, M."
ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,COBITIDAE,Sabanejewia,vallachica,,Yes,Yes,NT,,NT,,"The species has a fragmented distribution in sandy streams with fast current in the Ialomita and tributaries of lower River Siret of the Danube basin. Damming, water abstraction and pollution have all increased in recent years in Romania which has had an impact up on the species. It is suspected that the species population has declined by less than 30% in the past 10 years, and will continue to do so as development within Romania increases. The extent of occurrence of the species is just over 11,000 km², and there is a continuing decline in population and quality of habitat, however there are more than 10 locations.",Decreasing,Romania: River Ialomita and tributaries of lower River Siret in Danube drainage.,"Declining, localised and fragmented population.","Habitat: Sandy streams with clean water and moderate to fast current. Burrows into sand, rarely in gravel. Biology: Spawns in spring. Eggs 0.9-1.1 mm in diameter, sticky and indiscriminately scattered over sand, gravel or other substrate. Portion spawner. Eggs hatch in 50-60 h at 22°C. Larvae 3.0-3.4 mm TL start to feed after 6 days. Free larvae lack external gill filaments, but have a transparent bump on forehead.","Development in Romania is leading to increased water abstraction, pollution and damming of rivers.",No information.,,"Freyhof, J. & Kottelat, M."
ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Gobio,alverniae,,Yes,Yes,LC,,LC,,"The species is known from the upper Loire, Dordogne, Lot and Tarn drainages, where possible introgression with introduced Gobio species and the impact of dams, allowing the spread of lowland species, could threaten the species. However the area of occupancy and extent of occurrence are too large to qualify for a threatened category and based on the main threats, there are more than five locations and any 'population decline' from the possible introgression is less than 30% in the past 10 years/3 generations.",Unknown,"France: upper Loire, Dordogne, Lot and Tarn drainages.",No information.,Habitat: Streams in hilly area with moderate to swift current. Biology: No data.,"Dams, especially the regulation of flow regime allowing the spread of lowland species. Introduction of other species of Gobio is a potential threat.",No information.,,"Freyhof, J. & Kottelat, M."
ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Coregonus,danneri,,Yes,Yes,VU,D2,VU,D2,Still frequent in Lake Traunsee (25 km²). Hybridisation has been shown to occur (over the past 30 years) with introduced coregonids but it is not thought to cause a decline in the number of mature individuals of C. danneri as the hybrids seem to rarely survive. There is a potential threat of the introduction of other coregonids which may have a negative impact.,Unknown,Austria: Lake Traunsee.,Abundant.,"Habitat: At depths of 40-60 m, up to surface in summer. Spawns close to shore. Traunsee is a 25.6 km² oligotrophic lake at 422 m above sea level (maximum depth 191 m, average depth 90 m). Biology: Lives up to six years. Spawns for the first time at two years. Spawns from mid-October to early March.","The introduction of non-native coregonids, has led to hybridisation.",No information.,,"Freyhof, J. & Kottelat, M."
ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Squalius,janae,,Yes,Yes,VU,D2,VU,D2,"The species is only known from the upper Dragonja River system in Slovenia. It has an extent of occurrence less than 500 km². It is not known or suspected to be declining at present, but due to its restricted range (one location, based on potential threats) and the potential threats&#160; from introduced species and droughts, it is assessed as Vulnerable (VU D2).",Stable,This species is endemic to the upper Dragonja River system in the Adriatic Sea basin in Slovenia (Bogutskaya and Zupancic 2010).,It is locally abundant. The species is not known or suspected to be declining at present.,The species lives in rivers and streams.,"No current threats to the species are known, However, introduced fish species and increasing severity of droughts due to climate change are real potential threats.",There are no current conservation actions for the species.,,"Freyhof, J."
ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Gobio,kovatschevi,,Yes,Yes,VU,"B1ab(iii,v)",VU,"B1ab(iii,v)","The species is only known from some of the streams in the River Provadiskaya where it is locally abundant in the upper reaches but extirpated from the lower reaches. The species extent of occurrence is estimated to be less than 5,000 km² and its population has sharply declined due to pollution from industrial and domestic sources. This decline is expected to continue with ongoing economic development. It is estimated that the species is found in less than 10 locations based on the major threat of pollution.",Decreasing,Bulgaria: River Provadiskaya (enters Black Sea near Varna).,Very restricted and fragmented.,"Habitat: Restricted to the upper and middle stretch of a small, slowly flowing stream. Biology: No data.",Pollution from industrial and domestic sources.,No information.,,"Freyhof, J. & Kottelat, M."
