Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxonomic Notes,Endemic to Europe,Endemic to EU27,European regional Red List Category,European regional Red List Criteria,EU27 regional Red List Category,EU27 regional Red List Criteria,Rationale of the Red List Category,Population Trend,Range,Population,Habitat,Threats,Conservation Actions,Use and Trade,Red List Assessors
ANIMALIA,MOLLUSCA,BIVALVIA,VENEROIDA,CORBICULIDAE,Corbicula,fluminalis,,,,NA,,NA,,This species is introduced in Europe therefore it has been assessed as Not Applicable (NA) at both the European level and the level of the 27 member states of the European Union.,Unknown,"This species is not native to Europe, but is found in Netherlands, Luxembourg, France (mainland), Germany, Poland, Switzerland, Italy (mainland), Ukraine, and Hungary. This species is originally from east Asia, introduced in 1939 to south North America, in 1980 from North America to Europe (Portugal and south of France, 1994 Netherlands, 1999 Austria, 2000 Romania) (Animalbase 2011).",The population trends of this species are unknown.,This species is found in rivers and lakes.,This is an introduced species in Europe with no foreseen threats.,This is an introduced species in Europe so no conservation measures are deemed necessary.,There is no use or trade information for this species.,"Seddon, M."
ANIMALIA,MOLLUSCA,BIVALVIA,VENEROIDA,CORBICULIDAE,Corbicula,fluminea,,,,NA,,NA,,"This species is not-native to Europe, but is widely recorded in region, and as such there are no threats (except to other species) and no conservation action needed as this is an invasive species which is spreading  rapidly, and hence is not considered to be threatened.The assessment is Not Applicable, as a non-native species, but would have been Least Concern if considered native.",Increasing,"This species is not-native to Europe, but is widely recorded as an introduction from Great Britain (UK), Netherlands, Luxembourg France (Mainland), Germany, Poland, Switzerland, Austria, Czech Republic, Slovakia, Bulgaria, Spain (Mainland), Portugal (Mainland), Italy (Mainland), Hungary and Romania. It has been introduced in North America, South America and Europe. It is thought to have arrived in Europe in 1970s to  Portugal and spread eastwards to Spain, France, The Netherlands,  Switzerland. Now occurs from the Norfolk Broads broads in Britain and extends to the  Danube in Romania (Minchin, 2008; see download from Daisie Database).# Son (pers. comm, 2009) notes that it is present in Ukraine. It is native to Southern and eastern Asia (eastern Russia, Thailand, Philippines, China, Taiwan, Korea, and Japan), Australia, and Africa.","A hemaphrodite (cross- and self-fertilizing) releasing a brooded  non-swimming pediveliger stage at 200µm length. Reproduces at ~15 °C  from about 6-10mm from three months of age with more than one brood a  year with releases from late spring to autumn (Michin, 2008).","Oligotrophic to eutrophic flowing streams, rivers and lakes on  oxygenated muddy to sandy sediments, but also occurring among gravel and  cobbles. Also can occur in irrigation and drainage cuts.# It is tolerant of seasonal drying for weeks but intolerant of low oxygen levels and tolerates 2-34 °C and salinities to ~5‰ with short periods of up to 14psu, but intolerant of areas with high nutrient loads.","Although this species is intolerant of pollution and low oxygen levels in water, it is recognised as an invasive species which is spreading rapidly, and hence is not considered to be threatened.","No conservation action needed as an invasive species which is spreading rapidly, and hence is not considered to be threatened.",It is used in ornamental ponds and aquaria and as angling bait.,"Seddon, M."
ANIMALIA,MOLLUSCA,BIVALVIA,VENEROIDA,DREISSENIDAE,Dreissena,polymorpha,,,,NA,,NA,,"This species is invasive in much of Europe, with less than 5% of its European range native, therefore it is considered as Not Applicable (NA) at both the European level and the level of the 27 member states of the European Union.",Increasing,"This species is native to the drainage basins of the Black, Caspian and  Aral Seas (Birnbaum 2006). It is a highly invasive mussel, and has  spread throughout Europe, to southern Scandinavia and Britain, east into  Eurasia and south to Turkey via shipping canals. Rather than a natural  migration, this spread has been human-mediated and therefore this  species classes as an alien in these regions (Birnbaum 2006).","This species can attain huge densities in parts of its range, sometimes up to 40,000 individuals per m2 (Birnbaum 2006).","This species occurs in a range of habitats, from freshwater to  oligohaline (low salinity) waters in rivers, estuaries and coastal shallows of large brackish lakes (Therriault et al. 2004). In introduced regions it has been found at depths of below 60 m (Therriault et al. 2004). It is most abundant on hard surfaces in calm waters upstream of dams (Birnbaum 2006). Due  to its bio-fouling properties, especially of ship hulls and industrial  intake pipes (Birnbaum 2006), this species has had strong negative  economic consequences in countries to where it has spread. It also has  ecosystem-level impacts, including out-competing native taxa, slowing  down eutrophication, and biodeposition, although these seem to manifest  themselves towards the beginning of an invasion (Birnbaum 2006).",This species is widespread and highly invasive and is unlikely to be impacted by any major threats.,"This species is widespread and highly invasive, so there are no proposed conservation actions in place for the species.",There is no use or trade information for this species.,"Feher, Z."
ANIMALIA,MOLLUSCA,BIVALVIA,VENEROIDA,DREISSENIDAE,Dreissena,bugensis,"A recent Dreissenid molecular phylogeny using COI and 16S sequences (Therriault et al. 2004) concluded that Dreissena bugensis and D. rostriformis actually represent distinct races of a single species (sequence divergence was 0.23 - 0.54%, comparable to intraspecific variability in other species). The authors recommended the ancestral name D. rostriformis be used, with two races, bugensis and distincta (Therriault et al. 2004, Orlova et al. 2005). However, there is still confusion over this. This species is also regarded by some as a subspecies of the invasive Zebra Mussel D. polymorpha (M. Seddon pers. comm. 2009).",,,LC,,LC,,"Dreissena bugensis has been assessed as Least Concern (LC) at# both the European level and the level of the 27 member states of the European Union, due to its widespread and abundant distribution. It is tolerant of a variety of habitats and demonstrates tolerance to habitat alteration.",Increasing,"This species is native to the middle and south Caspian Sea at depths of 20 - 80 m (Therriault et al. 2004). Whilst the closely related species D. rostriformis has never been reported outside this historical distribution, this species has spread from the Black Sea basin north-east along the Volga River into Russia, north along the Dnieper River into Ukraine, and west along the Danube canal and Rhine as far as the Netherlands (van der Velde and Platvoet 2007). This species has also spread to North America and Canada, where it was first reported (from Lake Ontario) in 1991 (Therriault et al. 2004), and has since spread throughout the Great Lakes region and south-west to the Mississippi River, Michigan, Missouri, New York, Nevada, Ohio, Pennsylvania, Colorado, Arizona and California (Benson et al. 2011, NatureServe 2010).","This invasive species has steadily increased its abundance in Europe and North America in the last 10 - 20 years, colonizing the freshwater rivers and lakes and decimating native mussel populations through competitive interference. This species has now increased in its abundance to the extent that it is now displacing the highly invasive Zebra Mussel (D. rostriformis) (Ricciardi and Whoriskey 2004).","This species occurs in freshwater or oligohaline (less than 3% salinity) rivers, lakes and canals; recorded at depths of 0 - 28 m in the Ukraine, but as deep as 130 m in the Great Lakes (Mills et al. 1996, Therriault et al. 2004).",There are no threats impacting on this species. This species itself threatens the biodiversity of the habitats it invades.,"There are no species-specific conservation measures in place for this species, and actions should in fact be taken to limit its spread and population growth, before the negative impacts on many ecosystems become irreversible. Records demonstrate that this species can tolerate low levels of salinity (Mills et al. 1996).Further research is recommended to determine whether this species and D. rostriformis are separate species or two races of the same species.",This species is not utilized.,"Aldridge, D."
ANIMALIA,MOLLUSCA,BIVALVIA,VENEROIDA,DREISSENIDAE,Dreissena,blanci,,Yes,Yes,VU,D2,VU,D2,"This species has only recently been reviewed and found to differ from the more widespread species, D.polymorpha. The presence in four known locations, with threats of possible over-extraction of water, suggest the species should be listed as Vulnerable (VU) D2, on a precautionary basis.# If the species is found to be more widespread, as some literature suggests, then a reassessment of Least Concern may be applicable.This species has also been assessed at the regional level:European regional assessment: Vulnerable (VU) D2Mediterranean regional assessment: Vulnerable (VU) D2EU  27 regional assessment: Vulnerable (VU) D2 at the level of the 27 member States of the  European Union",Unknown,"This species is known from confirmed records from the two southern European Lakes; Lake Trichonis and Lake Amvrakia. In addition, D.blanci also occurred sympatrically with D.presbensis in the two northern Lakes Pamvotis and Prespa. Albrecht et al. (2007) noted that it is possible that these maybe lone ""migrant"" specimens, as no juveniles were found in the surveys of the northern lakes, however, it may also be a factor related to the timing of collection of samples (Spring as opposed to Autumn). Albrecht et al. (2007) point out that due to the confusion in the literature, where these shells may have been regarded as a variety of D.polymorpha, it is under-recorded, and hence they believe that D.blanci maybe dominant in the southern part of mainland Europe, in Greece.",The population trends of this species are unknown as it maybe under recorded.,This species is found in lakes and possibly other man-made water bodies with slow flowing waters (e.g. canals and ponds).,"Changes to the water quality in the lakes may impact the species, as well as repeated lowering of water levels due to use of the lake-waters. Albrecht et al. (2006) commented that even this species had suffered losses in the lake as the lake’s littoral zone has been damaged because of repeated massive recent water extractions. In 2005, there were almost no live molluscs from the lake proper, while common opportunistic species could be found only at the margins.",A critical point in all conservation efforts related to the lakes described here is public awareness of the uniqueness of these ecosystems. This is unfortunately not the case at present. Water management plans must assure controlled water extraction. These regulations must be supervised and enforced. Sewage treatment systems should be installed along the actual lakes and all tributary systems. Agricultural practices should be more sustainable with reduction of fertilizer and pesticide use as ultimate goals. All these practices can only be effective if a concerted action plan can be implemented very soon in order to preserve this limnic fauna that is of continental importance.,There is no use or trade information for this species.,"Seddon, M."
ANIMALIA,MOLLUSCA,BIVALVIA,VENEROIDA,DREISSENIDAE,Dreissena,presbensis,"Albrecht et al. (2007) noted that Dreissena stankovici is not the valid name for this taxon, as a form of D.blanci was described earlier for Lake Prespa: D.blanci f. presbensis Kobelt, 1915. The figures of this ‘form’ in the original description (Kobelt 1915: plate 566, figure 2877, 2878) show the same high winged and keeled shell that is typical for D.stankovici. As Kobelt (1915) studied a large series of specimens of this form, they assume them to represent D.stankovici and not nominal D.blanci blanci, a single juvenile specimen of which they found in Lake Prespa as well.# Fauna Europaea (Bank et al. 2006) currently listed the species as Dreissena stankovici.",Yes,,NT,,VU,D2,"#This species has only recently been reviewed and found to differ from the more widespread species, D.polymorpha. The presence in six known locations, with threats of possible over-extraction of water in two of the lakes in Greece, suggest the species should be listed as Near Threatened (NT), on a precautionary basis.# If the species is found to be more widespread, as some literature suggests, then a reassessment of Least Concern would be applicable.This species has also been assessed at the regional level:European regional assessment: Near Threatened (NT)Mediterranean regional assessment: Near Threatened (NT)EU  27 regional assessment: Vulnerable (VU) D2 at the level of the 27 member States of the  European Union, as it is only found in four lakes in Greece, with a possible threat of over-extraction of water.",Unknown,"The species is currently only known on the basis of confirmed records using molecular data from# Lake Ohrid, Lake Prespa, Lake Skutari, Lake Dojran, Lake Pamvotis and Lake Vegoritis. However Albrecht et al. (2007) point out that due to the confusion in the literature, where these shells may have been regarded as a variety of D.polymorpha, it is under-recorded, and hence they believe that D.presbensis appears to be dominant in the west-central part of the Balkan Peninsula. Most records of D.polymorpha in the region will require review, as result of this work, to determine whether they are D.polymorpha, D.blanci or D.presbensis, as Albrecht et al. (2007) noted that no specimens collected from the Balkan lakes were confirmed as D.polymorpha, so in their view it is not found there.","There is no information on population trends of this species, and it may be under-recorded.",This species is found in lakes and possibly other man-made water bodies with slow flowing waters (e.g. canals and ponds).,"Changes to the water quality in the lakes may impact the species, as well as repeated lowering of water levels due to use of the lake-waters.",Water management plans must assure controlled water extraction. These regulations must be supervised and enforced. Sewage treatment systems should be installed along the actual lakes and all tributary systems. Agricultural practices should be more sustainable with reduction of fertilizer and pesticide use as ultimate goals. All these practices can only be effective if a concerted action plan can be implemented very soon in order to preserve this limnic fauna that is of continental importance.,There is no trade and use information for this species.,"Seddon, M."
ANIMALIA,MOLLUSCA,BIVALVIA,VENEROIDA,DREISSENIDAE,Congeria,kusceri,"Morton et al. (1998) reviewed the status of this genus, and noted that although many had considered the genus to be extinct, there was still one extant species in the cave systems in Slovenia, Croatia and Bosnia  Hercegovina. They regarded this species as a ‘living fossil’, as the species is a single representative of a genus that once had many species during Tertiary times.",Yes,,VU,A2ac,DD,,"This species has a restricted range and habitat. It is only found within rivers within cave systems, and appears to have been isolated since the Tertiary era. The conservation assessment of Vulnerable (VU A2ac), is based on the estimated loss of individuals in surviving sub-populations combined with total loss of sub-populations from sites that have been well monitored since the discovery of this living fossil. The loss range is between 25 and 35%, based on the estimated generation length of 25 years, providing an assessment period of up to 75 years. In some parts of the range the loss maybe more severe.",Decreasing,"This species is known around seven locations is Slovenia, Croatia and Bosnia  Hercegovina. In Slovenia the species is known from one site where it was found as shell deposits. In Croatia there were originally 15 sites described from five sub-populations in the 1960's, but following extensive surveys only three have been re-discovered over the last two years. In Bosnia  Hercegovina it has been described from 13 sites of which four populations have been re-discovered (although not all original sites have been searched). According to Morton et al. (1998) in Bosnia  Hercegovina the species has been recorded from six cave systems at Lusci Palanka, Dabarska Pecina, Tihalijina, Metkovic and Popova Polje as well as from shells in springs at Isvir Krupe and Vrgarac. The main cluster of sites are between Spilt, Mostar and Dubrovnik.","There is little data on population trends. In Bosnia  Hercegovina there is good evidence of serious declines. This species is believed to be long-lived, based on the growth rings in the shell, with an assumption that one growth ring is laid down each year. The estimated age of a species 12.7 mm in length was 25 years, and the largest known shells are over 25 mm (Morton et al. 1998). Morton et al. (1998) also suggests that sometimes there are years with high juvenile mortality and little recruitment.","This species has been recorded from cave systems where it cements onto the rock surfaces. It lives as clusters of shells attached to the cave walls, with the waters having a relatively constant temperature of 9 degrees C and thec# clusters are not exposed to sunlight. These caves are only accessible during the summer periods, when after periods without rain, water levels within the caves drop, allowing access. This drop in water level is thought to be the trigger for reproduction, when the sperm are released into the water, and then in all probability ‘inhaled’ by the females from the water. The eggs are brooded internally and either released as larva with a short planktonic life, or as ‘crawl away’ juveniles, as is the case with Corbicula fluminea.","Main threats to the species come from pollution of groundwaters from domestic sources and agricultural runoff. # Although the species is able to withstand a late summer/early autumn drop in water levels, it would also be vulnerable to longer periods of draw-down (water extraction) as would happen if these cave waters were to be heavily exploited as a source of artesian waters for domestic supplies.","The species is protected in Croatia, however the pollution is still a problem for this species and urgent conservation actions are required to control polluting sources and reduce groundwater use for the extant populations.",This species is not utilized.,"Bilandzija, H."
ANIMALIA,MOLLUSCA,BIVALVIA,VENEROIDA,DREISSENIDAE,Mytilopsis,leucophaeata,,,,NA,,NA,,"This non-native species is thought to have spread to Europe as early as 1835 with  records close to ports and canals over northern Europe. It is invasive, and as such this species is unlikely to be impacted by any major threats, although in parts of the range it is targeted for removal. It is considered as Not Applicable.This species has also been assessed at the regional level as:EU27 regional assessment: Not Applicable at the level of the 27 member states of the European Union.European regional assessment: Not Applicable.",Increasing,"This species is thought to have spread to Europe as early as 1835 with records from Belgium, where it gradually dispersed along coasts, and  is now found along the North Sea coasts from Germany to France,  including the Thames Estuary and Cardiff# Bay in Great Britain (Oliver et al. 1998). There are records from the Baltic Sea in 2000, when it was found near Rostock. In 2003 it had further dispersed to the Gulf of Finland (Laine et al. 2006). In 1996 it was found at a salinity of 15 ppt in Wales, UK (Oliver et al. 1998), and in 2003 it was identified from the estuary of the river Guadalquivir in Spain (Escot et al. 2003). In all cases where localities are described these have been man-made, such as ports and canals, or very close to ports.","There is no data on population trends, but the range is believed to be expanding.","It is found in brackish and marine waters, in docks, lagoons and canals. It was found near Rostock in a salinity of 0.7-2.5ppt (Darr Zettler 2000) and salinity of 15 ppt in Wales, UK (Oliver et al. 1998).","This species is unlikely to be impacted by any major threats, although in parts of the range it is targeted for removal.",There are no conservation actions necessary as this is an invasive species.,This species is not utilized.,"Vavrova, L."
ANIMALIA,MOLLUSCA,BIVALVIA,VENEROIDA,SPHAERIIDAE,Sphaerium,solidum,,,,NT,,NT,,"This species is very localised throughout the range in Europe, and hence is a species that is considered threatened in some countries. However, it is is extending its range in some countries e.g. Hungary. The principal threat to this mussel is water pollution and river  regulation, as well as exploitation of sand and gravel from river beds, alteration of water courses, changes to flow regimes, over-frequent dredging and the effect of invasive species.# Given the reduction in range in last 30 years it is considered a candidate for Near Threatened (NT) at both the European level and the level of the 27 member states of the European Union, based on loss of habitat, leading to loss of populations.",Decreasing,"This species is locally distributed in the lowland regions of central and eastern Europe. There are some records from west Europe. Fauna Europaea (Bank et al. 2006) list the species from Latvia, Lithuania, Kalingrad region (Russia), Poland, Great Britain (UK), Netherlands, Belgium, France (mainland), Germany, Slovakia, Hungary, Spain (mainland), and Ukraine.In Germany the species is found in the north and central part, with a sporadic occurrence. A decline in population trend has been observed. In Czech Republic the only sub recent#record is from the River Elbe. It is considered as Extinct in Czech Republic (Beran 1998).In Great Britain it has historically been found in a short stretch of the River Witham (Lincolnshire), one part of the Great Ouse (tidal) section, Earith Cambridgeshire and intermittently along 19 km of the Great Ouse (non-tidal). In Hungary it is likely to be a recently spreading species.It is present in Russia, extending to the Yana river basin, basins of Ob and Pechora rivers under different species names that Korniushin (2001) placed in synonym.","There is no comprehensive data about population trends available. Nevertheless population decline has been observed over the last decade.Surveys in 2001 and 2002 in Great Britain show a near total collapse of populations of the species on the Witham system in 10-15 years.#Surveys in 2003 – 2004 show intermittent distribution along about 20 km of the Great Ouse but at most sites (sampled to mid-channel of river) only a few freshly dead shells were recovered; 7 sites produced in total only 7 live mussels. One Great Ouse site sampled in 2003 (then showing a healthy population of live individuals) produced no live individuals in 2004. Population size: (1) a few live individuals in drain adjacent to Witham in 2003; absent from Witham sites when surveyed 2002  2003;#(2) a moderate population (exact nos. hard to estimate) in a short stretch (perhaps only a few 100 m) of tidal Great Ouse at Earith, Cambridgeshire and very small numbers (few live individuals# in isolated populations) along 19 km of Great Ouse (old channel) downstream of Earith (I.Killeen pers. comm. 2009).In Germany the population is in decline.vSphaerium solidum belongs to the rarest molluscs in Poland. The species is protected by law. Now it has 10 confirmed localities at the utmost. Relatively large populations persist in the Szczecin Lagoon, Zegrzyn Reservoir, and in large rivers in eastern Poland: Biebrza and Narew.","The species occurs in rivers with fine sediments, very often in the#littoral#zone. The species lives in canalised rivers and large, deep drains and backwaters of large rivers, and is very occasionally found in lakes (Killeen et al. 2004, Zettler and Glöer 2006). #Due to the species rarity in Britain, the details on the species ecology are sparse.# However, the habitats in which it was found in Lincolnshire are generally poor in aquatic vegetation but rich in their associated mollusc fauna, and they are generally found in deep water (as for Sphaerium rivicola)(Killeen et al. 2004).","The principal threat to this mussel is water pollution and river regulation, as well as exploitation of sand and gravel from river beds, alteration of water courses, changes to flow regimes, over-frequent dredging and the effect of invasive species.# Mouthon (1996) showed that Sphaerium solidum was one of the species of freshwater bivalve most sensitive to biodegradable pollution.# The recent decline and possible extinction from some of its former known sites in England resulted in its addition to the UK Biodiversity Action Plan list of Priority Species in 2006. There is circumstantial evidence on both Witham and Great Ouse systems suggesting eutrophication as a primary cause; however, excessive sediment clearance could also pose possible threat to local populations.","There are localised conservation actions in place for this species. In Germany this species is considered Category 1 (highly threatened) and in most states either 0 or 1, and in Baden Wurtenburg Category 2. In Poland it is considered Endangered. This species was added to the#UK Biodiversity Action Plan list of Priority Species in 2006 and considered Endangered (I.Killeen and M.Seddon pers. comm. 2010). Future prospects are possibly good if water quality improves under the Water Framework Directive, but some decline is likely through loss of habitat as a result of water course management.",There is no known trade in this species.,"Killeen, I., von Proschwitz, T. Vavrova, L."
ANIMALIA,MOLLUSCA,BIVALVIA,VENEROIDA,SPHAERIIDAE,Sphaerium,corneum,"This species was recently revised and S. ovale and S. nucleus spilt from S. corneum, hence the data will often be for the old concept of.S. corneum (Glöer and Meier-Brook 2003).",,,LC,,LC,,"This freshwater species is widespread in Europe, where it is present in many habitats and has no specific threat towards it. Therfore it has been assessed as Least Concern (LC). This species has also been assessed at the regional level as Least Concern (LC) at the level of the 27 member states of the European Union, and as Least Concern (LC) at the European level.",Unknown,"Fauna Europea (Bank et al. 2006) record the species from Norway, Sweden, Denmark (mainland), Finland, Estonia, Latvia, Lithuania, Kalingrad region (Russia), Poland, Republic of Ireland (Eire), Great Britain (UK), Channel Islands (UK), Northern Ireland (UK), Netherlands, Belgium, Luxembourg, France (mainland), Germany, Switzerland, Liechtenstein, Austria, Czech Republic, Slovakia Hungary, Italy (mainland), Sardinia (Italy), Bulgaria, Spain (mainland), Portugal (mainland), Ukraine, Greece (mainland). This a widespread species, however distributional information may include a mix of different species (S. ovale and S. nucleus) as in some areas there has been no revision of the distributional data.Kantor et al (2009) noted that the distribution extends to central Asia.",There is no data on population trends for this species.,"This is a common freshwater species that inhabits pools, lakes, rivers and streams.",There are no specific threats to this species.,No conservation actions are needed for this species.,This species is not utilized.,"Killeen, I. Seddon, M."
