Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxonomic Authority,European regional Red List Category,Endemic to Europe,European regional Red List Criteria,EU28 regional Red List Category,EU28 regional Red List Criteria,Endemic to EU28,Population Trend,Red List Assessors,Red List Contributors,Red List Reviewers,Taxonomic Notes,Rationale of the Red List Category,Population,Range,Habitat,Use and Trade,Threats,Conservation Actions
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Miramella,irena,"(Fruhstorfer, 1921)",LC,Yes,,LC,,No,Stable,"Zuna-Kratky, T., Fontana, P., Roesti, C., Braud, Y., Hochkirch, A., Monnerat, C., Rutschmann, F. & Presa, J.J.","Kranz, M.","Odé, B. & Cálix, M.",,"Global and European regional assessment: Least Concern (LC)EU 28 regional assessment: Least Concern (LC)The Long-winged Mountain Grasshopper (Miramella irena) has a large geographic distribution and is assessed as Least Concern in view of the dense and increasing subpopulations in the Alpine region and overall stable population trend. In addition, its habitat in the Alpine region is expected to increase in extent due to the abandonment of pastures and meadows in the mountains and there are no major threats to this grasshopper. More focus should be put on assessing the situation of the subpopulations in the Balkans, which seem to be heavily fragmented and might be threatened.","This species has a wide range, but recent data on distribution and population status is almost exclusively related to the Alpine part of its distribution. There, the species is often very common and can reach high densities (Massa et al. 2012). It seems to be increasing in Italy (P. Fontana pers. comm. 2015) and also the records in the western parts of its Austrian range are more numerous than in previous decades. In contrast, in the Austrian-Slovenian Karawanken, it seems to be in retreat (unpublished data; ARGE Heuschrecken Österreich). There is little information on the status of the Balkan subpopulations, but they seem to be heavily fragmented, without any obvious increase. Therefore, the overall population trend seems to be stable.","The Long-winged Mountain Grasshopper is a mountain species, occupying the southern ridge of the distribution of the mainly Alpine genus Miramella. In the west, it lives along the southern edge of the eastern Alps in Italy, Austria and Slovenia. Its distribution extends from the Alpi Bergamasche over the mountains of Trentino-Alto Adige and the Alpi Venete, to the Hohe Tauern, Karnische Alpen, Karawanken and the Triglav mountains (Massa et al. 2012, ARGE Heuschrecken Österreich; unpublished data). Further east it continues on the Slavonian Mountains of Croatia (Szövényi and Puskás 2012) and Bosnia and Herzegovina southwards to Kosovo to reach its easternmost range in the Valahia, in southern Romania. The distribution in the western part of its range is quite dense, but east of the Alps the subpopulations are often separated by long distances. This species' extent of occurrence (EOO) in Europe is rather large, ca 270,000 km². It lives from the foothills around 500 m asl up to the mountain peaks with highest records at 2,400 m asl.","This species, like most species of the genus Miramella, is a grasshopper of habitats with medium moisture in hills and mountains. The Alpine habitats are mainly grassland with a significant amount of tall herbs and, occasionally, small bushes. Even some records from open patches inside forests are known (Massa et al. 2012, ARGE Heuschrecken Österreich; unpublished data) and it can also be present in trees up to the canopy level. It may also be found in cultivated areas such as vineyards (P. Fontana pers. comm. 2015). It prefers warmer habitats than the closely related sibling species M. formosanta and M. carinthiaca, which replace Miramella irena in the west and north of its range. However, there is no available information on the habitats of the subpopulations in the Balkans.",The species is not utilised.,"This species occupies an extensive area in the Alps and in the Balkans, living in a broad variety of altitudes. At least in the Alpine subpopulations, its habitat is not under threat and is expected to increase in its extent due to the abandonment of pastures and meadows in the mountains. There are no major threats to the species.","This species is found in several protected areas throughout its range, but the majority of the population resides outside protected areas. There are no special conservation measures targeted at this species, in spite of the fact that it was classified as Vulnerable in a previous assessment. Research and monitoring should focus on the subpopulations of the Balkans, as their status is relatively unclear."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Zubovskya,banatica,"(Kis, 1965)",CR,Yes,"B1ab(ii,iii)",CR,"B1ab(ii,iii)",Yes,Stable,"Chobanov, D.P., Hochkirch, A., Iorgu, I.S., Ivkovic, S., Kristin, A., Lemonnier-Darcemont, M., Pushkar, T., Sirin, D., Skejo, J. Skejo, Szovenyi, G., Vedenina, V. & Willemse, L.P.M.","Danielczak, A.","Kleukers, R. & García, M.",,"The Banat Grasshopper is known from a single location in the Semenic Mountain in southwestern Romania, with very small extent of occurrence (EOO) of c. 30 km². Although the population trend has been stable so far, due to the expansion of human settlements and the development of touristic infrastructure a decline is projected in the area of occupancy and the quality of habitat. In addition, the species is present only in one location on the basis of overgrazing. Therefore the species is assessed as Critically Endangered (CR).","The population is small but currently stable (I. Iorgu pers. comm. 2015). However, a continuing decline in the area of occupancy and in the habitat area is projected as a consequence of the ongoing threats.",The species is only known from the Semenic Mountains in southwestern Romania (Kis and Vasiliu 1970). Its extent of occurrence (EOO) and area of occupancy (AOO) are both c. 30 km².,"The species inhabits open mesophytic mountain grasslands with Vaccinium species in the treeless part of Semenic Mountains, at altitudes between 1,200 - 1,400 m.",This species is not utilised.,"Major threats to the species are the expansion of human settlements and the development of touristic infrastructure. Overgrazing also poses a major threat to the species, and based on this threat the species occurs in a single location.","The species was previously assessed as Vulnerable (Orthopteroid Specialist Group 1996), and as Endangered in the Carpathian Mountains as a result of a range of factors, including restricted range, low population density, and limited dispersal ability (Krištín and Iorgu 2014). There are no conservation actions in place for the species, although it occurs in the Semenic - Cheile Carasului National Park. Research on its population size and trend is needed."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,PHANEROPTERIDAE,Isophya,harzi,"Kis, 1960",CR,Yes,"B1ab(i,ii,iii,v)c(iv)+2ab(i,ii,iii,v)c(iv)",CR,"B1ab(i,ii,iii,v)c(iv)+2ab(i,ii,iii,v)c(iv)",Yes,Decreasing,"Chobanov, D.P., Hochkirch, A., Iorgu, I.S., Ivkovic, S., Kristin, A., Lemonnier-Darcemont, M., Pushkar, T., Sirin, D., Skejo, J. Skejo, Szovenyi, G., Vedenina, V. & Willemse, L.P.M.","Danielczak, A.","Kleukers, R. & García, M.",,"The Cozia Plump Bush-cricket is listed as Critically Endangered (CR) based on its small extent of occurrence (EOO) (4 km²) and area of occupancy (AOO) (4 km²), its occurrence at a single location, the extreme fluctuations in the number of mature individuals and the continuing decline in the EOO, AOO, area and quality of its habitat, and number of mature individuals. After a recent wildfire, the species has not been recorded in this locality.","The subpopulations of this species are declining due to overgrazing (Kristin and Iorgu 2014). This species shows repeated fluctuations in population size, with the number of mature individuals fluctuating at least tenfold. It is therefore considered to exhibit extreme fluctuations in the number of mature individuals (I. Iorgu pers. comm. 2015). A wildfire in 2013 destroyed a large area of its habitat, and this seems to be a significant threat to the species (I. Iorgu pers. comm. 2015) as it has not been recorded in this locality. .","The Cozia Plump Bush-cricket is endemic to the southern Carpathians in Romania, where it is found in Cozia Mountains (Kis and Vasiliu 1970, Iorgu and Iorgu 2012). Its extent of occurrence (EOO) and area of occupancy (AOO) are both 4 km².","This bush-cricket inhabits sunny steep forest clearings and sub-alpine grasslands with abundant Rubus, Urtica, Rumex, Veratrum, Aconitum and Vaccinium species, among others. It is distributed between 1,000 and 1,600 m Asl in the Cozia Mountains.",This species is not utilised.,"The threats to this species are fires and overgrazing (Kristin and Iorgu 2014, I. Iorgu pers. comm. 2015), that significantly affect the population of this species at its single location.","The species is listed on the Annexes II and IV of the European Birds and Habitats Directive. Its status has been assessed as ""Unfavourable-Inadequate"" in the most recent report (EEA 2014). The species occurs in Cozia National Park. Better grazing and fire management is required to avoid any future declines of this species. Research on its population trend is required."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Podismopsis,transsylvanica,"Ramme, 1951",CR,Yes,"B1ab(iii,v)",CR,"B1ab(iii,v)",Yes,Decreasing,"Chobanov, D.P., Hochkirch, A., Iorgu, I.S., Ivkovic, S., Kristin, A., Lemonnier-Darcemont, M., Pushkar, T., Sirin, D., Skejo, J. Skejo, Szovenyi, G., Vedenina, V. & Willemse, L.P.M.","Danielczak, A.","Kleukers, R. & García, M.",,"The Transylvanian Plump Grasshopper has a very small extent of occurrence (EOO) of 24 km², it is found at a single location and due to the existing threat of overgrazing, a continuing decline in the number of mature individuals is projected, as the habitat is also expected to decline. Consequently, the species is assessed as Critically Endangered (CR).","There is no information available on its population size. Based on the ongoing degradation of its habitat as a result of overgrazing, a continuing decline in the number of mature individuals is projected.","The Transylvanian Plump Grasshopper occurs in a small area in the central part of the southern Carpathians in Romania between 1,700 and 2,200 m altitude (Harz 1975, I. Iorgu pers. comm. 2016). The estimated extent of occurrence (EOO) andarea of occupancy (AOO) are both 24 km².","The species inhabits sub-alpine meadows with Vaccinium associations between 1,700 m and 2,200 m altitude.",This species is not utilised.,"The main threat to this species is overgrazing. Based on this threat, the species is found on a single location.","There are no conservation measures in place for this species, and it does not occur in any protected area throughout its range. Research on its population size and trend is needed."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Chorthippus,acroleucus,"(Müller, 1924)",CR,Yes,B1ab(iii)c(iv)+2ab(iii)c(iv),CR,B1ab(iii)c(iv)+2ab(iii)c(iv),Yes,Unknown,"Chobanov, D.P., Hochkirch, A., Iorgu, I.S., Ivkovic, S., Kristin, A., Lemonnier-Darcemont, M., Pushkar, T., Sirin, D., Skejo, J. Skejo, Szovenyi, G., Vedenina, V. & Willemse, L.P.M.","Danielczak, A.","Kleukers, R. & García, M.",,"The White-tipped Grasshopper lives in a very restricted area with both the area of occupancy (AOO) and extent of occurrence (EOO) of 4 km². Based on the threat of wildfires, the species is considered to occur at only one location. Although no population decline is observed, the habitat of this species is subjected to a decline in its quality and extent. In addition, extreme fluctuations in the number of individuals are known and thus the species is assessed as Critically Endangered (CR).","The population size of this species is small and its trend is unknown (Kristin and Iorgu 2014, I. Iorgu pers. comm. 2015). This species shows repeated fluctuations in population size, with the number of mature individuals fluctuating at least tenfold. It is therefore considered to exhibit extreme fluctuations in the number of mature individuals (I. Iorgu pers. comm. 2015).","The species occurs only in the treeless zone of Cozia Mountain, in the southeastern Carpathians (Romania) between 1,000 and 1,600 m altitude. Its extent of occurrence (EOO) and area of occupancy (AOO) are both 4 km².",This species lives in rocky areas with very sparse vegetation.,This species is not utilised.,"The threats to this species are overgrazing (including the change of its habitat by fertilisation as a result of cattle presence) and wildfires. Based on wildfires, there is only one location.","No conservation actions are in place for this species, but it occurs in a protected area (Cozia National Park). More research on its population trend is needed, and an area-based management plan is recommended."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Odontopodisma,rubripes,"(Ramme, 1931)",NT,Yes,,NT,,No,Decreasing,"Chobanov, D.P., Hochkirch, A., Iorgu, I.S., Ivkovic, S., Kristin, A., Lemonnier-Darcemont, M., Pushkar, T., Sirin, D., Skejo, J. Skejo, Szovenyi, G., Vedenina, V. & Willemse, L.P.M.","Danielczak, A.","Kleukers, R. & García, M.",,"Global and European regional assessment: Near Threatened (NT)EU 28 regional assessment: Near Threatened (NT)The Red-legged Mountain Grasshopper is assessed as Near Threatened (NT) because there is a continuing decline in the number of mature individuals and its area of occupancy (AOO) is small, being thus close to qualify as threatened under Criterion B. The species is affected by overgrazing, human intervention and insecticide use, and further research on its population trend is needed.","Subpopulations of this species seem to be large and presumably stable in Romania, but they are small, fragmented and slowly declining in Hungary and Slovakia. There is a continuing decline in the number of mature individuals.","The Red-legged Mountain Grasshopper occurs in the Carpathian range of central and northwestern Romania, western Ukraine, and the northeastern areas of Hungary and Slovakia (Kis 1962, Harz 1975, Kristin and Kanuch 2013). The area of occupancy (AOO) is estimated to be between 400 and 3,000 km², with most of it within the EU 28 (c. 300-2,000 km²), and the extent of occurrence (EOO) is c. 80,000 km² (for the EU 28 it is c. 62,000 km²).","The Red-legged Mountain Grasshopper occurs between 100 and 1,300 m altitude in scrub in forest clearings and edges as well as in shrub-dominated wetlands, where the species lives on Rubus spp. and other tall bushes and herbs (Kis and Vasiliu 1970, Kristin and Kanuch 2013, I. Iorgu, pers. comm.).",This species is not utilised.,"The main threats to this species overgrazing, human interventions (including early or very intense mowing, drainage and forest edge cutting) and the use of insecticides, which lead to habitat degradation.","This species is listed in Annex II of the EU Habitats Directive and it is therefore compulsory to monitor this species. Its status has been assessed as ""Unfavourable-Inadequate"" in all biogeographic regions (EEA 2014). It occurs in protected areas throughout its range. More research on its population trend is needed."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Chortopodisma,cobellii,"(Krauss, 1883)",EN,Yes,B1ab(v)+2ab(v),EN,B1ab(v)+2ab(v),Yes,Decreasing,"Zuna-Kratky, T., Fontana, P., Roesti, C., Braud, Y., Hochkirch, A., Monnerat, C., Rutschmann, F. & Presa, J.J.","Kranz, M.","Odé, B. & Cálix, M.",,"The Veneto Mountain Grasshopper (Chortopodisma cobellii) is endemic to the southern edge of the Alps in Italy. This species is assessed as Endangered since it has restricted geographic range (extent of occurrence (EOO) is 890 km², area of occupancy (AOO) is 52 km²), the population is severely fragmented, and it is inferred to be experiencing a continuing decline in the number of mature individuals. This flightless grasshopper is very vulnerable to potential threats like habitat shifts resulting from global warming or intensification of grazing by cattle. It is important to study the potential changes in habitat quality and population size through research and monitoring, especially in intensively grazed areas. An increase in public awareness should be promoted and could lead to the improvement of the status of this species.","The population of this species is severely fragmented since the subpopulations are isolated with little or no genetic exchange between them and may go extinct with a reduced probability of recolonization. However, at several localities it can potentially be the most abundant species (Massa et al. 2012). This species is declining locally (P. Fontana pers. comm. 2015) and therefore a overall decrease in the population can be inferred.","The Veneto Mountain Grasshopper is endemic to the southern edge of the Alps in Italy, where it occupies the Monti Lessini around the Monte Pasubio in the Trentino and Veneto. The distribution is confined by the valleys of Val Lagarina, Valsugana and Val d´ Adige (Galvagni 1954, Massa et al. 2012). West of the Val d´Adige it is replaced by its close relative Pseudoprumna baldensis. This species' extent of occurrence (EOO) is only ca 800 km², and its area of occupancy (AOO) is 52 km².","This species inhabits rocky alpine grasslands above the tree line where bushes of Rhododendron ferrugineum are intermixed (between 1,500 and 2,200 m asl). Typical habitats are also Seslerio-semperviretum-meadows (Massa et al. 2012) and intensively grazed meadows (P. Fontana pers. comm. 2015). These habitats have been ice-free during the last ice age and acted as refuges for this wingless grasshopper. Adults are present comparatively late from August to October.",The species is not utilised.,"This species occurs up to the higher altitudes of its range, and could be affected by the shift of unsuitable habitats into their altitudinal distribution due to global warming. An intensification of the grazing regime in alpine meadows might also be a potential threat.The area that this species inhabits is subject to tourism and therefore it could be affected by trampling, litter production and road access (P. Fontana pers. comm. 2015).","There are no known conservation actions in place for this species, and only a very small part of the population lives in a protected area (Parco Regionale della Lessinia). It is important to study the potential changes in habitat quality and population size through research and monitoring, especially in intensively grazed areas. An increase in public awareness should be promoted and could lead to the improvement of the status of this species."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Italopodisma,lucianae,"(Baccetti, 1959)",CR,Yes,"B1ab(iii,v)",CR,"B1ab(iii,v)",Yes,Decreasing,"Buzzetti, F.M., Hochkirch, A., Fontana, P., Kleukers, R., Massa, B. & Odé, B.","Weinberger, J. & Kranz, M.","Bushell, M. & Cálix, M.",,"The Maiella Apennine Grasshopper (Italopodisma lucianae) is endemic to the Maiella Massive in Central Italy. This species is assessed as Critically Endangered since it has a very small extent of occurrence (EOO) (28 km²), the population is severely fragmented, and there is an inferred continuing decline in the number of mature individuals and in the habitat quality due to intensive cattle grazing, tourism and potentially also climate change (habitat shifts and temperature extremes). Further research is needed into the threats to this grasshopper, its ecology, and population trend. The population trend and habitat should be monitored and proper habitat management should be implemented. In addition, destroyed habitat should be restored.","A continuing decline in the population size is inferred due to the changes in agricultural land use (intensified cattle grazing). Given that this species is flightless and has very small, isolated subpopulations, the population is considered to be severely fragmented.","The Maiella Apennine Grasshopper is endemic to the Maiella Massive in Central Italy (Massa et al. 2012). This species' extent of occurrence (EOO) is ca 28 km², and its area of occupancy (AOO) is 12 km².","This species lives in alpine meadows and rocky slopes at altitudes between 1,700 and 2,900 m asl.",This species is not utilised.,"This species is threatened by intensive cattle grazing in the area as well as by touristic development. It is possibly also affected by climate change, particularly by altitudinal shifts of its habitat and temperature extremes.","There are no specific conservation measures in place for this species, but it occurs in a nature reserve. Further research is needed into the threats to this grasshopper, its ecology and population trend. The population trend and habitat should be monitored and proper habitat management should be implemented. In addition, destroyed habitat should be restored."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Miramella,formosanta,"(Fruhstorfer, 1921)",LC,Yes,,LC,,No,Stable,"Zuna-Kratky, T., Fontana, P., Roesti, C., Braud, Y., Hochkirch, A., Monnerat, C., Rutschmann, F. & Presa, J.J.","Kranz, M.","Odé, B. & Cálix, M.",,"Global and European regional assessment: Least Concern (LC)EU 28 regional assessment: Least Concern (LC)The Generoso Mountain Grasshopper (Miramella formosanta) is endemic to the western Alps, in Tessin, Switzerland, and in the provinces of Lombardia and Piemonte in Italy. This species is assessed as Least Concern since although it has a restricted geographic range (extent of occurrence (EOO) in Europe is ca 9,800 km²), it is quite common and widespread in suitable habitats, and the population is stable. While in general the habitats of this species are not under threat, research is needed into the effects of the abandonment of pastures or meadows on this species.","This species has a restricted range, but a rather dense distribution. In suitable habitats it can be quite numerous (Baur and Roesti 2006, Massa et al. 2012). Like for other Miramella species, irregular outbreaks can occur locally under favourable climatic conditions, that can even lead to damages in forest plantations (Baur and Roesti 2006). Quantitative data on population size as well as information on long-term population trends are not available. However, considering the regular observations of this species, it can be assumed that the population is quite stable.","The Generoso Mountain Grasshopper represents a southwestern species of the alpine grasshopper group of the genus Miramella, endemic to the western Alps, in Tessin, Switzerland, and in the provinces of Lombardia and Piemonte in Italy (Baur and Roesti 2006, Massa et al. 2012). There are two subspecies - M. f. formosanta which occurs in the east, and M. f. bessae which is present in the west side of the Lago Maggiore. This species' extent of occurrence (EOO) in Europe is ca 9,800 km², and it can be found from the foothills of the Alps, at only 270 m asl, up to the mountain peaks at around 2,000 m asl, close to the tree line (Baur and Roesti 2006, Galvagni 1986).","This species is a characteristic grasshopper of temperate and moist (""illyric"") habitats with dense vegetation cover. It can be found along forest edges (in Rubus spp. (F. Rutschmann pers. comm. 2015), in bushes and plantations, in open park-like forests or even inside forest habitats (Baur and Roesti 2006)). It is short-winged and flightless, and it lives mainly in the vegetation above the ground, sitting on leaves or branches. The adults can be found from the end of June until October, depending on the elevation of their habitat.",The species is not utilised.,"This species lives in rather stable and unthreatened habitats and has a comparatively wide altitudinal distribution. However, abandonment of pastures and changes in the land use can have negative effects on this species. Global warming is expected to have neutral or even positive effects on this species.","There are no specific conservation measures in place for this species, and it occurs in only a few protected areas; however, most of the population lives outside of them. While in general the habitats of this species are not under threat, research is needed into the effects of the abandonment of pastures or meadows on this species."
ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Italopodisma,fiscellana,"(La Greca, 1954)",EN,Yes,"B1ab(iii,v)",EN,"B1ab(iii,v)",Yes,Decreasing,"Buzzetti, F.M., Hochkirch, A., Fontana, P., Kleukers, R., Massa, B. & Odé, B.","Weinberger, J. & Kranz, M.","Bushell, M. & Cálix, M.",,"The Gran Sasso Apennine Grasshopper (Italopodisma fiscellana) is endemic to Italy and is found on various mountains in the Central Apennines. This species is assessed as Endangered, since it has a restricted geographic range (extent of occurrence (EOO) is ca 3,800 km²), the population is severely fragmented, and there is an inferred continuing decline in the extent and quality of its habitat as well as in the number of mature individuals due to touristic activities and increasing pressure from cattle grazing. Further research is needed into the effects of grazing, tourism and climate change on the population of this species. Furthermore, the population trend and ecology needs to be studied, and the habitat should be be better protected and restored.","This species has become rarer in its habitat at several localities, but exact data on population size and trend are missing. The population is severely fragmented as the species is flightless and has very small subpopulations at the highest altitudes, and there is little or no genetic exchange between them. The overall population trend is considered to be decreasing.","The Gran Sasso Apennine Grasshopper is endemic to Italy, and is found on various mountains in the Central Apennines (Massa et al. 2012). This species' extent of occurrence (EOO) is ca 3,800 km².","This species lives in alpine dry meadows and rocky slopes between 1,500 m and 2,300 m asl. There is a continuing decline in the extent and quality of this habitat due to intensification of cattle grazing and tourism (particularly skiing).",This species is not utilised.,This species is locally threatened by the intensification of cattle grazing and tourism (particularly skiing). Climatic changes may also pose a threat to this species.,"There are no specific conservation measures in place for this species, but it occurs in several nature reserves (e.g. Parco Nazionale d'Abruzzo). Further research is needed into the effects of grazing, tourism and climate change on the population of this species. Furthermore, the population trend and ecology needs to be studied, and the habitat should be be better protected and restored."
