Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Taxonomic Notes,Endemic to Europe,Endemic to EU27,European regional Red List Category,European regional Red List Criteria,EU27 regional Red List Category,EU27 regional Red List Criteria,Rationale of the Red List Category,Population Trend,Range,Population,Habitat,Threats,Conservation Actions,Red List Assessors
ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ANOBIIDAE,Xyletinus,tremulicola,,,Yes,Yes,NT,,NT,,"European regional assessment: listed as Near Threatened since its Area of Occupancy is probably less than 2,000 km² and its habitat might be declining in part of its range (Sweden). Also the species population is fragmented. However the species is not threatened at present. EU 27 regional assessment: listed as Near Threatened since its Area of Occupancy is probably less than 2,000 km² and its habitat might be declining in part of its range (Sweden). Also the species population is fragmented. However the species is not threatened at present.",Decreasing,"This species is found in Fennoscandia in northern Europe. In Sweden it is in 11 localities, mostly in the east, and in Finland in eight localities.",In Finland the trend is stable. In Sweden the species is thought to be declining and is very fragmented.,This is an obligate saproxylic species. The larvae live in the thick dead bark of old standing aspen Populus tremula trees both in shaded and open areas. It however seems to prefer sun exposed dying or recently dead trees.,"There is lack of information available regarding the threats for this species.  The main overall threat is likely to be degradation or loss of habitat quality, involving structural changes in the tree populations arising from changing land use – affecting age structures and tree density. Exploitation from forestry is a key immediate issue and the removal of dead and dying trees is clearly a problem. Forest clearance, unsustainable forest management, grazing, and drainage are also issues. Fragmentation and increasing isolation of beetle populations are also key factors. In Finland, the species may become threatened if there were more use or demand for aspen trees which would lead to more removal of the large trees. Additionally, moose eat aspen saplings and may pose a threat to aspen regeneration weakening the future habitat for this species.","This species is listed on Annex II of the EU Habitats Directive. This species is listed as Vulnerable in the Red Data Book of Sweden (2005 and 2000) and Endangered in Finland (Rassi et al. 2001). However, there is some new information on the occurrence of this species in Finland which will move the species nationally into Vulnerable or Near Threatened. The species was first found about 20 years ago in Finland, but is not seen very frequently. The situation may be improving because aspen trees are more often being left dead in open areas, providing habitat for the species.In Sweden this species is likely to struggle unless conditions change. Its habitat and distribution is very fragmented, with it being found in 11 localities.","Tykarski, P., Putchkov, A. & Mannerkoski, I."
ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EUCNEMIDAE,Thambus,frivaldskyi,,Note that in Lobl and Smetana (2006) this name is spelt T. friwaldszkyi and T. frivaldszkyi.,Yes,,DD,,DD,,European regional assessment: listed as Data Deficient in view of the absence of information on the population size and trends and threats to this species. EU 27 regional assessment: listed as Data Deficient in view of the absence of information on the population size and trends and threats to this species.,Unknown,This species is only known from a few countries in central and south-eastern Europe.,In Hungary the species is very sporadic. All known populations are very small (O. Merkl pers. comm. 2009).,This is an obligate saproxylic species. The known habitats are rotting stumps and branches of very old oak trees (wood pastures or mature forests) (O. Merkl pers. comm. 2009) and beech (Bail and Dunk 2007).,"Because of the rarity of the species nothing can be said about the threats (O. Merkl pers. comm. 2009). The main overall threat is likely to be degradation or loss of habitat quality, involving structural changes in the tree populations arising from changing land use – affecting age structures and tree density. Exploitation from forestry is often a key immediate issue, but equally damaging can be long-term changes towards canopy closure and loss of ancient trees as a result of non- or minimum-intervention management systems which all too often exclude grazing by large herbivores. Fragmentation and increasing isolation of beetle populations are also key factors.",No information available.,"Nardi, G., Tykarski, P., Munteanu, N., Istrate, P., Horák, J., Tezcan, S. & Putchkov, A."
ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EUCNEMIDAE,Rhacopus,sahlbergi,,,,,LC,,LC,,"European regional assessment: listed as Least Concern. This is a poorly known species that appears to be rare and localised (although it is difficult to find and may be under-recorded). However, it has a large Extent of Occurrence, and is presumed to have a relatively large Area of Occupancy based on its broad habitat preferences. Population size is presumed to be relatively large (e.g. well above 10,000) and there is no evidence to suggest that the species or its habitat are declining at a rate approaching 30% over ten years. More research is needed. EU 27 regional assessment: listed as Least Concern. This is a poorly known species that appears to be rare and localised (although it is difficult to find and may be under-recorded). However, it has a large Extent of Occurrence, and is presumed to have a relatively large Area of Occupancy based on its broad habitat preferences. Population size is presumed to be relatively large (e.g. well above 10,000) and there is no evidence to suggest that the species or its habitat are declining at a rate approaching 30% over ten years. More research is needed.",Unknown,"This species is known from central and northern Europe, extending to south-eastern Europe. Also present in the eastern Palaearctic (not a European endemic).","Generally appears to be a rare and very localised species (but is possibly under-recorded as it is not easy to find even when it is present). Population trend is unknown.In Ukraine it is very rare. In Hungary this species is known from very few localities in hilly regions; the known populations are very small (O. Merkl pers. comm. 2009). In Finland and Sweden it is very rare and scattered with few records; in Sweden it is only found in the south. In Germany it is only found in the south and is present in two federal States (formerly occurred in two additional States but has become Extinct there); considered very rare. In Slovakia it is known from four localities, two of them are known only from old data (pre-1950). In France there are seven known localities. In Italy it occurs in the north.","This is an obligate saproxylic species. Found in white-rotted twigs, branches and trunks of oak Quercus, hazel Corylus, willow Salix and other broad-leaved species. Prefers damp areas. Nearly full grown larvae have been found in small, white-rotted twigs of Quercus (diameter two cm) on the ground; also in dry, relatively hard surface wood of standing Corylus (diameter four cm) with early signs of white rot, larvae at base, which was surrounded by moist leaf litter (larvae small). Also reported from Fagus and Salix caprea in Germany. Full grown larvae live in soft surface wood; development takes at least two years. Evidently the eggs are laid in still hard wood, but already colonised by decay fungi, which is soft by the time the larvae are full grown (Muona 1993). In Ukraine the species develops in humid branches of oak and nut-trees lying on ground (Nikitsky et al. 1996).In Ukraine it has been found in the east forest-steppe (Kharkov region) and in the mountains of Crimea (Drogvalenko 2001). In Hungary the habitats of the known localities are various open forests.","The species appears to be under no significant threat at the European level, although is rare and localised in many states. The decaying stems do not need to be particularly large.The main overall threat is likely to be degradation or loss of habitat quality, involving structural changes in the tree populations arising from changing land use – affecting age structures and tree density. Exploitation from forestry is often a key immediate issue, but equally damaging can be long-term changes towards canopy closure as a result of non- or minimum-intervention management systems which all too often exclude grazing by large herbivores. Fragmentation and increasing isolation of beetle populations are also key factors.",This species is found in protected areas (e.g. Hungary). More research is needed to clarify the distribution and abundance of this species.,"Hyvärinen, E., Alexander, K., Büche, B. & Campanaro, A."
ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EUCNEMIDAE,Nematodes,filum,,,,,DD,,DD,,"European regional assessment: listed as Data Deficient in view of the absence of sufficient information on its area of occupancy, population size and abundance, natural history, threats and conservation status. EU 27 regional assessment: listed as Data Deficient in view of the absence of sufficient information on its area of occupancy, population size and abundance, natural history, threats and conservation status.",Unknown,"This species is found scattered throughout much of Europe except in northern Europe. In Ukraine it is present in the Carpathians. In France there are six localities in the centre and south-eastern France, including Corsica (Brustel and Aubourg 2008). In Spain its presence has recently been confirmed in a  Pyrenean  locality (de la Rosa 2008). It was also recorded from Portugal but without geographical detail in the 19th century (Oliveira 1893) and apparently not found ever since. It is also present in Near East.",The species is rare throughout its European range. In Hungary it is sporadic in the hilly and lower mountainous regions; all known populations seem to be small (O. Merkl pers. comm. 2009). In the Czech Republic it is rare but its populations seem stable. In France there is only one locality and very rare. In the Czech Republic there are six recent localities. In Spain only one. In Ukraine it is rare.,"This is an obligate saproxylic species. Reared from both standing and lying logs of maple Acer, hornbeam Carpinus, beech Fagus and oak Quercus, wood solid and hard. Beetles have been found under bark of a decayed Quercus stump in Austria (Muona 1993). In Hungary the species occurs in open broad-leaved forests, especially where dead trunks of maple occur in numbers; also in beech (O. Merkl pers. comm. 2009).","The main overall threat is likely to be degradation or loss of habitat quality, involving structural changes in the tree populations arising from changing land use – affecting age structures and tree density. Exploitation from forestry is often a key immediate issue, but equally damaging can be long-term changes towards canopy closure and loss of ancient trees as a result of non- or minimum-intervention management systems which all too often exclude grazing by large herbivores. Fragmentation and increasing isolation of beetle populations are also key factors.",No specific conservation measures are in place. The species occurs in protected areas (e.g. Hungary).,"Nieto, A., Méndez, M., Mason, F., Horák, J., Alexander, K., & Campanaro, A."
ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EUCNEMIDAE,Farsus,dubius,,,,,NT,,VU,B2ab(iii),"European regional assessment: listed as Near Threatened because its Area of Occupancy is probably not much greater than 2000 km², it occurs in several small, widely separated sub-populations, and the species requires a specific habitat which is in continuing decline. However the population from Russia remains unknown, thus making this species Near Threatened. EU 27 regional assessment: listed as Vulnerable (B2ab(iii)) because its Area of Occupancy is probably not greater than 2000  km², its distribution is   severely fragmented and the species requires a specific habitat which is in continuing decline.",Unknown,This species is widespread across southern Europe. In Romania the species is present in the floodplain forest and in Baile Herculane (Cerna Valley). It is also present in Near East.,"The population is scattered. In Hungary the species is very sporadic: only three localities are known, one of them is more than 70 years old. All known populations are very small (O. Merkl pers. comm. 2009). Only one locality in the south of the Czech Republic.In Portugal there is only one old record fom the transition north-centre (Oliveira 1893), requiring confirmation. In Spain there is only one locality (Malaga) and old (Recalde Irurzun 2008). In France there are about ten localities (L. Leseigneur pers. comm. 2009, B. Dodelin pers. comm. 2009).","This is an obligate saproxylic species. Known from Fagus (old Yugoslavia), Populus (Romania), Quercus (France), Salix (Rumania) (Muona 1993). It also lives in Alnus. It requires a specific type of rot in dead wood. In Hungary the known habitats are groups of very old oak trees (wood pastures or mature forests) (O. Merkl pers. comm. 2009).","Change of habitat quality and the removal of old trees may be major threats. In Hungary the localities - if the populations exist at all - are highly threatened, because these are not protected, and the old trees are being removed (O. Merkl pers. comm. 2009).",There are no direct conservation measures in place for this species. It is present in a protected area.,"Nieto, A., Dodelin, B., Campanaro, A. & Méndez, M."
ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EUCNEMIDAE,Isoriphis,marmottani,,,Yes,,LC,,LC,,European regional assessment: listed as Least Concern as it is a widespread species that is not infrequent in at least parts of its range. The Area of Occupancy and the Extent of Occurrence are presumed to be relatively large. There is no evidence to suggest that it is declining at nearly the rate required to qualify for listing in a threatened category. EU 27 regional assessment: listed as Least Concern as it is a widespread species that is not infrequent in at least parts of its range. The Area of Occupancy and the Extent of Occurrence are presumed to be relatively large. There is no evidence to suggest that it is declining at nearly the rate required to qualify for listing in a threatened category.,Unknown,"This species is scattered in Europe, from the Scandinavian Peninsula to western and central Europe. Endemic to Europe.","It is a widespread and not infrequent species in at least some parts of its range. Population trend is unknown. In France it is generally widespread but absent from the Atlantic area; many localities are known (20-30 sites). In Germany it is very sporadic in warmer broad-leaved forests at lower altitudes. In Hungary this species is very sporadic in the hilly and mountainous regions; all known populations are very small (O. Merkl pers. comm. 2009). In the Czech Republic it is present in four areas (one to several faunistic grid cells) from central Bohemia (west) to south-eastern Moravia (east); fifth area (two faunistic grid cells) with pre-1950 records only (Elateridae 2009). In Slovakia it has a scattered occurence accross the country (about ten areas of one or two grid cells), missing in the north-west (Elateridae 2009).In Sweden there are two small sub-populations in southernmost Sweden. In Norway it is very localized, restricted to far south.","This is an obligate saproxylic species. Mainly confined to hornbeam (Carpinus) trees in broad-leaved woodland. Found in standing dead wood in small, medium and large-sized trees. Has been reared from rotten wood of Carpinus betulus and Prunus cerasifera. Beetles on dead standing Carpinus betulus, diameter less than 15 cm, bark fallen off (Muona 1993). In Hungary habitats of the known populations are closed, mature beech forests. Reported to develop in hornbeam (Freude et al. 1979); in still rather fresh, hard wood (Vávra 2005).","The species appears to be under no significant threat at the European level, although is rare and localised in many states. The decaying stems do not need to be particularly large. The main overall threat is likely to be degradation or loss of habitat quality, involving structural changes in the tree populations arising from changing land use – affecting age structures and tree density. Exploitation from forestry is often a key immediate issue, but equally damaging can be long-term changes towards canopy closure as a result of non- or minimum-intervention management systems which all too often exclude grazing by large herbivores. Fragmentation and increasing isolation of beetle populations are also key factors.",This species occurs in protected areas (e.g. Hungary). This species is listed as Critically Endangered in the Czech Republic (Vávra 2005).,"Hyvärinen, E., Alexander, K., Büche, B. & Campanaro, A."
ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EUCNEMIDAE,Isoriphis,melasoides,,,,,LC,,LC,,"European regional assessment: listed as Least Concern in view of its wide distribution, presume overall large population although rather scattered and relatively rare in parts of its European range, its common habitat and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.  EU 27 regional assessment:   listed as Least Concern in view of its wide distribution, presume overall large population although rather scattered and relatively rare in parts of its European range, its common habitat and because it is unlikely to be declining fast enough to qualify for listing in a more threatened category.",Stable,"This species is scattered throughout much of Europe, except the Scandinavian Peninsula, British Isles, Baltic States and far western Europe. It was a native species in Britain but died out before the historic period. It is also present in Near East.","The species seems to be scarce in parts of its range but it is believed that it is due primarily to under-sampling.In Hungary the species is sporadic in the hilly and mountainous regions; the known populations are usually small, although in the late 1990s it was abundant in the Buda Hills (the hills in the capital Budapest) (O. Merkl pers. comm. 2009). In Germany there are recent records from the south and east; it is quite rare. In the Czech Republic it is rare and records are scattered across the country; 14 faunistic grid cells with post-1950 records, five with pre-1950 records only (Elateridae 2009). In Slovakia it is also rare with records scattered across the country; 12 faunistic grid cells with post-1950 records, missing in the south-western part, except for a single faunistic grid cell with pre-1950 record(s) (Elateridae 2009). In Romania it is common. In Spain records are only previous to 1980 (Recalde Irurzun 2008). In the UK there are sub-fossil records widespread across the England lowlands (Alexander 2002); in deposits dated c 3000 BP (Buckland and Kenward 1973); long Extinct.","This is an obligate saproxylic species. It is known from deadwood of various broad-leaved trees: Carpinus, Fagus, Tilia (Scandinavia), Ulmus (Russia), Quercus (Germany); it has been reared from standing dead trees and snags with hard surface wood but soft heartwood decay within (Muona 1993); in dead standing trunks in moist forests. Relatively thermophilous (Alexander 2002). In Hungary the habitats of the known populations are closed, mature beech forests (O. Merkl pers. comm. 2009). It prefers beech wood (Freude et al. 1979); in (semi) natural forests (Vávra 1996).","The main overall threat is likely to be degradation or loss of habitat quality, involving structural changes in the tree populations arising from changing land use – affecting age structures and tree density. Exploitation from forestry is often a key immediate issue, but equally damaging can be long-term changes towards canopy closure and loss of ancient trees as a result of non- or minimum-intervention management systems which all too often exclude grazing by large herbivores. Fragmentation and increasing isolation of beetle populations are also key factors.",No specific conservation measures are in place. The species occurs in several protected areas (e.g. Hungary). It is listed as Endangered in the Czech Republic.,"Nieto, A., Pettersson, R., Mason, F., Horák, J., Alexander, K., & Schmidl, J."
ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EUCNEMIDAE,Isoriphis,nigriceps,,,,,DD,,DD,,"European regional assessment: listed as Data Deficient in view of the absence of sufficient information on its distribution in the Balkans and eastern Europe, its area of occupancy , its population size and trends, threats and conservation status. EU 27 regional assessment:   listed as Data Deficient in view of the absence of sufficient information on its distribution in the Balkans and eastern Europe, its area of occupancy , its population size and trends, threats and conservation status.",Unknown,This species is widespread across central and southern Europe. It is also found in Caucasus and Turkey.,"The species seems to be rare throughout its range. In Hungary the species is known to occur only in the southern part of the country (Baranya county); all known populations are very small (O. Merkl pers. comm. 2009). In Slovakia known from two localities. In Ukraine it occurs in the Carpathians, and is rare. In Slovakia there are only in two faunistic grid cells in the extreme east (border to the Ukranian Carpathians) (Elateridae 2009). In Spain it is known only from one locality close to the Pyrenees (Recalde Irurzun 2008). In France there are two localities only in the Atlantic Pyrenees (Iraty and Sare) discovered in 1994 and 1995 (Lucht and Chassain 1998).","This is an obligate saproxylic species. It is known from the deadwood of Acer and Carpinus; in standing trees, logs and branches; wood hard, always with cerambycid galleries, presence of the fungi Poria purpurea and Stereum insignitum observed (Muona 1993). In Hungary the habitats of the known populations are closed, mature oak and beech forests (O. Merkl pers. comm. 2009). The biology of this species in Ukraine is unknown.","The main overall threat is likely to be degradation or loss of habitat quality, involving structural changes in the tree populations arising from changing land use – affecting age structures and tree density. Exploitation from forestry is often a key immediate issue. Fragmentation and increasing isolation of beetle populations are also key factors.",No specific conservation measures are in place. The species occurs in protected areas (e.g. Hungary).,"Nieto, A., Méndez, M., Mason, F., Horák, J., & Campanaro, A."
ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EUCNEMIDAE,Dirrhagofarsus,attenuatus,,,,,DD,,EN,B2ab(iii),"European regional assessment: classified as Data Deficient as no information about its presumed range in Russia and Croatia is available. The species is extremely rare throughout its western distribution range. EU 27 regional assessment: listed as Endangered (B2ab(iii))  because its Area of Occupancy is probably less than 500  km², it is only known from a few, severely fragmented, sites and its habitat, old growth forest is disappearing.",Unknown,"This species is found across central and eastern Europe, from Czech Republic to Russia. In Hungary the species is known from only one locality in the southernmost part of the country, near the point where Danube River leaves the country; the record is more than 70 years old (O. Merkl pers. comm. 2009). In the Czech Republic it is reported from three areas in the south-eastern tip of the country. Localities are from the floodplain forests but also in drier habitats; all records are since 2000 (Elateridae 2009). In the Slovak Republic there are no reliable records (Elateridae 2009).","In the Czech Republic there is probably a single population, recorded only recently. In Romania it is rare and in Finland it is very rare, with only one reliably recorded locality, not been found since 1983. In Hungary the species is known from only one locality and no information is available about its population (O. Merkl pers. comm. 2009).","This is an obligate saproxylic species. The larvae develop in white-rotten wood in the trunks of various broad-leaved trees, including aspen Populus tremula and lime Tilia. It has been reared from a large decaying stump of Populus tremula - the larvae were found in cells in damp white-rotten sapwood 10-30 mm deep; it has also been reared from fallen parts of the crown of a Tilia cordata - wood on surface fairly hard, inside with white-rot, dryish (Muona 1993). The life cycle was two years in the hard wood of the aspen tree; the larvae hibernated (Nikitsky et al. 1996). The single Czech population is in the south-eastern tip of the country at the confluence of the Dyje and Morava Rivers (constituting the border to Austria and Slovakia). The climate is warm and semi-arid but humidity is provided by the abundant wetlands. The habitat is floodplain forests dominated by oak, ash and formerly elm (now rare due to Dutch elm disease) at an elevation of approximately 150 m asl; records not only from floodplains but also from a drier forest in the same area (J. Schlaghamersky pers. comm. 2009). In Hungary the species is known from only one locality; the record is very old, so no information is available about the habitat. However, the extant habitats around the locality are floodplain forests (O. Merkl pers. comm. 2009).",Old growth forests have been declining by 30% in the last 10 years in the Czech Republic. On-going logging of mature forest stands and decline of old trees due to a drop in groundwater table as consequence of massive river regulation in the 1970-80s are threats to this species. In Finland urban development affects negatively this species - the only site of the species was in the middle of Helsinki.,The areas where the populations occur require protection of floodplain forest and meadow (interspersed trees) habitat. Since 2008 the Czech Ministry of Environment has been taking steps to establish a Protected Landscape Area (the second highest level of protection after a National Park for large size reserves according to Czech legislation) to meet EU requirements for the protection of Natura 2000 sites. However the outcome is unclear as it is facing fierce opposition from local stakeholders including the state-owned forestry company. In Hungary the only known locality is in a protected area. No specific measures are needed (O. Merkl pers. comm. 2009).,"Pettersson, R., Hyvärinen, E., Munteanu, N., Istrate, P., Schlaghamersky, J. & Schmidl, J."
ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EUCNEMIDAE,Hylis,slipinskii,,,Yes,,DD,,NE,,"European regional assessment: listed as Data Deficient in view of absence of information on the ecological requirements, population size and trends and threats to this species. EU 27 regional assessment: listed as Not Evaluated, as the species does not occur in any EU Member State.",Unknown,This species is only known from Bosnia and Herzegovina.,There is little information available on the abundance of this species.,This is an obligate saproxylic species. There is no information available on the habitat requirements for this species.,No information available.,No information available.,"Nardi, G., Tykarski, P., Munteanu, N., Istrate, P., Horák, J., Tezcan, S. & Putchkov, A."
ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,EUCNEMIDAE,Hylis,simonae,,,Yes,Yes,NT,,NT,,"European regional assessment: listed as Near Threatened because although its population appears to be stable, its Area of Occupancy is probably not much greater than 2,000 km2, its distribution is rather fragmented, and the extent and quality of its habitat might decline in the near future causing a significant decline of this species. EU 27 regional assessment:   listed as Near Threatened because although its population appears to be stable, its Area of Occupancy is probably not much greater than 2,000 km2, its distribution is rather fragmented, and the extent and quality of its habitat might decline in the near future causing a significant decline of this species.",Stable,This species is scattered in southern Europe from Spain to Bulgaria.In the Czech Republic it occurs in the south-eastern tip bordering Slovakia and Austria. In Slovakia it occurs in the central part of the country. In Spain it is only present in the north (Recalde Irurzun 2008).,"There is little information available on the abundance of this species. Typically single records of individual beetles. Population probably stable. In Hungary the species is known from only one locality in the central part of the country; the record is more than 70 years old. As the species is known from only one locality, no information is available from its population (O. Merkl pers. comm. 2009). In France and the Czech Republic it is rare. There are two localities known in Slovakia. In Spain it is rare with eight localities in the north.","This is an obligate saproxylic species. It lives in white-rotten interiors of lying dead but otherwise intact logs; in shady conditions. It has also been found in a regeneration area with dense regrowth of young trees; in high quality old growth forests with old trees, so good continuity of habitat. Beetles have been reported from a wide range of broad-leaved trees: Carpinus, Castaneus, Fagus, Fraxinus, Quercus and Tilia (Muona 1993). In Hungary the species is known from only one locality; the record is very old, so no information is available about the habitat. However, the extant habitats around the locality are mature oak forests (O. Merkl pers. comm. 2009). It inhabits oak and ash (Lucht 1992).","The main overall threat is likely to be degradation or loss of habitat quality, involving structural changes in the tree populations arising from changing land use – affecting age structures and tree density. Exploitation from forestry is often a key immediate issue, but equally damaging can be long-term changes towards canopy closure and loss of veteran trees. Fragmentation and increasing isolation of beetle populations are also key factors.",No specific conservation measures are in place. It occurs in some protected areas (e.g. Hungary).,"Nieto, A., Méndez, M., Schlaghamersky, J., Dodelin, B., & Campanaro, A."
