Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxonomic Notes,Endemic to Europe,Endemic to EU27,European regional Red List Category,European regional Red List Criteria,EU27 regional Red List Category,EU27 regional Red List Criteria,Rationale of the Red List Category,Population Trend,Range,Population,Habitat,Threats,Conservation Actions,Use and Trade,Red List Assessors
ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,DIPLOMMATINIDAE,Cochlostoma,intermedium,"Based on Bank (1988), Fauna Europaea lists Cochlostoma intermedium as an outright species. On the other hand, according to Alzona (1971), this is the synonym of C. septemspirale agardhi # (Pini, 1884) [which is in fact a synonym of C. septemspirale] and Fauna Italia doesn't list it among valid taxa. A competent Italian expert of this species group states that this is a synonym of C. septemspirale (Enrico Zallot, personal communication).",Yes,Yes,DD,,DD,,"A taxonomic uncertainty is associated to this ""species"", because it can be reasonably supposed that C. intermedium is the synonym of C. septemspirale. # As long as this taxonomic problem is unresolved, there is no sense to assess this as a distinct species and to initiate any conservation actions. Therefore it is assessed as Data Deficient (DD).",Unknown,"This species, if valid, is found in Italy.","Due to the taxonomic uncertainty, there is no reliable information.","Due to the taxonomic uncertainty, there is no reliable information.","Due to the taxonomic uncertainty, there is no reliable information.",More research is needed on the taxonomy of this species.,This species is not used.,"Feher, Z."
ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,DIPLOMMATINIDAE,Cochlostoma,auritum,"The latest revision was done by Fehér (2004), where the following subspecies were mentioned: C. auritum auritum, C. auritum drimmeri Varga 1998, C. auritum gjonii Feher 2004, C. auritum lamellatum Westerlund 1885 (syn: = alatum A.J. Wagner 1906), C. auritum meridionalis O. Boettger 1886 and C. auritum montenegrinum A.J. Wagner 1897.Recent molecular phylogenetic research has shown that C. auritum gjonii  does not belong to this species but a distinct, undescribed species (Z. Fehér unpublished data). Accordingly, C. auritum gjonii  was not taken into consideration during this assessment.",Yes,,LC,,NE,,"This species lives within a relatively wide range with the extent of occurrence of around 2,200 km2. There are at least 50-70 known sub-populations and those sub-populations which are regularly monitored do not show signs of any decline. Therefore this species is assessed as Least Concern (LC).This species has also been assessed at the regional level as:European regional assessment: Least Concern (LC).Mediterranean regional assessment: Least Concern (LC).",Stable,"This species is distributed mainly in the Montenegrian coastal zone. Northwards it reaches the southernmost part of Croatia (Konavli Mts) and southwards it extends to the north-western part of Albania (Tarabosh Mts and Kakaric). There are contradictory data regarding its Albanian occurrence: e.g. Dhora and Welter-Schultes (1996) incorrectly indicates this species from southern Albania (Mali Cikes) [that is actually C. tessellatum, deposited in NHMW, Fehér unpublished data]. There are at least 50-70 known locations (Fehér 2004, HNHM unpublished data), and there is no reason to suppose that the area of occupancy (250 km2), extent of occurrence (2,200 km2) or the number of locations are declining or extremely fluctuating.","Within its relatively large range, this species does not seem to be rare. There are several known sub-populations and there is no reason to suppose that number of sub-populations or the number or mature individuals are declining or extremely fluctuating.","This is an obligate rock-dwelling species associated with limestone areas. It is usually found on the bare rock surface, in crevices or at the base of rocks.","Due to its habitat preference, this species does not seem to be very sensitive to ecosystem modification or other realistic threats. Considering that this species inhabits inaccessible locations, drastic and wide-scale ecosystem modification is only a hypothetical threat and local events do not affect the whole population significantly.","This species is protected in Croatia, but not in the other two countries where it occurs. Several populations occur within protected areas in Montenegro (Lovcen National Park, Kotor-Risan Bay World Heritage Site and the planned Rumija Regional Park). Research activity should focus on the taxonomy of the species group where this species belongs to, with special regard to the systematic position of ""C. auritum gjonii""",,"Feher, Z."
ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,DIPLOMMATINIDAE,Cochlostoma,dalmatinum,,Yes,,VU,D2,NE,,"The taxon meets the area requirements under criterion B for threatened with a restricted area of occupancy of 15 km2 and there are less than five known locations. However, there is no reason to suppose that the area of occupancy, extent of occurrence, number of locations, number of sub-populations or the number of mature individuals are declining or extremely fluctuating.  The caves are located near Kotor Bay, which is a tourist focal point.    So it is a potential threat in the future if caves where this species    occurs became targets of tourist activity. However, it is not thought  that to a plausible threat within the next 10 years. Therefore, it is assessed as Near Threatened (NT).",Stable,"This species lives in some caves of the Radostak Mts. (=Monte Falcone) near Herceg-Novi, Montenegro. See Gittenberger (1976) for known locations. Some location data are not given precisely, therefore the number of locations are estimated at around three to five. Fauna Europaea incorrectly indicates that this species is from Croatia (see notes of Stamol 2010). At the present moment we see no reason to suppose that the area of occupancy, extent of occurrence or the number of locations are declining or extremely fluctuating.","Only a few sub-populations are known. Due to the hidden life of this species, there are no data on population trend, but there is no reason to suppose that the number of mature individuals are declining or extremely fluctuating.","This species occurs in a karstic area where known locations are caves or near the entrances of caves. The species is most probably troglobiont, but there is little information on its ecology.","This species occurs in the subterranean part of rocky (mostly limestone) habitats. It is a potential threat to this species if the rocks are destroyed by quarrying, by road constructions or by other reasons. However, the total destruction of the whole habitat is not very likely, therefore this threat is mostly hypothetical. The caves are located near Kotor Bay, which is a tourist focal point. So it is a potential threat in the future if caves where this species occurs became targets of tourist activity.   #","This species is not protected at the national level in Montenegro and its sub-populations live outside of protected areas. However, the planned Orjen National Park might cover the known locations of this species, or at least a part of them (see Porej and Stanišić 2009).The systematic position of this species as well as its relationship to Cochlostoma erika would be important to study. The distribution range of the species should be better studied too. The known populations should be monitored if the potential threats became actual threats.",,"Feher, Z."
ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,DIPLOMMATINIDAE,Cochlostoma,parnonis,This species was originally described by Schütt (1981) as a subspecies of C. achaicum.,Yes,Yes,NT,,NT,,"The taxon meets the area requirements under criterion B for threatened (EOO<5,000 km2 and/or AOO<500 km2) and there are only five known locations. However, there is no reason to suppose that the area of occupancy, extent of  occurrence, number of locations, number of sub-populations or the number  of mature individuals are declining or extremely fluctuating. Therefore, it is assessed as Near Threatened (NT).",Stable,"This species is distributed in the south-eastern part of the Peloponnesos Peninsula (Greece). There are five published locations (Schütt 1981) but, considering how relatively unexplored that part of Greece is, there might be more than five extant sub-populations. There is no reason to suppose that the area of occupancy (20 km2), extent of occurrence (700 km2) or the number of locations are declining or extremely fluctuating.","The species is far from being well explored and there is no specific information on population trend. However, being a rock-dwelling species it is known that # potential habitats are not really sensitive, therefore, there is no reason to suppose that the number of sub-populations or the number of mature individuals are declining or extremely fluctuating.   #","This is an obligate rock-dwelling species, associated with limestone areas including conglomerate. It is usually found on the bare rock surface, in crevices or at the base of rocks.","  Due to its habitat preference, this species does not seem to be very sensitive to ecosystem modification or other realistic threats. Considering that this species inhabits inaccessible locations, drastic and wide-scale ecosystem modification is only a hypothetical threat and local events do not affect the whole population significantly.","The species is not protected at the national level in Greece and its known locations are outside of protected areas. It would be important to clarify the systematics by genital morphological and molecular methods of the species group. First of all, research activity should focus on this point.     #",,"Feher, Z."
ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,DIPLOMMATINIDAE,Cochlostoma,kleciaki,"In the concept of Fauna Europaea, this species is comprised of two subspecies: Cochlostoma kleciaki kleciaki and C. kleciaki arnautorum (A.J. Wagner, 1906).However, the identity of the nominate form is unclear and its relationship with C. kleciaki arnautorum too. There are several taxa from Croatia to Greece with similar shell morphology and it is probable that some of their sub-populations were associated to this ""species"" while others are not. It seems improbable that all the material which was published as ""kleciaki"" are of the same species as there is such a scattered distribution within a large geographic range. The revision of this species' group, based on anatomy and molecular markers, is in progress (E. Zallot, W. de Mattia, Z. Fehér pers. comm.).",Yes,,DD,,DD,,Due to the taxonomic confusion surrounding this species it is assessed as Data Deficient (DD) until the uncertainties are resolved.This species has also been assessed at the regional level as:EU27 regional assessment: Data Deficient (DD) at the level of the 27 member states of the European Union.European regional assessment: Data Deficient (DD).Mediterranean regional assessment: Data Deficient (DD).,Stable,"Braun (1887) gives the type locality of C. kleciaki kleciaki as ""Lesina"" (=Hvar Island). Wagner (1906) gives two further locations: Krivosie Mt. (in Montenegro) and Biokovo Mt. near Makarska in Croatia. In the collection of the Natural History Museum Wien (NHMW) (Vienna) there is a further lot from ""Trappani, Sabbioncello"" (= Trpanj, Peljesac Peninsula) (det Wagner AJ). Schütt (1977) published another material originated from or determined by AJ Wagner as ""Akarnanien, Pindus"" in Greece.According to Wagner (1906) the sub-species C. kleciaki arnautorum lives in southern Montenegro and Northern Albania and there should be at least 15-20 known sub-populations (Dhora and Welter-Schultes 1996, Hungarian Natural History Museum (HNHM), unpublished data).Due to the taxonomic uncertainty, we cannot exactly know which and how many species the literature records refer to. But as long as the forthcoming revision is completed, the area of occupancy, extent of occurrence and number of locations are calculated on the basis of the published records following the concept of Fauna Europaea. In this case we have no reason to suppose that the area of occupancy, extent of occurrence or number of locations are declining or fluctuating.","Due to the taxonomic uncertainty, there is no information about population trends. However, being a rock dwelling animal, there is no reason to suppose that the number of sub-populations or the number of mature individuals are declining or extremely fluctuating.","This is probably an obligate rock-dwelling species, associated with limestone areas.","Due to its habitat preference, it should not be very sensitive to ecosystem modification or other realistic threats. Local sub-populations might be threatened by the complete or severe destruction of the rocky habitat (quarrying, constructions, etc.). As long as taxonomic uncertainties are not clarified however, there is no sense to speculate on hypothetical threats.",This taxon is protected at the national level in Croatia. First of all the taxonomic uncertainties should be clarified.,,"Feher, Z."
ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,DIPLOMMATINIDAE,Cochlostoma,hoyeri,"The latest revision was done by Fehér (2004). The following subspecies are known: Cochlostoma hoyeri hoyeri; C. hoyeri csikii Fehér, 2004 and C. hoyeri lillae Fehér, 2004.",Yes,,LC,,NE,,This species lives within a relatively wide range. There are at least ten known sub-populations and probably this number is largely underestimated. The sub-populations which have been regularly visited in recent years did not show signs of any decline. Therefore this species is assessed as Least Concern (LC).,Stable,"This species is distributed in Central Albania. The subspecies C. hoyeri lillae and C. hoyeri csikii have only one known location each and the nominate form is known from at least ten sites (Fehér 2004 and Hungarian Natural History Museum (HNHM), unpublished data). The extent of occurrence is projected to be 1,150 km2 and the area of occupancy is 50 km2.","  Within its relatively large range, this species does not seem to be rare. The sub-populations which are regularly monitored do not show signs of any decline. Therefore, there is no reason to suppose that the number of sub-populations or the number of mature individuals are declining or extremely fluctuating.","This is an obligate rock-dwelling species, associated with limestone areas. It is usually found on the bare rock surface, in crevices or at the base of rocks.","Due to its habitat preference, this species does not seem to be very sensitive to ecosystem modification or other realistic threats. Considering that this species inhabits inaccessible locations, drastic and wide-scale ecosystem modification is only a hypothetical threat and local events do not affect the whole population significantly.",The species is not protected at the national level in Albania. But at least six known sub-populations live within protected areas: in Park Kombetar Mali Dajtit and in the protected site: Bardhet Bize. No conservation actions are currently required.,,"Feher, Z."
ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,DIPLOMMATINIDAE,Cochlostoma,roseoli,"The following subspecies are described: # Cochlostoma roseoli roseoli (A.J. Wagner, 1901), C. roseoli kiriense (A.J. Wagner, 1906), C roseoli prekalense (Polinski, 1924), C. roseoli rioliense (A.J. Wagner, 1914), # C. roseoli scutariense (A.J. Wagner, 1906) (see Fauna Europaea, or Fehér et al. 2001). Molecular and morphological data suggest (Fehér, unpublished data) that this system is untenable and this species needs revision.",Yes,,LC,,NE,,This species lives within a relatively wide range. There are at least 35-50 known sub-populations and those which are regularly monitored do not show signs of any decline. Therefore this species is assessed as Least Concern (LC).This species has also been assessed at the regional level as:European regional assessment: Least Concern (LC).Mediterranean regional assessment: Least Concern (LC).,Stable,"Its type locality is ""Hercegovina: Berušica near Avtovac"". However, even if this refers to an existing sub-population, it should be a small, remote, sub-population. Since 1901, there is no published information as to if this location was successfully recollected and the existence of this population was reinforced. Therefore this is not considered in the extent of occurrence calculation.The main area of this species is in southern Montenegro and northern Albania between the lower Moraca and the Drin valleys. Despite of intense field activity in recent years (Zoltan Fehér, pers comm.), this species could not be found north-westwards of the lower Moraca valley.There are at least 35-50 known sub-populations (Fehér et al. 2001 and the Hungarian Natural History Museum (HNHM), unpublished data) and there is no reason to suppose that the area of occupancy (200 km2), extent of occurrence (2,400 km2) or the number of locations are declining or extremely fluctuating.","Within its relatively large range, this species does not seem to be rare. The sub-populations which are regularly monitored do not show signs of any decline. Therefore there is no reason to suppose that the number of sub-populations or the number of mature individuals are declining or extremely fluctuating.","This is an obligate rock-dwelling species, associated with limestone areas. It is usually found on the bare rock surface, in crevices or at the base of rocks.","Due to its habitat preference, this species does not seem to be very sensitive to ecosystem modification or other realistic threats. Considering that this species inhabits inaccessible locations, drastic and wide-scale ecosystem modification is only a hypothetical threat and local events do not affect the whole population significantly.","The species is not protected at the national level in Albania or Montenegro and it is outside of protected areas. There are described subspecies which are known from narrow ranges and  therefore one might consider them as conservation units which need to be  protected. However, the systematics at subspecies-level is out of date and probably incorrect, therefore it needs revision. Research activity should focus on this point. No conservation actions are currently required.",,"Feher, Z."
ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,DIPLOMMATINIDAE,Cochlostoma,asturicum,Latest revision was done by Gofas (2001).,Yes,Yes,NT,,NT,,"The taxon meets the area requirements under criterion B for threatened with a restricted range of around 15 km2 with only seven known localities. However, there are no realistic threats and there is no reason to suppose that the area of occupancy, extent of occurrence, number of locations, number of sub-populations or the number of mature individuals are declining or extremely fluctuating. Therefore, it is assessed as Near Threatened (NT).",Stable,"This species occurs in northern Spain (Province Asturias) within a relatively narrow range. Gofas (2001) publishes seven distribution records (within a range of 15 km2). Currently, there is no reason to suppose that the area of occupancy (15 km2), extent of occurrence (15 km2) or the number of locations are declining or extremely fluctuating.","The species is far from being well explored and there is no specific information on population trend. However, being a rock-dwelling species it is known that potential habitats are not very sensitive to threats. Therefore, there is no reason to suppose that the number of sub-populations or the number of mature individuals are declining or extremely fluctuating.","This is an obligate rock-dwelling species associated with limestone areas. It is usually found on the bare rock surface, in crevices or at the base of rocks.","Due to its habitat preference, this species is not sensitive to ecosystem modification or other realistic threats. Local sub-populations might be threatened by the complete or severe destruction of the rocky habitat (quarrying, etc.). Considering that this species inhabits inaccessible locations, drastic and wide-scale ecosystem modification is only a hypothetical threat now.   #",The species is not protected at the national level in Spain. At least a part of its range is within a protected site (Picos d' Europa National Park).,,"Feher, Z."
ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,DIPLOMMATINIDAE,Cochlostoma,philippianum,,Yes,Yes,LC,,LC,,This species lives within a relatively wide range where it is quite frequent. There are at least 60-80 known sub-populations and those which were recently visited did not show signs of any decline. Therefore this species is assessed as Least Concern (LC).,Stable,"This species is distributed in the southern and south-eastern part of the Alps at Prealpi Venete, Dolomiti and Alpi Carniche. Within this range, the species is quite frequent and there are at least 60 to 80 known locations. There is no reason to suppose that the area of occupancy (300 km2), the extent of occurrence (8,100 km2) or the number of locations are declining or extremely fluctuating.","Within its relatively large range, this species does not seem to be rare. There are several known sub-populations and there is no reason to suppose that the number of sub-populations or the number of mature individuals are declining or extremely fluctuating. Those which were recently visited did not show signs of any decline.","This is an obligate rock-dwelling species, associated with limestone areas. It is usually found on the bare rock surface, in crevices or at the base of rocks. #","Due to its habitat preference, this species does not seem to be very sensitive to ecosystem modification or other realistic threats. Considering that this species inhabits inaccessible locations, drastic and wide-scale ecosystem modification is only a hypothetical threat and local events do not affect the whole population significantly.","This species is not protected at the national level in Italy. Some of the sub-populations live within protected areas such as in Parco Nazionale Dolomiti Bellunesi, Riserva naturale Campobrun and Parco Naturale Regionale della Lessinia. No conservation actions are currently required.",,"Feher, Z."
ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,DIPLOMMATINIDAE,Cochlostoma,elegans,"Following the concept of Wagner (1897, 1906) Fauna Europaea lists seven valid subspecies for this species: Cochlostoma elegans elegans (Clessin 1879), C. elegans imoschiense (A.J. Wagner 1906), C. elegans irregularis (A.J. Wagner 1897), C. elegans oostoma (Westerlund 1883), C. elegans similis (A.J. Wagner 1897), C. elegans spectabilis (A.J. Wagner 1897) and C. elegans tumida (A.J. Wagner 1897). These subspecies were described only on the basis of shell morphology. Later, Wagner's opinion has changed and he is inclined to think that C. elegans similis is the synonym of the nominate form and C. elegans irregularis is the synonym of C. spectabilis (correspondance with L. Soós (1916: 166)).A revision based on genital anatomy and molecular markers might clarify the systematics of this species as well as its relation to C. cinerascens and C. mostarense.",Yes,,LC,,NE,,This species lives within a relatively wide range and there are at least 25-30 known sub-populations. The sites which are regularly monitored do not show signs of any decline. Therefore this species is assessed as Least Concern (LC).,Stable,"This species is distributed in the Velebit Mts. in Croatia, between Senj and Obrovac. There are at least 25-30 known locations, but this number might be underestimated. Thus, there is no reason to suppose that the area of occupancy, extent of occurrence or the number of locations are declining or extremely fluctuating.  The subspecies C. imoschiense is known only from the vicinity of Imotski. This occurrence is nearer to the range of C. cinerascens than to the main range of C. elegans, therefore the extent of occurrence was calculated for two distinct polygons.","Within its range, this species does not seem to be rare. There are at least 25-30 known sub-populations and those visited in recent years did not show signs of any decline. Therefore there is no reason to suppose that the number of sub-populations or the number of mature individuals are declining or extremely fluctuating.","This is an obligate rock-dwelling species, associated with limestone areas. It is usually found on the bare rock surface, in crevices or at the base of rocks.","Due to its habitat preference, this species does not seem to be very sensitive to ecosystem modification or other realistic threats. Considering that this species inhabits inaccessible locations, drastic and wide-scale ecosystem modification is only a hypothetical threat and local events do not affect the whole population significantly.",This species is protected at the national level in Croatia and at least some of the sub-populations live within protected areas (such as in the Velebit Nature Park with the ssp. C. imotschiense occurring in Modro Jezero Natural Monument). The systematics of this species and its relation to C. elegans and C. mostarense should be clarified by anatomy and molecular markers. No conservation actions are currently required.,,"Feher, Z."
